symbol,date,open,high,low,close,volume
SAMTEL,2016-01-01,0.2,0.2,0.2,0.2,600
SAMTEL,2016-01-11,0.1875,0.2,0.1875,0.2,420
SAMTEL,2016-01-12,0.2,0.2125,0.1875,0.2125,28916
SAMTEL,2016-01-13,0.2,0.2,0.2,0.2,33532
SAMTEL,2016-01-14,0.2,0.2125,0.2,0.2125,8212
SAMTEL,2016-01-15,0.2125,0.2125,0.2,0.2125,23796
SAMTEL,2016-01-18,0.2125,0.225,0.2125,0.225,2400
SAMTEL,2016-01-19,0.225,0.2375,0.2125,0.2125,8800
SAMTEL,2016-01-20,0.2125,0.225,0.2125,0.225,44
SAMTEL,2016-01-21,0.2375,0.2375,0.2125,0.2125,31784
SAMTEL,2016-01-22,0.225,0.225,0.225,0.225,400
SAMTEL,2016-01-25,0.225,0.225,0.225,0.225,516
SAMTEL,2016-01-27,0.2375,0.2375,0.225,0.225,5504
SAMTEL,2016-01-28,0.225,0.225,0.225,0.225,16400
SAMTEL,2016-01-29,0.2125,0.225,0.2125,0.2125,11980
SAMTEL,2016-02-01,0.2125,0.2125,0.2125,0.2125,11196
SAMTEL,2016-02-02,0.2,0.2,0.2,0.2,5356
SAMTEL,2016-02-03,0.1875,0.2,0.1875,0.2,1200
SAMTEL,2016-02-04,0.1875,0.1875,0.1875,0.1875,15800
SAMTEL,2016-02-05,0.1875,0.1875,0.1875,0.1875,4000
SAMTEL,2016-02-09,0.175,0.1875,0.175,0.1875,9432
SAMTEL,2016-02-10,0.175,0.175,0.175,0.175,2000
SAMTEL,2016-02-11,0.175,0.175,0.1625,0.1625,16772
SAMTEL,2016-02-12,0.15,0.15,0.15,0.15,1000
SAMTEL,2016-02-15,0.1375,0.1375,0.1375,0.1375,4764
SAMTEL,2016-02-16,0.15,0.15,0.15,0.15,8400
SAMTEL,2016-02-18,0.15,0.15,0.15,0.15,11596
SAMTEL,2016-02-22,0.1375,0.1375,0.1375,0.1375,160
SAMTEL,2016-02-23,0.1375,0.1375,0.125,0.125,110316
SAMTEL,2016-02-25,0.125,0.125,0.125,0.125,12
SAMTEL,2016-02-26,0.125,0.125,0.125,0.125,40
SAMTEL,2016-02-29,0.125,0.125,0.125,0.125,32
SAMTEL,2016-03-02,0.1375,0.1375,0.1375,0.1375,20728
SAMTEL,2016-03-03,0.1375,0.1375,0.1375,0.1375,400
