symbol,date,open,high,low,close,volume
SAREGAMA,2008-06-09,12.0,12.0,10.81,11.38,98870
SAREGAMA,2008-06-10,11.25,12.0,10.91,11.39,31890
SAREGAMA,2008-06-11,11.7,11.8,10.61,10.8,207060
SAREGAMA,2008-06-12,10.3,10.8,9.9,10.47,820280
SAREGAMA,2008-06-13,10.6,10.95,9.47,10.12,825760
SAREGAMA,2008-06-16,11.0,11.0,9.98,10.12,402850
SAREGAMA,2008-06-17,10.01,11.14,9.93,11.14,470720
SAREGAMA,2008-06-18,11.2,12.25,11.2,12.1,773160
SAREGAMA,2008-06-19,12.19,12.6,11.3,11.66,636150
SAREGAMA,2008-06-20,11.27,11.73,11.13,11.31,184300
SAREGAMA,2008-06-23,11.2,11.35,10.76,11.07,104400
SAREGAMA,2008-06-24,10.8,11.1,10.4,10.47,89720
SAREGAMA,2008-06-25,10.3,10.8,10.05,10.53,94510
SAREGAMA,2008-06-26,11.25,11.25,9.73,10.43,123950
SAREGAMA,2008-06-27,10.11,10.39,9.99,10.12,50090
SAREGAMA,2008-06-30,10.8,10.8,9.62,9.9,104440
SAREGAMA,2008-07-01,10.2,10.2,9.6,9.64,105980
SAREGAMA,2008-07-02,9.7,9.9,9.1,9.71,93200
SAREGAMA,2008-07-03,9.69,9.7,9.0,9.19,63200
SAREGAMA,2008-07-04,9.36,10.11,9.03,9.97,5818740
SAREGAMA,2008-07-07,10.0,10.8,9.7,10.16,2910550
SAREGAMA,2008-07-08,9.82,10.14,9.62,9.71,85360
SAREGAMA,2008-07-09,10.1,10.6,9.91,10.14,3598940
SAREGAMA,2008-07-10,10.1,10.4,10.1,10.26,39690
SAREGAMA,2008-07-11,10.2,10.99,10.0,10.31,149290
SAREGAMA,2008-07-14,10.4,10.58,9.91,10.36,54080
SAREGAMA,2008-07-15,10.14,10.25,10.1,10.11,32500
SAREGAMA,2008-07-16,10.02,10.2,9.98,10.02,53900
SAREGAMA,2008-07-17,10.31,10.31,10.0,10.13,24620
SAREGAMA,2008-07-18,10.21,10.38,10.2,10.24,21970
SAREGAMA,2008-07-21,10.29,10.49,9.81,10.18,36550
SAREGAMA,2008-07-22,10.01,10.5,9.96,10.03,45620
SAREGAMA,2008-07-23,10.4,11.39,10.1,10.39,432970
SAREGAMA,2008-07-24,10.65,11.99,10.25,10.33,243820
SAREGAMA,2008-07-25,10.3,10.59,10.1,10.26,37950
SAREGAMA,2008-07-28,10.49,10.9,10.22,10.71,117530
SAREGAMA,2008-07-29,10.21,10.68,10.21,10.26,42640
SAREGAMA,2008-07-30,10.32,10.68,10.13,10.27,77590
SAREGAMA,2008-07-31,10.21,10.4,10.12,10.14,51300
SAREGAMA,2008-08-01,10.14,10.7,10.01,10.14,73460
SAREGAMA,2008-08-04,10.38,10.38,10.1,10.13,59760
SAREGAMA,2008-08-05,10.3,10.7,10.12,10.37,192780
SAREGAMA,2008-08-06,10.21,11.51,10.2,10.69,177810
SAREGAMA,2008-08-07,10.41,10.94,10.41,10.5,43180
SAREGAMA,2008-08-08,10.5,12.6,10.28,12.33,999970
SAREGAMA,2008-08-11,12.7,12.98,11.4,11.64,974620
SAREGAMA,2008-08-12,11.78,11.78,11.02,11.19,275420
SAREGAMA,2008-08-13,10.82,11.39,10.7,11.03,110720
SAREGAMA,2008-08-14,11.05,11.05,10.52,10.66,113200
SAREGAMA,2008-08-18,10.45,10.8,10.41,10.44,70100
SAREGAMA,2008-08-19,10.5,10.5,10.21,10.32,47320
SAREGAMA,2008-08-20,10.5,10.88,10.32,10.49,82760
SAREGAMA,2008-08-21,10.49,11.1,10.3,10.44,104880
SAREGAMA,2008-08-22,10.45,10.55,10.31,10.44,59910
SAREGAMA,2008-08-25,10.6,10.8,10.4,10.43,48700
SAREGAMA,2008-08-26,10.6,10.6,10.21,10.26,35530
SAREGAMA,2008-08-27,10.12,10.38,10.12,10.21,42490
SAREGAMA,2008-08-28,10.15,10.28,9.91,10.0,70370
SAREGAMA,2008-08-29,10.2,10.26,9.97,10.01,116770
SAREGAMA,2008-09-01,10.0,10.5,9.96,10.0,93930
SAREGAMA,2008-09-02,9.92,10.24,9.82,9.92,211140
SAREGAMA,2008-09-04,9.63,10.1,9.63,9.94,62740
