symbol,date,open,high,low,close,volume
SBBJ,2016-01-01,525.0,528.7,521.1,525.15,2046
SBBJ,2016-01-04,527.85,530.0,518.0,530.0,2877
SBBJ,2016-01-05,524.05,526.0,518.0,518.0,2687
SBBJ,2016-01-06,522.0,524.9,517.65,518.35,3323
SBBJ,2016-01-07,518.0,528.95,513.1,521.0,7695
SBBJ,2016-01-08,523.9,523.9,518.0,518.45,2803
SBBJ,2016-01-11,518.55,518.55,507.0,512.95,11192
SBBJ,2016-01-12,510.0,515.0,508.0,511.0,9551
SBBJ,2016-01-13,513.95,515.0,480.45,497.0,9588
SBBJ,2016-01-14,494.1,498.0,488.05,494.0,4448
SBBJ,2016-01-15,490.0,492.0,480.0,481.85,9649
SBBJ,2016-01-18,482.05,482.05,470.55,475.65,8655
SBBJ,2016-01-19,462.1,476.95,462.1,475.0,3218
SBBJ,2016-01-20,470.0,474.0,466.0,474.0,4553
SBBJ,2016-01-21,470.95,485.05,466.0,468.3,5206
SBBJ,2016-01-22,470.0,483.9,470.0,483.0,7202
SBBJ,2016-01-25,484.75,490.9,482.05,486.5,3461
SBBJ,2016-01-27,488.0,499.55,484.45,499.0,3094
SBBJ,2016-01-28,494.0,495.5,485.0,488.85,7361
SBBJ,2016-01-29,498.7,539.8,496.5,530.05,95414
SBBJ,2016-02-01,538.7,539.0,523.0,536.0,15696
SBBJ,2016-02-02,541.2,541.2,523.05,523.05,13209
SBBJ,2016-02-03,521.0,522.9,507.6,520.0,8601
SBBJ,2016-02-04,524.35,524.35,510.0,510.5,4503
SBBJ,2016-02-05,515.0,525.25,507.65,518.85,10108
SBBJ,2016-02-08,516.45,525.95,514.25,514.25,3108
SBBJ,2016-02-09,511.0,519.95,509.1,510.0,11239
SBBJ,2016-02-10,510.0,512.95,490.0,493.0,14762
SBBJ,2016-02-11,495.0,495.0,475.0,478.9,13366
SBBJ,2016-02-12,484.95,484.95,455.0,459.8,13596
SBBJ,2016-02-15,468.0,484.9,468.0,479.3,9678
SBBJ,2016-02-16,487.0,487.0,458.1,465.0,11865
SBBJ,2016-02-17,455.3,463.0,451.05,454.6,6744
SBBJ,2016-02-18,452.85,473.0,452.3,469.4,5388
SBBJ,2016-02-19,471.15,474.5,466.1,472.8,3592
SBBJ,2016-02-22,471.0,475.9,462.05,466.9,3326
SBBJ,2016-02-23,465.2,472.0,458.0,460.0,4371
SBBJ,2016-02-24,460.0,461.0,455.0,461.0,2173
SBBJ,2016-02-25,460.0,462.8,455.1,457.8,3377
SBBJ,2016-02-26,463.05,463.05,455.3,458.65,6821
SBBJ,2016-02-29,462.0,474.9,459.1,466.1,14474
SBBJ,2016-03-01,470.15,476.0,465.1,466.75,5657
SBBJ,2016-03-02,477.0,499.0,477.0,489.0,12481
SBBJ,2016-03-03,493.2,503.95,487.0,501.7,11545
SBBJ,2016-03-04,494.2,518.8,487.0,512.9,11244
SBBJ,2016-03-08,500.0,517.9,500.0,504.0,4917
SBBJ,2016-03-09,497.1,512.95,497.0,503.05,4526
SBBJ,2016-03-10,510.85,511.5,499.5,503.1,3560
SBBJ,2016-03-11,505.0,505.95,501.45,502.75,840
SBBJ,2016-03-14,503.4,509.4,500.0,501.25,2529
SBBJ,2016-03-15,501.25,506.95,499.0,499.75,1962
SBBJ,2016-03-16,495.9,502.95,488.1,497.0,4275
SBBJ,2016-03-17,505.0,505.0,497.0,498.85,2913
SBBJ,2016-03-18,501.4,509.0,496.2,503.0,3082
SBBJ,2016-03-21,506.0,524.45,493.25,500.0,21179
SBBJ,2016-03-22,500.0,505.0,498.0,501.0,4683
SBBJ,2016-03-23,500.25,503.0,498.65,500.75,6638
SBBJ,2016-03-28,505.15,521.95,499.0,503.5,11128
SBBJ,2016-03-29,499.0,510.0,499.0,500.0,3954
SBBJ,2016-03-30,501.3,511.5,501.05,503.0,4290
SBBJ,2016-03-31,507.0,509.0,497.0,500.5,6858
SBBJ,2016-04-01,498.05,507.0,498.0,507.0,1778
SBBJ,2016-04-04,507.0,513.0,503.6,505.0,4071
SBBJ,2016-04-05,504.0,505.0,499.25,502.2,3679
SBBJ,2016-04-06,500.0,503.9,498.05,500.0,6270
SBBJ,2016-04-07,504.0,504.0,496.0,496.0,963
SBBJ,2016-04-08,501.0,508.95,496.25,497.0,6191
SBBJ,2016-04-11,500.0,500.05,495.1,496.1,9700
SBBJ,2016-04-12,494.0,502.95,494.0,500.1,3833
SBBJ,2016-04-13,506.0,512.0,502.0,503.0,9839
SBBJ,2016-04-18,500.0,502.95,499.1,500.1,4353
SBBJ,2016-04-20,501.0,503.7,500.0,501.0,3471
SBBJ,2016-04-21,501.0,511.65,501.0,508.5,7303
SBBJ,2016-04-22,510.0,515.0,504.75,513.25,11518
SBBJ,2016-04-25,514.0,518.9,509.1,516.0,5700
SBBJ,2016-04-26,516.0,525.0,513.65,523.25,10963
SBBJ,2016-04-27,520.0,528.9,517.0,527.0,7164
SBBJ,2016-04-28,527.2,539.9,525.0,535.0,15167
SBBJ,2016-04-29,540.7,542.95,512.2,522.2,82804
SBBJ,2016-05-02,522.3,527.95,511.0,516.9,48282
SBBJ,2016-05-03,512.0,512.0,505.05,505.75,43835
SBBJ,2016-05-04,501.1,510.0,501.1,504.9,34631
SBBJ,2016-05-05,491.95,494.95,486.1,487.0,13519
SBBJ,2016-05-06,487.15,492.0,484.0,486.0,3923
SBBJ,2016-05-09,487.0,494.25,480.0,490.6,12888
SBBJ,2016-05-10,493.9,493.9,480.0,483.6,5100
SBBJ,2016-05-11,484.95,491.0,483.45,490.0,5462
SBBJ,2016-05-12,494.9,494.9,486.1,489.85,2470
