symbol,date,open,high,low,close,volume
SCML,2023-10-27,73.0,81.9,73.0,79.0,366001
SCML,2023-10-30,80.95,81.5,74.0,74.0,132002
SCML,2023-10-31,75.0,77.5,73.75,73.75,128001
SCML,2023-11-01,74.2,76.75,74.1,74.1,58001
SCML,2023-11-02,76.95,77.35,75.2,76.6,88001
SCML,2023-11-03,75.5,76.9,74.0,75.45,88001
SCML,2023-11-06,78.95,83.5,76.7,79.4,264001
SCML,2023-11-07,82.5,84.45,81.65,83.9,164002
SCML,2023-11-08,85.0,91.7,85.0,86.25,208001
SCML,2023-11-09,86.0,90.1,84.3,84.3,116001
SCML,2023-11-10,84.7,84.7,81.0,83.75,60001
SCML,2023-11-12,87.9,88.8,85.0,86.45,52001
SCML,2023-11-13,83.5,84.9,82.5,83.35,20001
SCML,2023-11-15,83.75,84.0,79.1,79.1,50001
SCML,2023-11-16,78.85,80.3,77.0,77.1,38002
SCML,2023-11-17,76.4,81.0,76.4,79.5,50001
SCML,2023-11-20,81.7,82.8,78.3,78.3,42002
SCML,2023-11-21,78.5,80.5,78.5,79.0,52001
SCML,2023-11-22,81.45,81.45,76.35,77.4,46001
SCML,2023-11-23,78.0,78.0,77.0,77.55,26001
SCML,2023-11-24,79.0,79.0,77.2,77.5,36001
SCML,2023-11-28,75.0,77.3,72.2,77.3,96001
SCML,2023-11-29,77.0,78.95,74.0,74.0,44001
SCML,2023-11-30,73.35,78.0,73.35,77.1,88001
SCML,2023-12-01,77.1,78.1,75.0,75.2,36001
SCML,2023-12-04,75.0,76.9,75.0,75.6,20001
SCML,2023-12-05,77.5,77.6,75.8,76.5,32001
SCML,2023-12-06,76.5,76.5,75.1,75.5,32001
SCML,2023-12-07,75.5,77.55,73.75,73.75,22001
SCML,2023-12-08,73.5,74.7,72.75,73.2,32001
SCML,2023-12-11,74.9,75.3,73.6,73.6,24002
SCML,2023-12-12,75.5,88.55,75.3,88.55,228002
SCML,2023-12-13,97.6,97.7,85.35,87.3,204002
SCML,2023-12-14,90.95,96.7,90.0,91.25,150001
SCML,2023-12-15,93.0,95.0,90.55,90.55,50001
SCML,2023-12-18,91.0,91.0,86.2,86.2,18001
SCML,2023-12-19,81.05,81.5,71.8,74.3,310001
SCML,2023-12-20,74.7,74.7,71.0,71.1,116001
SCML,2023-12-21,70.55,73.2,69.0,73.2,34001
SCML,2023-12-22,73.95,74.15,71.55,71.75,60002
SCML,2023-12-26,72.5,73.55,72.1,73.5,18001
SCML,2023-12-27,75.35,76.9,73.2,75.6,78001
