symbol,date,open,high,low,close,volume
SELAN,2008-06-09,207.27,218.18,201.82,209.68,101918
SELAN,2008-06-10,213.36,213.36,201.18,205.27,33092
SELAN,2008-06-11,203.18,211.82,203.18,205.18,24588
SELAN,2008-06-12,200.18,214.73,199.14,213.0,64917
SELAN,2008-06-13,213.64,223.59,210.91,214.09,72250
SELAN,2008-06-16,215.64,222.27,211.09,217.73,31094
SELAN,2008-06-17,218.0,219.0,212.82,213.77,15625
SELAN,2008-06-18,214.36,224.5,210.91,211.59,63267
SELAN,2008-06-19,208.27,210.86,198.5,200.95,39684
SELAN,2008-06-20,198.91,201.82,181.73,183.86,76370
SELAN,2008-06-23,177.45,179.0,171.82,175.23,84131
SELAN,2008-06-24,177.27,179.09,169.18,171.59,21664
SELAN,2008-06-25,165.41,177.27,164.55,175.77,29833
SELAN,2008-06-26,177.27,183.64,171.14,173.18,24648
SELAN,2008-06-27,168.27,176.91,160.32,164.5,62477
SELAN,2008-06-30,160.91,169.82,160.91,165.45,41759
SELAN,2008-07-01,163.64,174.45,156.36,161.05,57637
SELAN,2008-07-02,157.27,164.36,151.82,161.86,39443
SELAN,2008-07-03,157.36,165.36,156.86,158.73,36451
SELAN,2008-07-04,160.91,166.32,159.09,163.77,13196
SELAN,2008-07-07,163.82,169.82,161.36,163.23,34050
SELAN,2008-07-08,163.23,163.23,156.32,161.0,10213
SELAN,2008-07-09,164.55,169.95,162.27,168.32,8113
SELAN,2008-07-10,169.09,169.09,164.68,165.73,8284
SELAN,2008-07-11,165.36,170.0,163.64,164.68,12697
SELAN,2008-07-14,168.14,197.64,166.45,197.64,417567
SELAN,2008-07-15,201.82,214.55,173.64,183.23,810086
SELAN,2008-07-16,183.18,190.0,175.5,181.0,217103
SELAN,2008-07-17,189.05,191.82,180.0,181.45,63070
SELAN,2008-07-18,180.5,212.73,177.27,200.55,461579
SELAN,2008-07-21,201.82,212.45,194.55,201.73,253138
SELAN,2008-07-22,204.55,214.45,202.73,210.14,131470
SELAN,2008-07-23,213.64,219.55,206.36,207.95,141600
SELAN,2008-07-24,209.55,247.27,209.55,240.18,709294
SELAN,2008-07-25,237.27,246.36,223.0,228.68,294127
SELAN,2008-07-28,229.09,242.73,228.27,240.18,180424
SELAN,2008-07-29,239.91,288.23,233.64,281.05,1480167
SELAN,2008-07-30,295.64,300.91,268.27,273.86,1232101
SELAN,2008-07-31,276.36,280.59,257.95,260.36,311534
SELAN,2008-08-01,254.91,280.64,254.55,272.0,444901
SELAN,2008-08-04,273.64,296.09,270.91,289.59,856964
SELAN,2008-08-05,291.0,297.64,272.73,275.45,395481
SELAN,2008-08-06,279.09,283.27,256.82,267.0,464553
SELAN,2008-08-07,268.18,277.82,266.36,268.82,133623
SELAN,2008-08-08,271.55,275.27,257.64,263.45,169006
SELAN,2008-08-11,268.64,274.55,261.0,262.68,140795
SELAN,2008-08-12,267.14,267.95,254.55,255.64,128531
SELAN,2008-08-13,258.18,263.64,254.59,257.05,99720
SELAN,2008-08-14,258.18,265.45,254.55,256.95,164258
SELAN,2008-08-18,263.64,266.91,257.27,258.41,152243
SELAN,2008-08-19,256.36,258.95,247.73,251.05,93756
SELAN,2008-08-20,255.45,255.45,246.45,248.05,43871
SELAN,2008-08-21,249.09,251.55,238.68,240.5,40859
SELAN,2008-08-22,245.45,249.0,242.73,245.23,10829
SELAN,2008-08-25,245.45,248.18,240.0,242.68,10023
SELAN,2008-08-26,243.64,243.64,234.14,238.55,16841
SELAN,2008-08-27,236.59,240.64,233.18,235.36,8521
SELAN,2008-08-28,240.0,244.55,234.73,238.55,11485
SELAN,2008-08-29,239.09,242.32,236.36,239.77,5261
SELAN,2008-09-01,240.0,249.91,234.95,245.82,7663
SELAN,2008-09-02,242.73,253.64,242.73,250.14,20787
SELAN,2008-09-04,240.91,257.18,240.91,250.86,7471
SELAN,2008-09-05,248.18,256.36,245.45,247.05,8853
SELAN,2008-09-08,250.0,252.64,247.5,250.23,7093
SELAN,2008-09-09,241.05,251.82,241.05,247.86,11086
SELAN,2008-09-10,249.0,250.45,245.45,248.0,7661
SELAN,2008-09-11,244.77,249.91,244.64,245.5,10991
SELAN,2008-09-12,242.73,248.18,241.14,241.73,5601
SELAN,2008-09-15,234.09,238.18,229.64,229.68,14239
SELAN,2008-09-16,225.45,229.05,218.23,219.73,11459
SELAN,2008-09-17,212.73,220.0,212.73,217.27,4529
SELAN,2008-09-18,210.0,217.0,207.27,215.14,8135
SELAN,2008-09-19,220.0,225.91,212.73,225.91,7780
SELAN,2008-09-22,236.36,237.23,227.27,237.23,3287
SELAN,2008-09-23,237.27,245.36,231.86,232.27,6767
SELAN,2008-09-24,227.55,239.55,227.55,234.27,5780
SELAN,2008-09-25,227.36,236.32,227.36,229.64,2623
SELAN,2008-09-26,229.59,229.59,218.18,218.55,2033
SELAN,2008-09-29,209.09,214.55,207.64,207.64,3617
SELAN,2008-09-30,204.55,206.36,197.27,200.23,21255
SELAN,2008-10-01,193.41,210.0,190.27,207.0,6309
SELAN,2008-10-03,208.18,209.64,196.68,197.23,5451
SELAN,2008-10-06,187.41,187.41,187.36,187.36,1245
SELAN,2008-10-07,185.36,188.18,178.0,179.73,30482
SELAN,2008-10-08,172.73,172.73,170.77,170.77,332
SELAN,2008-10-10,163.64,163.64,162.27,162.27,447
SELAN,2008-10-13,154.32,163.18,154.18,154.18,6062
SELAN,2008-10-14,154.55,161.73,146.5,146.5,6626
SELAN,2008-10-15,140.91,143.55,139.18,139.18,402
SELAN,2008-10-16,131.0,131.0,131.0,131.0,479
SELAN,2008-10-17,129.68,130.73,124.45,127.91,17400
SELAN,2008-10-20,127.27,134.32,122.73,133.05,9005
SELAN,2008-10-21,126.41,139.73,126.41,139.73,15638
SELAN,2008-10-22,142.27,146.73,136.41,145.86,7430
SELAN,2008-10-23,139.09,152.73,138.59,149.59,16812
SELAN,2008-10-24,150.09,153.64,142.14,142.14,6925
SELAN,2008-10-27,135.05,135.05,135.05,135.05,1436
SELAN,2008-10-28,128.36,128.36,128.36,128.36,825
SELAN,2008-10-29,122.73,130.5,121.95,121.95,4750
SELAN,2008-10-31,127.27,127.27,119.09,123.82,4497
SELAN,2008-11-03,127.27,130.05,127.27,130.05,5415
SELAN,2008-11-04,134.36,136.55,125.45,136.55,3908
SELAN,2008-11-05,143.32,143.41,138.41,141.77,4788
SELAN,2008-11-06,136.27,148.86,134.73,146.55,7774
SELAN,2008-11-07,150.0,150.0,140.91,146.91,5420
SELAN,2008-11-10,146.91,148.18,142.77,146.27,8538
SELAN,2008-11-11,141.82,141.82,138.95,138.95,3480
SELAN,2008-11-12,132.09,138.18,132.05,136.41,10274
SELAN,2008-11-14,137.27,140.0,129.59,132.27,9729
SELAN,2008-11-17,131.82,133.45,125.73,127.41,5099
SELAN,2008-11-18,127.27,128.18,121.05,121.14,4648
SELAN,2008-11-19,116.45,124.55,115.09,122.18,12581
SELAN,2008-11-20,117.27,122.73,116.09,121.86,4315
SELAN,2008-11-21,127.95,127.95,118.18,120.23,10690
SELAN,2008-11-24,124.09,124.09,119.09,119.68,4738
SELAN,2008-11-25,124.41,125.59,118.32,125.14,9000
SELAN,2008-11-26,122.32,123.05,120.91,122.27,3972
SELAN,2008-11-28,119.14,127.27,116.36,120.45,4557
SELAN,2008-12-01,125.64,126.36,114.45,116.55,8990
SELAN,2008-12-02,117.27,118.18,112.05,115.09,3413
SELAN,2008-12-03,116.45,117.86,110.91,116.0,6109
SELAN,2008-12-04,116.32,116.32,112.05,115.05,2520
SELAN,2008-12-05,113.64,117.27,109.41,110.86,4143
SELAN,2008-12-08,111.82,114.91,105.36,105.91,8914
SELAN,2008-12-10,101.86,110.82,101.82,107.14,5038
SELAN,2008-12-11,107.36,112.5,107.36,110.36,5034
SELAN,2008-12-12,105.18,115.91,105.18,115.91,13209
SELAN,2008-12-15,118.32,121.73,118.27,121.73,2666
SELAN,2008-12-16,127.82,127.82,127.82,127.82,5514
SELAN,2008-12-17,134.23,134.23,121.82,123.36,16536
SELAN,2008-12-18,117.23,122.45,117.23,120.73,4632
SELAN,2008-12-19,117.32,123.45,117.32,119.64,36350
SELAN,2008-12-22,122.73,125.41,113.68,118.68,8737
SELAN,2008-12-23,120.0,120.0,113.95,115.82,4326
SELAN,2008-12-24,111.82,119.95,111.82,116.77,1752
SELAN,2008-12-26,116.82,118.91,115.45,117.14,6991
SELAN,2008-12-29,115.55,120.0,114.59,118.36,3586
SELAN,2008-12-30,120.0,124.32,119.55,124.32,4578
SELAN,2008-12-31,124.59,129.91,119.55,121.14,6310
SELAN,2009-01-01,127.14,127.23,121.09,127.23,4472
SELAN,2009-01-02,133.59,133.59,127.27,127.32,14301
SELAN,2009-01-05,130.91,133.68,128.27,133.55,12025
SELAN,2009-01-06,137.27,137.82,130.09,132.68,7390
SELAN,2009-01-07,133.73,133.73,119.45,121.64,9018
SELAN,2009-01-09,124.55,129.09,109.5,112.27,17931
SELAN,2009-01-12,117.18,117.18,109.55,111.32,17965
SELAN,2009-01-13,113.64,120.45,108.18,108.64,12851
SELAN,2009-01-14,108.18,113.27,108.18,112.64,12532
SELAN,2009-01-15,108.23,110.82,105.55,109.27,2565
SELAN,2009-01-16,106.0,114.55,106.0,112.86,4955
SELAN,2009-01-19,114.55,114.68,111.09,112.68,22586
SELAN,2009-01-20,113.36,113.36,109.27,111.68,1513
SELAN,2009-01-21,112.27,113.32,105.45,108.55,6732
SELAN,2009-01-22,110.91,116.27,110.91,113.64,8056
SELAN,2009-01-23,115.86,119.82,111.41,114.95,15195
SELAN,2009-01-27,117.18,117.18,110.18,114.77,7236
SELAN,2009-01-28,109.09,114.55,109.09,113.45,7055
SELAN,2009-01-29,114.55,120.0,113.64,115.95,13438
SELAN,2009-01-30,114.36,116.82,114.36,115.36,1435
SELAN,2009-02-02,116.77,118.0,109.55,111.95,3085
SELAN,2009-02-03,113.55,113.64,110.23,111.73,4528
SELAN,2009-02-04,111.86,113.36,110.18,110.95,3961
SELAN,2009-02-05,109.09,115.45,109.09,113.05,5421
SELAN,2009-02-06,112.73,115.5,111.82,115.18,5366
SELAN,2009-02-09,115.41,116.18,112.27,115.27,5453
SELAN,2009-02-10,114.09,120.95,113.86,117.73,20522
SELAN,2009-02-11,117.18,118.64,113.64,117.86,3392
SELAN,2009-02-12,115.45,117.91,113.64,115.32,8536
SELAN,2009-02-13,113.91,117.05,112.95,113.68,4033
SELAN,2009-02-16,113.0,115.73,112.0,112.18,1870
SELAN,2009-02-17,112.05,115.27,111.18,114.23,6413
SELAN,2009-02-18,115.18,115.45,111.27,114.59,5691
SELAN,2009-02-19,112.73,114.55,110.18,113.18,6014
SELAN,2009-02-20,110.23,114.55,109.36,110.91,11532
SELAN,2009-02-24,113.95,113.95,107.45,110.27,6967
SELAN,2009-02-25,113.91,118.0,111.82,114.86,17253
SELAN,2009-02-26,111.91,114.55,105.55,110.73,10628
SELAN,2009-02-27,111.68,113.64,108.18,111.86,9885
SELAN,2009-03-02,112.73,112.73,102.73,111.55,6548
SELAN,2009-03-03,109.18,109.18,104.55,105.0,8837
SELAN,2009-03-04,104.59,106.32,100.09,100.77,8214
SELAN,2009-03-05,102.73,102.73,96.73,100.82,5737
SELAN,2009-03-06,95.55,100.73,93.64,98.5,4679
SELAN,2009-03-09,94.82,96.36,92.55,92.86,3735
SELAN,2009-03-12,94.55,96.32,90.09,95.05,13553
SELAN,2009-03-13,95.45,101.73,95.45,100.82,8496
SELAN,2009-03-16,95.91,103.45,94.64,99.95,7396
SELAN,2009-03-17,98.18,103.41,98.18,99.95,5791
SELAN,2009-03-18,100.55,109.73,100.55,103.82,27846
SELAN,2009-03-19,108.82,112.5,106.36,110.5,9029
SELAN,2009-03-20,111.82,114.09,109.32,111.05,18891
SELAN,2009-03-23,110.91,116.36,109.59,114.59,21054
SELAN,2009-03-24,118.0,121.64,113.68,116.95,23537
SELAN,2009-03-25,119.0,119.82,115.64,117.73,8990
SELAN,2009-03-26,119.0,120.0,114.73,116.95,36818
SELAN,2009-03-27,119.09,120.91,114.73,119.5,10475
SELAN,2009-03-30,119.86,120.41,115.27,116.5,13955
SELAN,2009-03-31,114.27,119.09,113.86,115.32,8569
