symbol,date,open,high,low,close,volume
SERVALL,2016-01-01,3.85,3.9,3.85,3.85,1245
SERVALL,2016-01-04,3.95,4.0,3.95,4.0,5876
SERVALL,2016-01-05,4.0,4.1,3.9,3.9,1445
SERVALL,2016-01-06,4.05,4.05,3.9,4.05,5798
SERVALL,2016-01-07,4.25,4.25,3.85,3.85,10611
SERVALL,2016-01-08,3.7,4.0,3.7,3.8,2425
SERVALL,2016-01-11,3.8,3.8,3.7,3.8,5247
SERVALL,2016-01-12,3.65,3.95,3.65,3.8,1729
SERVALL,2016-01-13,3.7,3.95,3.7,3.7,2100
SERVALL,2016-01-14,3.75,3.75,3.65,3.65,700
SERVALL,2016-01-15,3.55,3.55,3.55,3.55,1
SERVALL,2016-01-18,3.6,3.7,3.6,3.6,7844
SERVALL,2016-01-19,3.75,3.75,3.5,3.5,25500
SERVALL,2016-01-20,3.35,3.45,3.35,3.45,1400
SERVALL,2016-01-21,3.3,3.5,3.3,3.3,3548
SERVALL,2016-01-22,3.4,3.4,3.3,3.4,21871
SERVALL,2016-01-25,3.5,3.5,3.5,3.5,1050
SERVALL,2016-01-27,3.5,3.5,3.5,3.5,200
SERVALL,2016-01-28,3.4,3.4,3.4,3.4,950
SERVALL,2016-01-29,3.25,3.55,3.25,3.45,2001
SERVALL,2016-02-01,3.45,3.6,3.35,3.6,2567
SERVALL,2016-02-02,3.55,3.55,3.55,3.55,150
SERVALL,2016-02-03,3.4,3.4,3.4,3.4,800
SERVALL,2016-02-04,3.35,3.55,3.35,3.35,1515
SERVALL,2016-02-05,3.35,3.5,3.35,3.5,1153
SERVALL,2016-02-08,3.65,3.65,3.5,3.5,3100
SERVALL,2016-02-09,3.35,3.35,3.35,3.35,346
SERVALL,2016-02-10,3.25,3.25,3.25,3.25,79
SERVALL,2016-02-11,3.2,3.2,3.15,3.15,1102
SERVALL,2016-02-12,3.15,3.3,3.15,3.3,4361
SERVALL,2016-02-15,3.3,3.3,3.3,3.3,1361
SERVALL,2016-02-16,3.3,3.45,3.3,3.45,8000
SERVALL,2016-02-17,3.3,3.3,3.3,3.3,175
SERVALL,2016-02-19,3.45,3.45,3.45,3.45,3100
SERVALL,2016-02-22,3.4,3.4,3.4,3.4,4985
SERVALL,2016-02-23,3.3,3.3,3.3,3.3,2000
SERVALL,2016-02-24,3.3,3.3,3.3,3.3,5000
SERVALL,2016-02-25,3.3,3.3,3.3,3.3,753
SERVALL,2016-02-29,3.3,3.3,3.3,3.3,1075
SERVALL,2016-03-01,3.2,3.2,3.2,3.2,800
SERVALL,2016-03-02,3.15,3.35,3.15,3.35,1155
SERVALL,2016-03-04,3.2,3.5,3.2,3.3,201
SERVALL,2016-03-08,3.25,3.45,3.25,3.45,6600
SERVALL,2016-03-09,3.35,3.35,3.35,3.35,75
SERVALL,2016-03-10,3.25,3.4,3.25,3.4,2260
SERVALL,2016-03-11,3.3,3.3,3.3,3.3,501
SERVALL,2016-03-14,3.25,3.25,3.25,3.25,149
SERVALL,2016-03-15,3.3,3.4,3.3,3.3,5600
SERVALL,2016-03-16,3.3,3.3,3.3,3.3,282
SERVALL,2016-03-17,3.35,3.4,3.35,3.4,2410
SERVALL,2016-03-18,3.25,3.25,3.25,3.25,1
SERVALL,2016-03-21,3.25,3.25,3.25,3.25,945
SERVALL,2016-03-28,3.4,3.4,3.3,3.3,4050
SERVALL,2016-03-29,3.25,3.25,3.25,3.25,5952
SERVALL,2016-03-30,3.15,3.4,3.15,3.2,3800
SERVALL,2016-03-31,3.15,3.25,3.15,3.25,245
SERVALL,2016-04-01,3.1,3.15,3.1,3.15,1210
SERVALL,2016-04-04,3.0,3.3,3.0,3.1,1716
SERVALL,2016-04-05,3.1,3.1,3.1,3.1,1500
SERVALL,2016-04-06,3.2,3.2,3.2,3.2,100
SERVALL,2016-04-07,3.1,3.2,3.1,3.15,2495
SERVALL,2016-04-12,3.0,3.05,3.0,3.05,110
SERVALL,2016-04-13,3.0,3.2,3.0,3.2,2084
SERVALL,2016-04-18,3.35,3.35,3.1,3.1,250
SERVALL,2016-04-20,3.05,3.25,3.0,3.15,3702
SERVALL,2016-04-21,3.1,3.2,3.1,3.2,1216
SERVALL,2016-04-22,3.2,3.35,3.2,3.35,2
SERVALL,2016-04-25,3.4,3.4,3.3,3.3,2612
SERVALL,2016-04-26,3.4,3.45,3.15,3.45,5200
SERVALL,2016-04-27,3.3,3.6,3.3,3.4,77091
SERVALL,2016-04-28,3.3,3.3,3.3,3.3,1040
SERVALL,2016-04-29,3.25,3.4,3.2,3.4,2552
SERVALL,2016-05-02,3.4,3.4,3.25,3.25,150
SERVALL,2016-05-03,3.15,3.4,3.15,3.4,1600
SERVALL,2016-05-04,3.4,3.45,3.25,3.45,609
SERVALL,2016-05-05,3.5,3.5,3.25,3.25,2043
SERVALL,2016-05-06,3.25,3.35,3.15,3.2,6610
