symbol,date,open,high,low,close,volume
SFL,2016-12-09,430.0,516.0,425.05,516.0,9678442
SFL,2016-12-12,561.0,582.0,477.0,503.52,5612658
SFL,2016-12-13,494.0,506.5,484.7,499.08,1580670
SFL,2016-12-14,497.0,526.0,473.6,480.83,3825928
SFL,2016-12-15,469.5,484.98,465.52,479.67,1315196
SFL,2016-12-16,480.0,489.0,476.3,479.67,483882
SFL,2016-12-19,481.85,481.85,463.35,465.35,386982
SFL,2016-12-20,465.0,471.5,463.1,465.23,204040
SFL,2016-12-21,467.5,467.5,461.5,462.83,141336
SFL,2016-12-22,462.5,478.0,457.48,473.25,381768
SFL,2016-12-23,478.5,478.5,465.0,470.67,581958
SFL,2016-12-26,470.45,470.45,456.3,458.0,88514
SFL,2016-12-27,455.0,469.5,455.0,466.48,85220
SFL,2016-12-28,467.5,474.0,465.77,467.13,57634
SFL,2016-12-29,469.88,472.25,462.5,468.2,37450
SFL,2016-12-30,469.48,475.0,464.95,467.73,47952
SFL,2017-01-02,465.0,476.42,465.0,474.9,71130
SFL,2017-01-03,472.5,475.0,470.0,470.63,23244
SFL,2017-01-04,470.52,474.0,465.75,467.92,16498
SFL,2017-01-05,470.42,472.5,460.5,464.4,18936
SFL,2017-01-06,467.45,494.5,467.42,483.0,671062
SFL,2017-01-09,485.0,485.0,472.5,475.35,261078
SFL,2017-01-10,474.98,485.0,471.0,483.4,59968
SFL,2017-01-11,484.42,490.5,476.52,488.52,52650
SFL,2017-01-12,485.5,499.45,483.0,496.17,52890
SFL,2017-01-13,495.0,499.5,485.27,495.2,44152
SFL,2017-01-16,494.98,494.98,481.0,484.2,58978
SFL,2017-01-17,482.63,490.8,480.0,488.92,25794
SFL,2017-01-18,488.52,491.5,477.5,482.4,117486
SFL,2017-01-19,482.5,486.98,478.0,484.98,45222
SFL,2017-01-20,482.5,486.9,473.42,476.83,19566
SFL,2017-01-23,475.08,482.45,473.0,477.83,16088
SFL,2017-01-24,477.48,481.95,462.5,476.2,159386
SFL,2017-01-25,476.15,476.15,465.0,471.42,29490
SFL,2017-01-27,474.4,485.5,468.27,478.73,47146
SFL,2017-01-30,481.13,484.0,473.08,481.1,59446
SFL,2017-01-31,482.5,492.5,480.0,486.85,59938
SFL,2017-02-01,490.02,490.02,479.0,480.48,9226
SFL,2017-02-02,484.98,491.5,478.5,489.7,19592
SFL,2017-02-03,487.77,499.5,480.0,495.9,39108
SFL,2017-02-06,498.0,512.95,495.0,500.8,52260
SFL,2017-02-07,497.48,507.5,492.0,496.58,28500
SFL,2017-02-08,501.02,502.5,493.95,497.95,23518
SFL,2017-02-09,499.73,501.0,493.25,496.05,17966
SFL,2017-02-10,498.17,507.5,494.0,503.88,45084
SFL,2017-02-13,509.85,539.2,499.08,524.83,107048
SFL,2017-02-14,532.0,534.0,520.3,532.0,68432
SFL,2017-02-15,531.53,531.53,513.0,524.97,26070
SFL,2017-02-16,526.6,534.4,521.5,529.67,22056
SFL,2017-02-17,531.03,537.5,522.75,526.85,13940
SFL,2017-02-20,517.78,531.47,517.78,523.33,7822
SFL,2017-02-21,526.53,528.95,520.0,522.63,6678
SFL,2017-02-22,526.03,532.5,520.53,527.0,67516
SFL,2017-02-23,529.8,539.2,523.25,537.13,27646
SFL,2017-02-27,541.03,541.78,532.0,535.05,7284
SFL,2017-02-28,534.25,539.53,532.5,534.55,25142
SFL,2017-03-01,540.03,540.03,525.0,533.42,8370
SFL,2017-03-02,534.0,540.5,531.47,533.67,10108
SFL,2017-03-03,537.55,537.55,524.97,528.25,65664
SFL,2017-03-06,530.97,536.03,527.5,531.6,8566
SFL,2017-03-07,537.53,537.53,526.5,530.0,2690
SFL,2017-03-08,535.53,581.67,529.0,541.63,124402
SFL,2017-03-09,540.0,565.0,540.0,549.25,68484
SFL,2017-03-10,552.83,553.63,530.0,540.65,14974
SFL,2017-03-14,547.03,552.17,535.5,544.83,12558
SFL,2017-03-15,550.03,550.15,539.0,544.9,133328
SFL,2017-03-16,552.55,553.0,541.0,547.5,8620
SFL,2017-03-17,549.97,550.42,530.47,536.6,7552
SFL,2017-03-20,541.35,550.4,533.47,541.67,25940
SFL,2017-03-21,545.13,557.95,537.75,542.63,14686
SFL,2017-03-22,544.47,550.4,540.0,544.88,48472
SFL,2017-03-23,547.7,550.0,540.0,542.83,35530
SFL,2017-03-24,549.88,559.97,542.5,557.08,16288
SFL,2017-03-27,560.03,562.5,547.5,551.7,12866
SFL,2017-03-28,544.3,554.3,542.5,544.6,11752
SFL,2017-03-29,548.63,553.03,535.0,536.65,14200
