symbol,date,open,high,low,close,volume
SHAHALLOYS,2008-06-09,45.1,47.05,44.5,44.5,23709
SHAHALLOYS,2008-06-10,44.6,47.4,44.6,46.05,9697
SHAHALLOYS,2008-06-11,47.0,48.25,46.1,47.3,2941
SHAHALLOYS,2008-06-12,46.05,48.45,46.05,47.0,671
SHAHALLOYS,2008-06-13,46.05,49.0,46.05,49.0,6824
SHAHALLOYS,2008-06-16,49.0,50.0,47.0,49.65,822
SHAHALLOYS,2008-06-17,49.0,49.4,47.5,48.75,3013
SHAHALLOYS,2008-06-18,48.5,49.3,48.0,48.2,6916
SHAHALLOYS,2008-06-19,45.8,48.0,45.8,45.8,2234
SHAHALLOYS,2008-06-20,45.0,45.0,44.2,44.65,3200
SHAHALLOYS,2008-06-23,43.0,45.8,43.0,44.8,1768
SHAHALLOYS,2008-06-24,46.0,46.0,44.8,44.8,2165
SHAHALLOYS,2008-06-25,44.75,45.0,44.75,44.8,5265
SHAHALLOYS,2008-06-26,43.85,44.0,43.85,44.0,1545
SHAHALLOYS,2008-06-27,42.55,44.45,42.55,43.85,5010
SHAHALLOYS,2008-06-30,43.35,43.5,41.7,41.7,3418
SHAHALLOYS,2008-07-01,41.7,43.0,41.2,41.95,9910
SHAHALLOYS,2008-07-02,41.0,42.05,39.85,40.5,215207
SHAHALLOYS,2008-07-03,42.3,42.55,42.0,42.2,5996
SHAHALLOYS,2008-07-04,41.05,41.15,41.05,41.15,220
SHAHALLOYS,2008-07-07,40.4,42.0,40.35,42.0,3730
SHAHALLOYS,2008-07-08,41.2,42.0,41.2,42.0,2450
SHAHALLOYS,2008-07-09,41.0,42.0,41.0,42.0,900
SHAHALLOYS,2008-07-10,42.9,43.0,42.5,42.5,620
SHAHALLOYS,2008-07-11,42.1,42.5,42.0,42.5,825
SHAHALLOYS,2008-07-14,44.4,44.65,43.05,44.65,2117
SHAHALLOYS,2008-07-15,44.2,46.0,43.0,45.7,1029
SHAHALLOYS,2008-07-16,43.5,43.5,43.5,43.5,200
SHAHALLOYS,2008-07-17,42.0,42.05,42.0,42.0,610
