symbol,date,open,high,low,close,volume
SHARDAMOTR,2015-09-03,199.79,205.99,184.0,191.04,29045
SHARDAMOTR,2015-09-04,189.0,189.01,180.0,185.0,13365
SHARDAMOTR,2015-09-07,185.0,185.0,178.0,178.0,12855
SHARDAMOTR,2015-09-09,156.07,182.0,156.07,174.67,850
SHARDAMOTR,2015-09-10,164.02,179.79,164.02,166.08,190
SHARDAMOTR,2015-09-11,179.59,179.59,165.0,166.01,160
SHARDAMOTR,2015-09-14,179.79,184.0,167.0,167.0,735
SHARDAMOTR,2015-09-15,176.79,183.0,176.79,183.0,65
SHARDAMOTR,2015-09-21,181.6,195.0,178.2,180.4,705
SHARDAMOTR,2015-09-22,178.2,180.0,175.0,175.0,1075
SHARDAMOTR,2015-09-23,191.0,191.0,191.0,191.0,5
SHARDAMOTR,2015-09-28,190.0,190.0,190.0,190.0,5
SHARDAMOTR,2015-09-29,180.0,180.0,172.2,172.32,72615
SHARDAMOTR,2015-09-30,181.0,181.3,172.4,181.0,1715
SHARDAMOTR,2015-10-01,179.56,182.01,179.56,180.0,200
SHARDAMOTR,2015-10-05,184.19,184.19,181.0,181.0,15
SHARDAMOTR,2015-10-06,180.6,183.8,179.8,179.8,275
SHARDAMOTR,2015-10-07,180.0,183.79,178.2,178.2,610
SHARDAMOTR,2015-10-08,176.0,176.0,174.2,174.43,1950
SHARDAMOTR,2015-10-09,180.0,180.0,180.0,180.0,50
SHARDAMOTR,2015-10-12,210.0,210.0,171.6,171.61,185
SHARDAMOTR,2015-10-13,175.0,175.0,175.0,175.0,10
SHARDAMOTR,2015-10-14,189.99,189.99,172.89,172.9,75
SHARDAMOTR,2015-10-15,171.01,187.19,171.01,172.0,165
SHARDAMOTR,2015-10-16,172.0,179.0,170.0,177.22,145
SHARDAMOTR,2015-10-19,179.0,179.8,177.4,177.51,150
SHARDAMOTR,2015-10-20,169.25,174.36,151.1,165.88,8735
SHARDAMOTR,2015-10-21,162.1,171.72,162.1,165.67,305
SHARDAMOTR,2015-10-23,173.0,173.0,157.8,171.18,520
SHARDAMOTR,2015-10-26,170.0,171.0,168.0,168.0,890
SHARDAMOTR,2015-10-27,168.0,170.0,165.2,170.0,1030
SHARDAMOTR,2015-10-28,170.0,170.0,168.0,168.0,265
SHARDAMOTR,2015-10-29,170.0,170.0,170.0,170.0,725
SHARDAMOTR,2015-10-30,161.44,168.99,161.44,162.84,195
SHARDAMOTR,2015-11-03,169.59,169.6,169.2,169.2,55
SHARDAMOTR,2015-11-04,169.99,188.0,165.01,179.75,10430
SHARDAMOTR,2015-11-05,179.82,190.0,179.81,188.92,3135
SHARDAMOTR,2015-11-06,182.4,193.0,179.05,179.68,3840
SHARDAMOTR,2015-11-09,167.2,180.0,167.2,179.82,810
SHARDAMOTR,2015-11-10,184.0,184.0,179.0,180.95,1145
SHARDAMOTR,2015-11-11,187.8,188.0,181.0,181.88,530
SHARDAMOTR,2015-11-13,182.99,186.0,173.3,174.22,335
SHARDAMOTR,2015-11-16,185.0,188.0,173.0,184.55,2435
SHARDAMOTR,2015-11-17,177.0,188.0,177.0,182.0,505
SHARDAMOTR,2015-11-19,185.0,185.0,176.0,179.0,830
SHARDAMOTR,2015-11-20,187.99,194.0,182.0,193.0,1150
SHARDAMOTR,2015-11-23,193.06,209.4,187.0,204.68,5030
SHARDAMOTR,2015-11-24,217.8,217.8,198.54,202.96,3720
SHARDAMOTR,2015-11-26,207.8,209.99,204.0,206.16,1935
SHARDAMOTR,2015-11-27,206.02,206.02,197.92,198.8,715
