symbol,date,open,high,low,close,volume
SHEETAL,2023-12-26,89.9,90.2,82.6,86.1,662001
SHEETAL,2023-12-27,89.95,91.9,83.5,83.5,336001
SHEETAL,2023-12-28,85.5,87.0,84.4,85.4,112001
SHEETAL,2023-12-29,86.6,86.6,80.5,82.0,112001
SHEETAL,2024-01-01,82.9,84.1,80.8,80.8,82001
SHEETAL,2024-01-02,81.5,82.5,79.8,79.95,74001
SHEETAL,2024-01-03,80.0,80.5,78.45,79.65,60001
SHEETAL,2024-01-04,79.7,82.0,79.7,80.85,46001
SHEETAL,2024-01-05,82.0,82.5,81.0,81.9,56001
SHEETAL,2024-01-08,86.95,86.95,82.1,84.3,104001
SHEETAL,2024-01-09,85.5,86.0,85.0,85.5,62001
SHEETAL,2024-01-10,85.5,85.5,84.0,84.0,80001
SHEETAL,2024-01-11,85.6,86.0,84.0,84.0,30001
SHEETAL,2024-01-12,84.05,84.05,81.5,82.0,46001
SHEETAL,2024-01-15,83.0,83.35,81.5,81.5,32001
SHEETAL,2024-01-16,80.2,82.5,80.2,82.5,30001
SHEETAL,2024-01-17,80.15,81.5,79.5,80.95,44001
SHEETAL,2024-01-18,80.0,80.3,76.55,76.6,68001
SHEETAL,2024-01-19,77.25,78.0,75.25,75.25,32001
SHEETAL,2024-01-20,77.0,77.5,76.0,76.0,28001
SHEETAL,2024-01-23,76.9,77.35,73.5,74.5,42000
SHEETAL,2024-01-24,74.3,74.5,70.95,74.5,112001
SHEETAL,2024-01-25,73.55,74.9,70.8,74.0,66001
SHEETAL,2024-01-29,74.0,75.75,72.0,75.7,48001
SHEETAL,2024-01-30,76.1,77.0,75.05,75.05,34001
SHEETAL,2024-01-31,76.25,81.95,75.0,77.8,142001
SHEETAL,2024-02-01,78.0,78.1,76.6,76.6,28001
SHEETAL,2024-02-02,77.0,77.2,74.7,74.8,48001
SHEETAL,2024-02-05,75.1,75.6,73.7,73.75,48001
SHEETAL,2024-02-06,73.5,74.5,73.5,74.0,32001
SHEETAL,2024-02-07,73.3,74.9,73.15,73.15,34001
SHEETAL,2024-02-08,73.15,73.15,72.5,72.5,22001
SHEETAL,2024-02-09,73.6,74.0,71.05,73.3,44001
SHEETAL,2024-02-12,73.0,73.0,71.05,71.5,48001
SHEETAL,2024-02-13,71.6,72.0,71.45,72.0,12001
SHEETAL,2024-02-14,72.0,72.0,72.0,72.0,2001
SHEETAL,2024-02-15,72.5,72.5,72.5,72.5,4001
SHEETAL,2024-02-16,72.6,73.0,71.5,72.8,30001
SHEETAL,2024-02-19,72.55,73.0,72.5,72.9,48001
SHEETAL,2024-02-20,72.5,75.0,71.65,71.65,42001
SHEETAL,2024-02-21,72.6,73.5,71.9,71.9,24001
SHEETAL,2024-02-22,72.0,73.0,71.4,72.5,86001
SHEETAL,2024-02-23,72.5,73.0,71.6,72.6,38001
SHEETAL,2024-02-26,72.0,72.5,71.25,71.25,36001
SHEETAL,2024-02-27,71.8,72.5,71.5,71.5,32001
SHEETAL,2024-02-28,71.6,71.6,70.5,71.05,80001
SHEETAL,2024-02-29,72.15,73.15,70.5,71.15,30001
SHEETAL,2024-03-01,71.25,72.55,71.05,71.8,44001
SHEETAL,2024-03-02,72.75,72.75,72.75,72.75,2001
SHEETAL,2024-03-04,71.5,71.5,69.5,71.5,22001
SHEETAL,2024-03-05,69.5,70.75,68.7,70.75,44001
SHEETAL,2024-03-06,70.0,70.7,69.9,70.55,30001
SHEETAL,2024-03-07,70.0,71.5,68.6,68.6,46001
SHEETAL,2024-03-11,70.0,70.0,65.2,65.2,74001
SHEETAL,2024-03-12,65.3,66.0,61.15,62.7,64001
SHEETAL,2024-03-13,63.4,63.5,58.7,60.0,48001
SHEETAL,2024-03-14,59.0,59.0,57.3,58.1,96001
SHEETAL,2024-03-15,56.5,59.4,56.1,57.65,90001
SHEETAL,2024-03-18,58.9,60.0,55.1,56.5,78001
SHEETAL,2024-03-19,56.55,60.9,56.55,57.75,28001
SHEETAL,2024-03-20,57.1,64.85,57.1,62.1,94001
SHEETAL,2024-03-21,59.2,67.75,59.2,65.9,66001
SHEETAL,2024-03-22,62.25,67.2,62.05,67.2,90001
SHEETAL,2024-03-26,63.0,67.75,62.3,63.95,46001
SHEETAL,2024-03-27,63.95,66.0,59.15,59.15,86001
SHEETAL,2024-03-28,61.6,62.0,60.5,61.45,102001
SHEETAL,2024-04-01,62.0,62.9,60.0,62.65,38001
SHEETAL,2024-04-02,64.0,64.85,60.6,61.75,96001
SHEETAL,2024-04-03,63.65,64.5,63.65,64.5,14001
SHEETAL,2024-04-04,64.0,66.0,64.0,66.0,34001
SHEETAL,2024-04-05,64.0,64.0,63.5,63.5,4001
SHEETAL,2024-04-08,64.2,65.15,64.2,65.15,10001
SHEETAL,2024-04-09,64.8,65.1,64.1,65.1,46001
SHEETAL,2024-04-10,65.9,70.8,65.9,70.8,34002
SHEETAL,2024-04-12,68.5,70.7,68.0,69.85,56001
SHEETAL,2024-04-15,69.5,69.8,66.0,66.0,64002
SHEETAL,2024-04-16,67.0,67.0,66.1,66.1,26001
SHEETAL,2024-04-18,66.8,66.9,64.0,64.4,20002
SHEETAL,2024-04-19,64.3,67.7,64.1,64.5,60002
SHEETAL,2024-04-22,64.5,70.95,63.5,70.95,98001
