symbol,date,open,high,low,close,volume
SHIVTEX,2016-01-01,113.85,117.95,112.0,114.95,239358
SHIVTEX,2016-01-04,114.0,137.5,112.1,136.1,550354
SHIVTEX,2016-01-05,138.3,143.9,133.8,138.8,365338
SHIVTEX,2016-01-06,139.0,139.4,125.2,126.5,118989
SHIVTEX,2016-01-07,124.4,125.65,119.55,122.0,83314
SHIVTEX,2016-01-08,121.0,129.4,121.0,126.25,116410
SHIVTEX,2016-01-11,124.1,128.35,120.15,127.7,90132
SHIVTEX,2016-01-12,125.0,127.65,121.0,124.5,66842
SHIVTEX,2016-01-13,123.85,126.3,102.0,114.0,125932
SHIVTEX,2016-01-14,105.1,125.8,101.0,120.55,180280
SHIVTEX,2016-01-15,122.5,124.7,109.25,112.45,81684
SHIVTEX,2016-01-18,102.2,115.2,102.2,105.0,37468
SHIVTEX,2016-01-19,107.7,114.0,107.7,112.0,37248
SHIVTEX,2016-01-20,110.0,110.95,100.15,107.0,39280
SHIVTEX,2016-01-21,109.0,126.15,109.0,126.15,290177
SHIVTEX,2016-01-22,130.4,133.7,125.55,130.3,278269
SHIVTEX,2016-01-25,133.5,135.55,128.0,130.0,75864
SHIVTEX,2016-01-27,132.0,134.0,125.75,126.2,62854
SHIVTEX,2016-01-28,126.0,129.5,126.0,128.75,28682
SHIVTEX,2016-01-29,128.05,130.9,127.05,128.25,31902
SHIVTEX,2016-02-01,127.1,130.6,127.0,127.1,19531
SHIVTEX,2016-02-02,126.3,130.0,126.0,126.9,26032
SHIVTEX,2016-02-03,125.0,126.85,117.0,121.5,22817
SHIVTEX,2016-02-04,123.35,124.35,120.55,121.1,9327
SHIVTEX,2016-02-05,120.05,122.8,118.5,118.6,30992
SHIVTEX,2016-02-08,121.65,121.65,114.5,116.5,16951
SHIVTEX,2016-02-09,117.0,118.8,114.2,116.55,11172
SHIVTEX,2016-02-10,116.7,117.9,107.4,108.15,34131
SHIVTEX,2016-02-11,110.0,111.95,94.0,99.5,25245
SHIVTEX,2016-02-12,98.05,104.4,94.05,101.0,22587
SHIVTEX,2016-02-15,101.2,102.5,87.0,92.5,50185
SHIVTEX,2016-02-16,92.5,92.95,88.1,88.9,38338
SHIVTEX,2016-02-17,89.0,89.9,78.65,83.65,43819
SHIVTEX,2016-02-18,85.0,91.8,82.0,88.0,29382
SHIVTEX,2016-02-19,88.85,90.4,87.0,87.4,22497
SHIVTEX,2016-02-22,86.0,90.15,86.0,88.2,17126
SHIVTEX,2016-02-23,88.0,88.35,85.5,86.85,11479
SHIVTEX,2016-02-24,86.8,86.8,81.5,83.5,4622
SHIVTEX,2016-02-25,82.0,83.4,80.0,80.6,5849
SHIVTEX,2016-02-26,82.0,83.8,80.15,82.5,6958
SHIVTEX,2016-02-29,81.05,84.9,81.05,84.9,6847
SHIVTEX,2016-03-01,82.75,87.9,82.75,87.25,8580
SHIVTEX,2016-03-02,88.0,104.25,88.0,104.25,156099
SHIVTEX,2016-03-03,105.4,113.4,97.25,109.05,124847
SHIVTEX,2016-03-04,108.4,111.35,105.9,107.0,35574
SHIVTEX,2016-03-08,111.9,111.9,104.0,105.35,19718
SHIVTEX,2016-03-09,104.0,106.0,102.5,102.55,12572
SHIVTEX,2016-03-10,105.0,105.5,98.4,101.5,6187
SHIVTEX,2016-03-11,100.0,106.1,97.65,106.1,18132
SHIVTEX,2016-03-14,106.1,108.0,102.0,102.55,3923
SHIVTEX,2016-03-15,102.55,105.0,101.1,102.5,4520
SHIVTEX,2016-03-16,101.05,105.0,101.05,103.0,10780
SHIVTEX,2016-03-17,106.45,106.45,101.05,101.05,6208
SHIVTEX,2016-03-18,102.15,104.9,102.0,102.0,1729
SHIVTEX,2016-03-21,102.65,107.0,102.65,107.0,7121
SHIVTEX,2016-03-22,104.0,113.9,102.95,107.3,19679
SHIVTEX,2016-03-23,106.0,110.0,104.05,105.6,14143
SHIVTEX,2016-03-28,109.9,110.0,100.25,105.0,18382
SHIVTEX,2016-03-29,103.0,107.0,101.15,101.5,8761
SHIVTEX,2016-03-30,101.0,105.1,101.0,105.1,2697
SHIVTEX,2016-03-31,104.4,106.75,101.5,103.0,3592
SHIVTEX,2016-04-01,103.05,105.0,103.0,103.0,6251
SHIVTEX,2016-04-04,103.25,109.7,103.0,107.0,8645
SHIVTEX,2016-04-05,107.0,109.5,104.1,106.55,3786
SHIVTEX,2016-04-06,105.0,107.9,104.15,105.0,790
SHIVTEX,2016-04-07,107.7,107.7,104.5,107.15,6963
SHIVTEX,2016-04-08,104.7,106.9,104.0,104.95,4836
SHIVTEX,2016-04-11,105.3,108.8,105.3,106.5,4841
