symbol,date,open,high,low,close,volume
SHRIASTER,2016-01-04,4.6,4.6,4.6,4.6,200
SHRIASTER,2016-01-05,4.65,4.65,4.4,4.4,902
SHRIASTER,2016-01-06,4.2,4.3,4.2,4.3,130
SHRIASTER,2016-01-07,4.5,4.5,4.25,4.5,6427
SHRIASTER,2016-01-08,4.45,4.45,4.3,4.3,475
SHRIASTER,2016-01-11,4.25,4.25,4.25,4.25,25
SHRIASTER,2016-01-18,4.05,4.05,4.05,4.05,5
SHRIASTER,2016-01-19,3.85,4.25,3.85,3.9,41
SHRIASTER,2016-01-20,3.75,3.75,3.75,3.75,3343
SHRIASTER,2016-01-21,3.7,3.7,3.6,3.6,2300
SHRIASTER,2016-01-25,3.75,3.75,3.55,3.55,1032
SHRIASTER,2016-01-29,3.7,3.7,3.45,3.45,1067
SHRIASTER,2016-02-01,3.6,3.6,3.6,3.6,150
SHRIASTER,2016-02-02,3.75,3.75,3.65,3.75,22904
SHRIASTER,2016-02-04,3.85,3.85,3.85,3.85,750
SHRIASTER,2016-02-05,4.0,4.0,4.0,4.0,1
SHRIASTER,2016-02-08,4.2,4.2,4.2,4.2,18
SHRIASTER,2016-02-09,4.35,4.35,4.35,4.35,50
SHRIASTER,2016-02-10,4.15,4.15,4.15,4.15,401
SHRIASTER,2016-02-15,3.95,4.35,3.95,4.35,113
SHRIASTER,2016-02-16,4.4,4.4,4.4,4.4,1
SHRIASTER,2016-02-18,4.5,4.5,4.5,4.5,1
SHRIASTER,2016-02-23,4.3,4.3,4.3,4.3,23
SHRIASTER,2016-02-25,4.1,4.1,4.1,4.1,535
SHRIASTER,2016-02-29,3.9,3.9,3.9,3.9,250
SHRIASTER,2016-03-01,3.75,4.05,3.75,4.05,1201
SHRIASTER,2016-03-02,3.85,4.25,3.85,4.25,401
SHRIASTER,2016-03-03,4.45,4.45,4.45,4.45,1
SHRIASTER,2016-03-04,4.25,4.25,4.25,4.25,1
SHRIASTER,2016-03-08,4.05,4.05,4.05,4.05,611
SHRIASTER,2016-03-17,4.25,4.25,4.25,4.25,10
SHRIASTER,2016-03-21,4.05,4.45,4.05,4.45,102
SHRIASTER,2016-03-22,4.25,4.25,4.25,4.25,47
SHRIASTER,2016-03-23,4.25,4.25,4.25,4.25,100
SHRIASTER,2016-03-30,4.05,4.05,4.05,4.05,9
SHRIASTER,2016-03-31,3.85,3.85,3.85,3.85,130
SHRIASTER,2016-04-06,3.7,3.7,3.7,3.7,99
SHRIASTER,2016-04-07,3.55,3.85,3.55,3.85,5001
SHRIASTER,2016-04-12,3.7,3.7,3.7,3.7,100
SHRIASTER,2016-04-13,3.55,3.55,3.55,3.55,160
SHRIASTER,2016-04-20,3.4,3.4,3.4,3.4,1131
SHRIASTER,2016-04-21,3.25,3.25,3.25,3.25,42
SHRIASTER,2016-04-22,3.1,3.35,3.1,3.35,509
SHRIASTER,2016-04-26,3.2,3.2,3.2,3.2,1000
SHRIASTER,2016-04-27,3.1,3.1,3.05,3.05,260
SHRIASTER,2016-04-28,2.9,2.95,2.9,2.9,1602
SHRIASTER,2016-04-29,2.8,2.8,2.8,2.8,50
SHRIASTER,2016-05-02,2.7,2.9,2.7,2.7,1471
SHRIASTER,2016-05-03,2.7,2.7,2.7,2.7,530
SHRIASTER,2016-05-04,2.7,2.7,2.7,2.7,139
SHRIASTER,2016-05-05,2.8,2.8,2.6,2.6,250
SHRIASTER,2016-05-06,2.6,2.6,2.6,2.6,300
SHRIASTER,2016-05-09,2.5,2.7,2.5,2.7,10050
SHRIASTER,2016-05-10,2.8,2.8,2.8,2.8,25
SHRIASTER,2016-05-11,2.8,2.9,2.8,2.9,20
SHRIASTER,2016-05-12,2.9,2.9,2.8,2.9,346
SHRIASTER,2016-05-13,2.8,3.0,2.8,3.0,242
SHRIASTER,2016-05-17,3.0,3.0,3.0,3.0,6111
SHRIASTER,2016-05-18,3.0,3.0,2.85,3.0,957
SHRIASTER,2016-05-19,3.0,3.0,3.0,3.0,221
SHRIASTER,2016-05-23,2.85,3.15,2.85,3.15,9510
SHRIASTER,2016-05-24,3.0,3.0,3.0,3.0,200
SHRIASTER,2016-05-27,2.9,2.95,2.85,2.85,6249
SHRIASTER,2016-05-30,2.75,2.85,2.75,2.85,61
SHRIASTER,2016-05-31,2.75,2.9,2.75,2.9,1268
SHRIASTER,2016-06-01,3.0,3.0,2.8,2.8,7967
SHRIASTER,2016-06-03,2.85,2.85,2.85,2.85,50
SHRIASTER,2016-06-06,2.75,2.75,2.75,2.75,21
SHRIASTER,2016-06-07,2.8,2.8,2.8,2.8,25
