symbol,date,open,high,low,close,volume
SIL,2016-01-01,25.8,26.65,25.8,26.5,5107
SIL,2016-01-04,26.75,26.75,25.6,25.7,8569
SIL,2016-01-05,25.7,26.55,25.7,26.4,5288
SIL,2016-01-06,26.0,26.9,25.65,26.75,5368
SIL,2016-01-07,26.75,26.75,25.3,25.3,13700
SIL,2016-01-08,26.5,26.5,25.2,26.0,2232
SIL,2016-01-11,25.6,26.1,25.6,26.1,50305
SIL,2016-01-12,25.7,26.25,25.15,25.15,36781
SIL,2016-01-13,26.0,26.0,23.95,24.7,63598
SIL,2016-01-14,24.0,24.8,23.5,24.45,37392
SIL,2016-01-15,24.0,24.4,22.8,22.8,14140
SIL,2016-01-18,21.85,23.25,21.8,23.25,3010
SIL,2016-01-19,22.2,23.25,22.15,23.0,17147
SIL,2016-01-20,22.25,22.6,21.85,22.55,21279
SIL,2016-01-21,23.0,23.0,21.15,21.15,2520
SIL,2016-01-22,21.2,22.3,21.2,22.3,410
SIL,2016-01-25,23.4,23.4,23.4,23.4,5666
SIL,2016-01-27,24.55,24.55,23.2,23.85,13934
SIL,2016-01-28,23.6,24.25,23.3,24.25,10716
SIL,2016-01-29,23.3,25.1,23.3,24.7,16864
SIL,2016-02-01,26.2,26.25,24.65,25.05,5785
SIL,2016-02-02,24.2,25.5,24.2,25.0,40656
SIL,2016-02-03,25.95,25.95,24.3,24.65,26101
SIL,2016-02-04,25.8,25.8,24.6,25.0,3595
SIL,2016-02-05,25.95,25.95,24.1,24.25,4822
SIL,2016-02-08,24.5,25.35,24.5,25.0,14443
SIL,2016-02-09,24.6,24.6,24.0,24.5,4526
SIL,2016-02-10,23.3,24.2,23.3,23.3,6243
SIL,2016-02-11,24.45,24.45,22.2,22.55,53807
SIL,2016-02-12,22.2,23.0,21.45,22.65,9087
SIL,2016-02-15,23.65,23.65,21.6,22.85,20396
SIL,2016-02-16,22.5,22.5,21.6,22.15,65
SIL,2016-02-17,21.5,23.15,21.5,23.1,4503
SIL,2016-02-18,23.8,23.8,22.75,23.65,3750
SIL,2016-02-19,22.6,24.2,22.6,23.6,2122
SIL,2016-02-22,24.45,24.45,23.0,23.55,13090
SIL,2016-02-23,22.5,23.6,22.5,23.4,758
SIL,2016-02-24,24.3,24.3,22.45,22.5,5773
SIL,2016-02-25,23.0,23.0,23.0,23.0,20
SIL,2016-02-26,23.7,23.7,21.85,22.3,6480
SIL,2016-02-29,22.95,22.95,21.45,22.75,249
SIL,2016-03-01,22.75,22.75,21.7,22.65,5520
SIL,2016-03-02,22.55,22.95,22.05,22.2,11471
SIL,2016-03-03,22.2,22.4,22.0,22.25,10687
SIL,2016-03-04,21.5,22.15,21.4,22.0,8484
SIL,2016-03-08,22.6,22.6,21.75,22.0,18361
SIL,2016-03-09,22.65,22.65,21.3,22.0,3023
SIL,2016-03-10,22.2,22.35,22.0,22.35,20646
SIL,2016-03-11,22.5,22.6,22.0,22.5,14100
SIL,2016-03-14,22.7,22.7,21.5,21.85,16994
SIL,2016-03-15,22.25,22.25,21.8,22.0,2215
SIL,2016-03-16,21.8,22.4,20.9,21.65,20596
SIL,2016-03-17,21.65,21.95,21.0,21.25,1277
SIL,2016-03-18,21.65,22.25,20.45,22.25,11022
SIL,2016-03-21,22.6,22.6,22.6,22.6,2242
SIL,2016-03-22,23.7,23.7,23.7,23.7,42862
SIL,2016-03-23,24.7,24.85,23.5,24.1,38851
SIL,2016-03-28,24.75,25.1,24.1,24.7,19700
SIL,2016-03-29,24.5,25.2,23.6,24.0,17299
SIL,2016-03-30,23.4,24.0,23.25,24.0,2380
SIL,2016-03-31,24.0,24.3,22.8,24.0,8664
SIL,2016-04-01,24.0,24.35,23.1,23.5,21915
SIL,2016-04-04,22.8,24.55,22.8,24.0,4943
SIL,2016-04-05,23.0,24.0,23.0,24.0,10905
SIL,2016-04-06,24.0,24.75,24.0,24.75,2154
SIL,2016-04-07,25.1,25.1,24.3,24.9,1609
SIL,2016-04-08,24.9,25.8,24.9,25.65,13598
SIL,2016-04-11,26.8,26.8,25.5,26.5,54158
SIL,2016-04-12,26.9,27.0,26.0,26.45,25888
SIL,2016-04-13,27.0,27.15,25.9,26.45,38329
SIL,2016-04-18,26.9,26.9,25.25,26.75,40100
SIL,2016-04-20,25.3,26.65,25.15,26.25,13405
SIL,2016-04-21,25.5,26.2,25.5,25.6,14102
SIL,2016-04-22,25.6,25.8,25.5,25.6,5931
SIL,2016-04-25,26.7,26.7,25.15,25.5,13021
SIL,2016-04-26,26.0,26.35,25.4,25.75,9750
SIL,2016-04-27,25.4,25.45,24.7,25.45,5637
SIL,2016-04-28,25.3,25.3,24.0,24.7,12806
SIL,2016-04-29,25.0,25.3,24.25,24.25,18249
SIL,2016-05-02,25.35,25.35,24.1,24.1,10709
SIL,2016-05-03,24.0,24.1,23.2,23.5,5923
SIL,2016-05-04,23.7,23.7,23.0,23.45,489
SIL,2016-05-05,23.7,23.7,23.0,23.6,5701
SIL,2016-05-06,22.5,24.2,22.5,22.65,7632
SIL,2016-05-09,23.4,23.4,22.15,23.35,4563
SIL,2016-05-10,23.0,23.7,22.2,22.6,1490
SIL,2016-05-11,23.15,23.15,21.75,22.95,3550
SIL,2016-05-12,22.1,22.55,21.85,22.55,39742
SIL,2016-05-13,22.15,23.0,22.15,23.0,10251
SIL,2016-05-16,23.8,23.8,22.05,23.35,886
SIL,2016-05-17,23.45,23.45,22.6,23.45,815
SIL,2016-05-18,22.6,23.5,22.6,22.65,894
SIL,2016-05-19,22.4,23.0,22.05,22.95,3966
SIL,2016-05-20,22.4,22.45,21.4,22.45,5688
SIL,2016-05-23,22.6,22.6,21.9,22.5,10717
SIL,2016-05-24,22.1,22.7,21.7,22.3,3580
SIL,2016-05-25,21.35,22.35,21.2,22.3,10781
SIL,2016-05-26,21.15,22.45,21.15,22.45,1214
SIL,2016-05-27,21.5,22.4,21.5,22.2,1546
SIL,2016-05-30,22.9,22.9,21.1,21.95,8818
SIL,2016-05-31,21.15,21.9,21.15,21.7,1018
SIL,2016-06-01,21.2,22.75,21.2,22.2,8952
SIL,2016-06-02,21.6,22.7,21.55,22.15,2551
SIL,2016-06-03,21.5,22.5,21.5,22.5,5512
SIL,2016-06-06,22.9,22.9,21.7,22.4,2070
SIL,2016-06-07,21.7,22.45,21.7,21.7,5792
SIL,2016-06-08,22.4,23.0,21.25,22.9,19804
SIL,2016-06-09,21.95,22.0,21.5,21.9,4400
SIL,2016-06-10,21.1,22.0,21.1,21.5,7150
SIL,2016-06-13,22.0,22.0,20.55,20.7,13310
SIL,2016-06-14,20.0,21.5,20.0,21.25,3435
SIL,2016-06-15,21.05,21.35,21.0,21.35,26955
SIL,2016-06-16,21.5,21.5,20.7,21.35,3888
SIL,2016-06-17,20.5,21.35,20.5,21.1,19734
SIL,2016-06-20,21.7,21.7,20.65,21.55,2918
SIL,2016-06-21,21.6,21.6,21.0,21.4,2050
SIL,2016-06-22,20.8,21.65,20.75,21.0,1989
SIL,2016-06-23,21.05,21.2,20.5,21.05,2613
