symbol,date,open,high,low,close,volume
SILVERIETF,2023-12-20,75.35,75.6,75.21,75.32,106821
SILVERIETF,2023-12-21,75.75,76.1,75.7,75.87,253184
SILVERIETF,2023-12-22,76.34,76.35,75.9,76.05,100949
SILVERIETF,2023-12-26,76.23,76.29,75.83,76.0,109808
SILVERIETF,2023-12-27,75.95,75.99,75.76,75.9,195513
SILVERIETF,2023-12-28,75.5,76.34,75.5,76.1,90237
SILVERIETF,2023-12-29,75.86,75.86,74.85,74.97,386565
SILVERIETF,2024-01-01,75.49,75.49,75.01,75.22,106959
SILVERIETF,2024-01-02,75.36,75.83,75.3,75.74,129706
SILVERIETF,2024-01-03,75.5,75.5,74.2,74.32,788864
SILVERIETF,2024-01-04,74.11,74.11,73.16,73.37,575109
SILVERIETF,2024-01-05,73.5,74.09,73.2,73.26,479915
SILVERIETF,2024-01-08,73.5,73.59,72.91,73.09,810701
SILVERIETF,2024-01-09,73.5,73.69,73.16,73.53,272100
SILVERIETF,2024-01-10,73.53,73.53,72.8,73.19,329307
SILVERIETF,2024-01-11,73.49,73.49,72.83,73.03,232869
SILVERIETF,2024-01-12,73.04,73.04,72.7,72.86,480348
SILVERIETF,2024-01-15,73.5,73.84,73.41,73.62,302981
SILVERIETF,2024-01-16,73.36,73.48,73.22,73.3,275280
SILVERIETF,2024-01-17,73.0,73.0,72.42,72.66,251651
SILVERIETF,2024-01-18,72.54,72.65,72.3,72.44,288656
SILVERIETF,2024-01-19,72.62,72.91,72.41,72.69,215112
SILVERIETF,2024-01-20,72.75,72.75,72.58,72.65,52056
SILVERIETF,2024-01-23,72.5,72.5,71.85,71.92,242358
SILVERIETF,2024-01-24,72.49,72.77,71.86,72.71,221527
SILVERIETF,2024-01-25,72.75,72.99,72.45,72.82,225614
SILVERIETF,2024-01-29,72.99,73.25,72.82,73.11,91011
SILVERIETF,2024-01-30,73.52,73.52,73.11,73.24,358972
SILVERIETF,2024-01-31,72.82,73.34,72.82,73.1,136245
SILVERIETF,2024-02-01,73.29,73.3,72.25,72.37,208846
SILVERIETF,2024-02-02,72.97,73.3,72.87,73.16,442702
SILVERIETF,2024-02-05,72.51,72.51,71.86,71.87,338105
SILVERIETF,2024-02-06,71.92,71.95,71.4,71.53,986505
SILVERIETF,2024-02-07,71.66,71.67,71.3,71.32,303936
SILVERIETF,2024-02-08,71.44,71.55,71.21,71.5,231944
SILVERIETF,2024-02-09,72.44,72.44,71.81,72.03,128750
SILVERIETF,2024-02-12,72.06,72.74,69.87,72.3,93390
SILVERIETF,2024-02-13,72.11,72.54,71.92,72.4,56597
SILVERIETF,2024-02-14,71.4,71.4,70.48,70.6,475481
SILVERIETF,2024-02-15,71.0,71.9,71.0,71.7,296395
SILVERIETF,2024-02-16,71.99,72.78,71.99,72.65,497750
SILVERIETF,2024-02-19,73.0,73.0,72.52,72.67,116348
SILVERIETF,2024-02-20,72.49,72.49,72.16,72.48,49427
SILVERIETF,2024-02-21,72.87,72.97,72.11,72.31,292117
SILVERIETF,2024-02-22,72.0,72.57,71.71,72.47,89892
SILVERIETF,2024-02-23,72.0,72.0,71.2,71.47,312210
SILVERIETF,2024-02-26,71.82,71.88,71.45,71.55,148364
SILVERIETF,2024-02-27,71.38,71.79,71.0,71.4,974431
SILVERIETF,2024-02-28,71.17,71.18,70.72,70.8,151455
SILVERIETF,2024-02-29,70.5,71.36,68.65,70.99,178399
SILVERIETF,2024-03-01,71.42,71.75,71.22,71.6,1135526
SILVERIETF,2024-03-02,71.82,72.78,71.65,72.18,30150
SILVERIETF,2024-03-04,72.49,72.49,72.06,72.33,139843
SILVERIETF,2024-03-05,72.5,73.94,72.5,73.81,562009
SILVERIETF,2024-03-06,73.48,73.5,73.0,73.44,111759
SILVERIETF,2024-03-07,73.5,75.5,73.5,74.0,280054
SILVERIETF,2024-03-11,73.89,74.7,73.87,74.45,552693
SILVERIETF,2024-03-12,74.61,74.79,74.4,74.64,219715
SILVERIETF,2024-03-13,74.29,74.3,73.62,73.91,360198
SILVERIETF,2024-03-14,74.46,75.2,74.46,74.91,383432
SILVERIETF,2024-03-15,75.23,75.25,74.99,75.17,202596
SILVERIETF,2024-03-18,75.19,75.35,74.71,75.2,188447
SILVERIETF,2024-03-19,75.2,75.51,74.76,75.03,731242
SILVERIETF,2024-03-20,75.13,75.39,74.95,75.39,269102
SILVERIETF,2024-03-21,75.66,76.38,75.66,76.23,685824
SILVERIETF,2024-03-22,75.5,75.5,74.9,75.2,394965
SILVERIETF,2024-03-26,75.49,75.6,74.87,75.48,351193
SILVERIETF,2024-03-27,75.0,75.25,74.94,75.11,159457
SILVERIETF,2024-03-28,75.3,75.68,75.16,75.31,288957
SILVERIETF,2024-04-01,75.5,77.2,75.5,76.82,489528
SILVERIETF,2024-04-02,76.82,78.0,76.82,77.86,430457
SILVERIETF,2024-04-03,77.9,79.95,77.9,79.32,970753
SILVERIETF,2024-04-04,79.9,82.3,79.9,80.91,1369476
SILVERIETF,2024-04-05,80.48,81.07,79.3,80.84,1877618
SILVERIETF,2024-04-08,81.0,83.4,81.0,83.28,2412436
SILVERIETF,2024-04-09,83.74,85.0,82.92,83.89,867398
SILVERIETF,2024-04-10,86.4,86.4,83.7,84.02,1350685
SILVERIETF,2024-04-12,85.0,86.0,84.86,85.84,1321992
SILVERIETF,2024-04-15,84.94,85.68,84.3,84.72,1619392
SILVERIETF,2024-04-16,85.0,85.64,84.76,85.14,3160239
SILVERIETF,2024-04-18,85.08,85.24,84.52,85.09,575032
SILVERIETF,2024-04-19,85.11,85.4,84.22,84.55,678845
SILVERIETF,2024-04-22,84.17,84.17,82.72,83.39,770597
SILVERIETF,2024-04-23,82.5,82.5,80.83,81.2,693676
SILVERIETF,2024-04-24,82.0,83.27,81.97,82.1,512594
SILVERIETF,2024-04-25,82.4,82.84,81.52,82.49,387707
SILVERIETF,2024-04-26,82.4,83.39,82.4,83.39,405435
SILVERIETF,2024-04-29,82.5,82.79,80.01,82.7,555716
SILVERIETF,2024-04-30,82.25,82.25,81.36,81.59,1186796
