symbol,date,open,high,low,close,volume
SIMPLEXINF,2008-06-09,470.7,510.0,457.0,499.65,36588
SIMPLEXINF,2008-06-10,486.5,495.0,452.7,463.8,2909
SIMPLEXINF,2008-06-11,472.9,485.0,455.0,479.35,3810
SIMPLEXINF,2008-06-12,448.05,490.0,425.6,480.25,1408
SIMPLEXINF,2008-06-13,470.0,490.0,468.0,484.15,21035
SIMPLEXINF,2008-06-16,485.05,500.0,485.05,494.55,1616
SIMPLEXINF,2008-06-17,520.0,528.95,485.0,490.4,310
SIMPLEXINF,2008-06-18,527.8,527.8,484.0,501.65,1854
SIMPLEXINF,2008-06-19,472.0,519.0,472.0,511.9,1312
SIMPLEXINF,2008-06-20,493.05,513.95,490.0,496.7,2188
SIMPLEXINF,2008-06-23,471.0,496.0,453.0,472.15,32312
SIMPLEXINF,2008-06-24,490.0,563.6,467.1,475.25,46922
SIMPLEXINF,2008-06-25,488.45,490.0,450.6,470.0,1004350
SIMPLEXINF,2008-06-26,499.95,500.0,467.6,475.3,2486
SIMPLEXINF,2008-06-27,460.0,472.9,431.5,445.35,7302
SIMPLEXINF,2008-06-30,450.0,467.95,420.6,426.2,3844
SIMPLEXINF,2008-07-01,423.1,440.0,390.1,423.4,14187
SIMPLEXINF,2008-07-02,430.0,430.0,385.05,414.5,42007
SIMPLEXINF,2008-07-03,402.05,410.0,371.15,380.75,16950
SIMPLEXINF,2008-07-04,372.2,450.3,363.5,445.2,41282
SIMPLEXINF,2008-07-07,452.0,477.3,425.15,433.55,3093
SIMPLEXINF,2008-07-08,430.0,472.3,419.0,448.2,32139
SIMPLEXINF,2008-07-09,450.0,471.0,447.05,449.8,5989
SIMPLEXINF,2008-07-10,440.0,458.5,433.0,438.8,1270
SIMPLEXINF,2008-07-11,441.0,445.0,420.0,433.95,821
SIMPLEXINF,2008-07-14,425.0,446.0,411.0,422.3,3243
SIMPLEXINF,2008-07-15,421.0,424.1,405.9,414.45,728
SIMPLEXINF,2008-07-16,405.0,416.9,365.15,387.5,18580
SIMPLEXINF,2008-07-17,394.0,404.6,385.0,392.15,1851
SIMPLEXINF,2008-07-18,399.95,412.0,378.0,404.7,2210
SIMPLEXINF,2008-07-21,419.9,419.9,385.0,410.4,200474
SIMPLEXINF,2008-07-22,415.0,432.0,396.0,429.55,11960
SIMPLEXINF,2008-07-23,450.0,459.0,423.0,450.85,12343
SIMPLEXINF,2008-07-24,462.0,471.95,431.1,451.45,5353
SIMPLEXINF,2008-07-25,470.0,470.0,421.0,443.75,4590
SIMPLEXINF,2008-07-28,469.0,469.0,425.15,456.85,2201
SIMPLEXINF,2008-07-29,436.0,450.0,426.0,429.6,3643
SIMPLEXINF,2008-07-30,440.0,440.0,422.0,426.1,2234
SIMPLEXINF,2008-07-31,422.75,441.0,415.05,435.9,16862
SIMPLEXINF,2008-08-01,459.0,459.0,371.0,430.5,7222
SIMPLEXINF,2008-08-04,440.0,464.0,435.0,457.3,10817
SIMPLEXINF,2008-08-05,472.0,485.0,461.0,468.7,3014
SIMPLEXINF,2008-08-06,480.0,487.0,450.5,456.15,2196
SIMPLEXINF,2008-08-07,450.5,465.0,450.5,460.4,1378
SIMPLEXINF,2008-08-08,454.05,465.0,453.05,458.55,1102
SIMPLEXINF,2008-08-11,460.0,479.95,460.0,475.45,3977
SIMPLEXINF,2008-08-12,467.0,479.0,467.0,470.75,709
SIMPLEXINF,2008-08-13,461.85,484.0,461.75,479.7,3529
SIMPLEXINF,2008-08-14,467.25,476.4,467.0,470.0,960
SIMPLEXINF,2008-08-18,460.1,465.0,450.25,460.1,599
SIMPLEXINF,2008-08-19,465.0,475.9,451.25,465.45,848
SIMPLEXINF,2008-08-20,467.0,484.85,467.0,480.05,54167
SIMPLEXINF,2008-08-21,475.0,485.0,470.05,474.3,584
SIMPLEXINF,2008-08-22,472.0,477.0,462.05,476.95,9943
SIMPLEXINF,2008-08-25,466.15,480.0,466.15,479.7,1510
SIMPLEXINF,2008-08-26,475.0,479.0,471.0,476.1,4422
SIMPLEXINF,2008-08-27,476.45,480.0,467.3,470.9,16747
SIMPLEXINF,2008-08-28,470.0,477.95,460.0,469.9,55751
SIMPLEXINF,2008-08-29,479.0,479.9,468.0,475.9,29069
SIMPLEXINF,2008-09-01,478.0,484.95,470.05,480.05,1264
SIMPLEXINF,2008-09-02,441.0,480.0,441.0,475.1,614
SIMPLEXINF,2008-09-04,475.0,475.0,463.0,464.05,426
SIMPLEXINF,2008-09-05,460.0,475.0,460.0,466.6,1186
SIMPLEXINF,2008-09-08,497.0,497.0,462.3,476.3,3293
SIMPLEXINF,2008-09-09,470.0,472.95,465.0,470.0,2818
SIMPLEXINF,2008-09-10,465.05,472.0,464.95,468.75,5580
SIMPLEXINF,2008-09-11,458.2,468.0,458.15,463.45,302
SIMPLEXINF,2008-09-12,473.0,478.95,458.0,475.0,124754
SIMPLEXINF,2008-09-15,441.1,460.0,430.0,449.3,4220
SIMPLEXINF,2008-09-16,436.0,476.5,435.0,470.95,1842
SIMPLEXINF,2008-09-17,456.3,467.9,420.7,431.95,3079
SIMPLEXINF,2008-09-18,420.0,449.7,400.0,434.7,35099
SIMPLEXINF,2008-09-19,442.0,442.25,426.0,434.95,25493
SIMPLEXINF,2008-09-22,436.0,444.9,417.6,419.0,1056
SIMPLEXINF,2008-09-23,422.0,422.0,391.2,409.8,2572
SIMPLEXINF,2008-09-24,410.05,439.0,394.0,408.75,28779
SIMPLEXINF,2008-09-25,418.0,440.0,385.0,429.6,12962
SIMPLEXINF,2008-09-26,430.0,430.0,400.4,409.75,11662
SIMPLEXINF,2008-09-29,415.15,419.0,348.0,351.85,17563
SIMPLEXINF,2008-09-30,370.0,389.95,326.0,370.65,9064
SIMPLEXINF,2008-10-01,375.0,376.95,361.65,372.65,99109
SIMPLEXINF,2008-10-03,374.0,374.0,335.0,349.6,2108
SIMPLEXINF,2008-10-06,350.0,354.7,308.1,313.6,1752
SIMPLEXINF,2008-10-07,315.5,340.0,291.3,302.65,1617
SIMPLEXINF,2008-10-08,268.05,298.0,259.85,280.1,16631
SIMPLEXINF,2008-10-10,252.0,271.0,229.6,254.05,2735
SIMPLEXINF,2008-10-13,283.7,284.0,240.0,253.15,25211
SIMPLEXINF,2008-10-14,270.0,275.0,255.0,258.05,4037
SIMPLEXINF,2008-10-15,240.5,262.95,235.0,242.6,3100
SIMPLEXINF,2008-10-16,231.0,265.0,203.0,251.7,8300
