symbol,date,open,high,low,close,volume
SMALLCAP,2024-02-29,46.19,46.19,43.61,44.83,57439
SMALLCAP,2024-03-01,45.94,45.94,44.27,44.8,193570
SMALLCAP,2024-03-02,46.49,46.49,45.0,45.8,46473
SMALLCAP,2024-03-04,47.0,47.0,44.96,45.11,840079
SMALLCAP,2024-03-05,45.49,45.49,44.5,44.87,526017
SMALLCAP,2024-03-06,44.82,44.95,43.29,43.87,914229
SMALLCAP,2024-03-07,44.24,44.44,43.68,44.14,175719
SMALLCAP,2024-03-11,44.72,44.72,43.22,43.72,493887
SMALLCAP,2024-03-12,44.37,44.37,42.31,42.96,677592
SMALLCAP,2024-03-13,43.8,43.97,39.83,40.24,2070491
SMALLCAP,2024-03-14,40.79,41.95,39.24,41.5,971578
SMALLCAP,2024-03-15,41.89,42.0,40.75,41.99,598889
SMALLCAP,2024-03-18,41.98,42.2,41.16,41.5,429983
SMALLCAP,2024-03-19,41.74,41.74,40.7,40.7,759386
SMALLCAP,2024-03-20,41.33,41.33,40.44,40.85,506508
SMALLCAP,2024-03-21,42.1,42.1,41.21,41.98,341528
SMALLCAP,2024-03-22,42.29,42.29,41.76,42.25,496127
SMALLCAP,2024-03-26,42.99,43.48,41.8,42.48,719591
SMALLCAP,2024-03-27,42.97,43.45,42.75,42.9,1114911
SMALLCAP,2024-03-28,43.39,43.66,42.85,42.91,830647
SMALLCAP,2024-04-01,43.06,44.25,42.99,44.24,674816
SMALLCAP,2024-04-02,44.18,44.8,44.16,44.79,1242502
SMALLCAP,2024-04-03,44.94,45.36,44.7,45.35,1057349
SMALLCAP,2024-04-04,45.35,46.0,45.09,45.57,995047
SMALLCAP,2024-04-05,45.84,47.15,45.15,47.15,669421
SMALLCAP,2024-04-08,46.25,46.68,45.52,45.86,809752
SMALLCAP,2024-04-09,46.37,46.5,45.5,45.78,383025
SMALLCAP,2024-04-10,46.09,46.14,45.31,46.14,368201
SMALLCAP,2024-04-12,46.25,47.77,46.1,46.2,615454
SMALLCAP,2024-04-15,46.78,46.78,45.0,45.65,833885
SMALLCAP,2024-04-16,46.4,46.4,44.54,45.64,204820
SMALLCAP,2024-04-18,46.25,46.25,45.25,45.55,372703
SMALLCAP,2024-04-19,45.4,46.0,44.5,45.27,480725
SMALLCAP,2024-04-22,45.77,45.9,45.28,45.9,281284
SMALLCAP,2024-04-23,46.17,46.6,45.03,46.5,362696
SMALLCAP,2024-04-24,46.99,46.99,46.5,46.81,406855
SMALLCAP,2024-04-25,46.81,47.4,46.81,47.33,428644
SMALLCAP,2024-04-26,47.65,48.0,47.21,47.7,506642
SMALLCAP,2024-04-29,48.6,49.8,47.21,47.47,1196352
SMALLCAP,2024-04-30,47.84,48.5,47.38,47.54,497175
