symbol,date,open,high,low,close,volume
SMSLIFE,2017-08-17,128.45,134.85,128.45,134.85,931
SMSLIFE,2017-08-18,141.55,141.55,141.55,141.55,263
SMSLIFE,2017-08-21,148.6,148.6,148.6,148.6,85
SMSLIFE,2017-08-22,156.0,156.0,156.0,156.0,151
SMSLIFE,2017-08-23,163.8,163.8,163.8,163.8,550
SMSLIFE,2017-08-24,171.95,171.95,171.95,171.95,160
SMSLIFE,2017-08-28,180.5,180.5,180.5,180.5,35
SMSLIFE,2017-08-29,180.0,189.5,180.0,189.5,100
SMSLIFE,2017-08-30,198.95,198.95,198.95,198.95,130
SMSLIFE,2017-08-31,208.85,208.85,208.85,208.85,415
SMSLIFE,2017-09-01,229.7,229.7,229.7,229.7,1164
SMSLIFE,2017-09-04,252.65,252.65,252.65,252.65,295
SMSLIFE,2017-09-05,277.9,277.9,277.9,277.9,402
SMSLIFE,2017-09-06,291.75,291.75,291.75,291.75,2647
SMSLIFE,2017-09-07,306.3,306.3,306.3,306.3,682
SMSLIFE,2017-09-08,321.6,321.6,321.6,321.6,360
SMSLIFE,2017-09-11,337.65,337.65,337.65,337.65,1051
SMSLIFE,2017-09-12,354.5,354.5,354.5,354.5,459
SMSLIFE,2017-09-13,372.2,372.2,372.2,372.2,2273
SMSLIFE,2017-09-14,390.8,390.8,390.8,390.8,4720
SMSLIFE,2017-09-15,410.3,410.3,410.3,410.3,27215
SMSLIFE,2017-09-18,430.8,430.8,419.95,430.8,38697
SMSLIFE,2017-09-19,452.3,452.3,436.05,452.3,14819
SMSLIFE,2017-09-20,474.9,474.9,460.0,474.9,10685
SMSLIFE,2017-09-21,498.6,498.6,470.0,498.6,53673
SMSLIFE,2017-09-22,519.05,523.5,505.0,523.5,40743
SMSLIFE,2017-09-25,549.0,549.65,508.1,511.0,43744
SMSLIFE,2017-09-26,500.1,513.0,485.45,490.05,27279
SMSLIFE,2017-09-27,472.0,500.0,466.05,470.25,21802
SMSLIFE,2017-09-28,465.0,480.0,447.05,470.9,2723
SMSLIFE,2017-09-29,470.0,470.0,450.3,460.0,3962
SMSLIFE,2017-10-03,452.0,470.0,445.0,455.0,4212
SMSLIFE,2017-10-04,435.0,477.7,435.0,472.25,4373
SMSLIFE,2017-10-05,455.0,495.85,455.0,495.85,8633
SMSLIFE,2017-10-06,520.6,520.6,504.2,509.1,9152
SMSLIFE,2017-10-09,530.0,530.0,486.0,491.5,5218
SMSLIFE,2017-10-10,510.0,510.0,480.0,490.0,3173
SMSLIFE,2017-10-11,480.0,494.95,465.5,467.7,2766
SMSLIFE,2017-10-12,446.05,484.0,446.05,465.65,1020
SMSLIFE,2017-10-13,475.0,480.0,460.0,474.95,721
SMSLIFE,2017-10-16,470.0,480.0,455.15,467.8,1951
SMSLIFE,2017-10-17,451.25,480.0,451.05,474.0,2698
SMSLIFE,2017-10-18,471.0,488.0,455.1,483.8,2510
SMSLIFE,2017-10-19,475.0,486.5,463.0,470.85,244
SMSLIFE,2017-10-23,460.0,470.0,457.0,462.95,1171
SMSLIFE,2017-10-24,463.0,463.0,450.15,462.0,754
SMSLIFE,2017-10-25,455.0,460.95,450.1,450.1,887
SMSLIFE,2017-10-26,427.6,469.95,427.6,446.15,967
SMSLIFE,2017-10-27,457.5,457.5,423.85,442.55,1146
SMSLIFE,2017-10-30,445.0,445.0,420.45,434.6,2069
SMSLIFE,2017-10-31,420.5,436.95,413.0,416.9,2277
SMSLIFE,2017-11-01,421.0,425.0,410.0,413.05,2492
SMSLIFE,2017-11-02,415.5,433.7,413.5,433.7,1477
SMSLIFE,2017-11-03,426.0,450.0,426.0,446.9,1158
SMSLIFE,2017-11-06,430.0,450.0,430.0,437.9,518
SMSLIFE,2017-11-07,437.0,443.0,430.0,433.0,1780
SMSLIFE,2017-11-08,430.0,445.0,424.4,432.0,935
SMSLIFE,2017-11-09,430.0,453.6,430.0,453.45,10245
SMSLIFE,2017-11-10,431.5,453.0,431.5,444.0,8210
SMSLIFE,2017-11-13,432.0,440.0,432.0,434.05,176
SMSLIFE,2017-11-14,425.0,449.0,425.0,446.45,1551
SMSLIFE,2017-11-15,465.0,465.0,424.15,429.4,1937
SMSLIFE,2017-11-16,411.05,440.0,411.05,429.95,1987
SMSLIFE,2017-11-17,430.05,434.95,425.0,429.8,1212
SMSLIFE,2017-11-20,421.0,435.0,421.0,429.0,2271
SMSLIFE,2017-11-21,425.0,450.0,415.0,432.0,636
SMSLIFE,2017-11-22,449.6,449.6,415.4,427.35,390
SMSLIFE,2017-11-23,425.5,435.0,422.35,428.1,262
SMSLIFE,2017-11-24,425.5,440.0,425.0,437.75,931
SMSLIFE,2017-11-27,439.0,439.0,427.0,429.8,1172
SMSLIFE,2017-11-28,427.5,430.95,422.0,430.0,501
SMSLIFE,2017-11-29,427.5,440.0,420.05,423.0,1013
SMSLIFE,2017-11-30,420.5,440.0,416.5,428.35,739
SMSLIFE,2017-12-01,421.05,435.0,421.05,426.0,415
SMSLIFE,2017-12-04,440.0,444.9,426.0,432.85,2384
SMSLIFE,2017-12-05,435.0,435.0,427.0,432.7,1249
SMSLIFE,2017-12-06,432.0,454.3,426.05,429.25,3181
SMSLIFE,2017-12-07,426.1,435.0,426.1,428.7,1071
SMSLIFE,2017-12-08,444.95,444.95,425.0,426.5,2035
SMSLIFE,2017-12-11,425.5,440.0,405.6,429.6,1384
SMSLIFE,2017-12-12,420.0,435.0,408.5,428.45,8656
SMSLIFE,2017-12-13,417.2,429.5,416.0,421.15,786
SMSLIFE,2017-12-14,415.4,419.9,379.2,405.85,30357
SMSLIFE,2017-12-15,405.85,426.7,390.0,399.45,4588
SMSLIFE,2017-12-18,387.0,403.9,387.0,390.65,1865
SMSLIFE,2017-12-19,395.0,410.0,395.0,400.0,1757
SMSLIFE,2017-12-20,400.1,412.0,398.0,405.8,1608
SMSLIFE,2017-12-21,390.2,434.0,390.2,423.75,1743
SMSLIFE,2017-12-22,423.75,445.0,410.0,434.05,9907
SMSLIFE,2017-12-26,457.0,457.0,421.0,429.4,4966
SMSLIFE,2017-12-27,429.4,438.0,425.0,427.1,3490
SMSLIFE,2017-12-28,430.0,434.8,395.55,427.05,3381
SMSLIFE,2017-12-29,434.8,435.0,420.0,420.2,1885
SMSLIFE,2018-01-01,455.0,455.0,405.55,425.85,2823
SMSLIFE,2018-01-02,420.0,430.0,420.0,428.9,2111
SMSLIFE,2018-01-03,417.5,430.0,411.0,429.9,1147
SMSLIFE,2018-01-04,429.9,430.0,421.0,429.95,437
SMSLIFE,2018-01-05,429.95,430.0,412.15,421.0,4793
SMSLIFE,2018-01-08,425.0,434.95,418.3,433.75,1609
SMSLIFE,2018-01-09,433.75,433.75,415.0,415.95,5431
SMSLIFE,2018-01-10,410.0,423.95,410.0,412.9,1124
SMSLIFE,2018-01-11,415.0,423.95,413.0,415.85,2463
SMSLIFE,2018-01-12,428.95,428.95,410.0,410.25,6954
SMSLIFE,2018-01-15,408.1,449.9,408.1,421.9,2081
SMSLIFE,2018-01-16,412.0,418.2,410.2,410.95,1193
SMSLIFE,2018-01-17,420.0,429.95,415.0,423.6,5459
SMSLIFE,2018-01-18,423.6,423.6,411.0,417.35,621
SMSLIFE,2018-01-19,410.5,425.0,410.5,415.05,1024
SMSLIFE,2018-01-22,415.0,425.0,415.0,418.45,5104
SMSLIFE,2018-01-23,422.0,422.0,412.0,413.95,3410
SMSLIFE,2018-01-24,412.5,422.0,403.65,415.1,1057
