symbol,date,open,high,low,close,volume
SMSPHARMA,2008-06-09,24.51,25.49,20.5,25.18,976150
SMSPHARMA,2008-06-10,25.3,29.0,25.3,26.54,1089630
SMSPHARMA,2008-06-11,26.98,28.47,26.9,28.14,1601820
SMSPHARMA,2008-06-12,27.89,28.0,27.18,27.8,1173210
SMSPHARMA,2008-06-13,29.1,29.1,27.4,27.83,210670
SMSPHARMA,2008-06-16,28.5,28.5,26.5,27.69,70340
SMSPHARMA,2008-06-17,27.4,28.99,26.8,28.77,290240
SMSPHARMA,2008-06-18,29.0,30.2,29.0,29.54,443630
SMSPHARMA,2008-06-19,30.6,30.6,29.0,29.75,191390
SMSPHARMA,2008-06-20,29.79,30.3,28.27,28.64,257750
SMSPHARMA,2008-06-23,27.5,28.4,27.21,27.35,88970
SMSPHARMA,2008-06-24,28.4,28.4,25.99,26.02,142850
SMSPHARMA,2008-06-25,25.01,26.85,24.75,26.05,47280
SMSPHARMA,2008-06-26,25.11,26.5,25.11,25.61,47220
SMSPHARMA,2008-06-27,24.4,25.25,24.33,24.33,79050
SMSPHARMA,2008-06-30,24.11,24.3,23.12,23.12,40090
SMSPHARMA,2008-07-01,22.04,23.8,21.97,21.97,30900
SMSPHARMA,2008-07-02,22.0,23.07,20.88,22.55,190230
SMSPHARMA,2008-07-03,21.44,22.4,21.43,21.45,28590
SMSPHARMA,2008-07-04,21.5,22.5,20.4,22.11,65550
SMSPHARMA,2008-07-07,23.0,23.0,21.01,21.28,42510
SMSPHARMA,2008-07-08,21.1,22.0,20.4,21.91,37790
SMSPHARMA,2008-07-09,22.99,22.99,21.25,21.86,39000
SMSPHARMA,2008-07-10,21.33,22.35,21.33,21.82,18200
SMSPHARMA,2008-07-11,21.2,21.99,21.01,21.82,19980
SMSPHARMA,2008-07-14,21.5,21.92,21.16,21.88,16800
SMSPHARMA,2008-07-15,21.65,21.65,20.79,21.0,14300
SMSPHARMA,2008-07-16,20.5,21.4,19.95,19.95,51280
SMSPHARMA,2008-07-17,19.4,20.4,19.4,20.09,59620
SMSPHARMA,2008-07-18,20.8,21.1,20.08,21.1,25560
SMSPHARMA,2008-07-21,21.01,21.4,20.13,21.13,32120
SMSPHARMA,2008-07-22,21.4,21.9,21.1,21.6,80590
SMSPHARMA,2008-07-23,21.99,22.58,21.63,22.45,117690
SMSPHARMA,2008-07-24,22.51,22.51,21.51,22.1,46710
SMSPHARMA,2008-07-25,21.11,22.1,21.11,22.0,16250
SMSPHARMA,2008-07-28,22.29,22.5,21.25,22.19,79640
SMSPHARMA,2008-07-29,22.47,22.47,21.16,21.83,33480
SMSPHARMA,2008-07-30,21.2,22.5,21.2,22.26,40590
SMSPHARMA,2008-07-31,21.16,22.18,21.16,22.14,135690
SMSPHARMA,2008-08-01,21.04,22.1,21.04,21.95,33670
SMSPHARMA,2008-08-04,21.06,22.1,21.05,21.88,59350
SMSPHARMA,2008-08-05,21.6,22.95,21.4,21.72,291310
SMSPHARMA,2008-08-06,21.0,22.4,21.0,21.86,81640
SMSPHARMA,2008-08-07,21.06,22.1,21.06,21.87,30650
SMSPHARMA,2008-08-08,20.81,22.0,20.81,21.65,25730
SMSPHARMA,2008-08-11,21.65,22.11,21.3,21.55,53620
SMSPHARMA,2008-08-12,21.2,22.0,20.63,21.19,88100
SMSPHARMA,2008-08-13,20.25,21.5,20.25,20.61,196400
SMSPHARMA,2008-08-14,19.7,20.83,19.59,19.66,232890
SMSPHARMA,2008-08-18,19.5,20.1,19.5,20.05,9930
SMSPHARMA,2008-08-19,19.06,20.4,19.06,20.3,48070
SMSPHARMA,2008-08-20,20.4,21.3,20.31,20.5,19280
SMSPHARMA,2008-08-21,19.51,20.4,19.51,20.16,13790
SMSPHARMA,2008-08-22,19.2,20.99,19.2,20.73,141990
SMSPHARMA,2008-08-25,20.3,21.3,20.3,20.54,67280
SMSPHARMA,2008-08-26,19.61,21.57,19.61,21.44,258360
SMSPHARMA,2008-08-27,21.01,22.3,21.01,21.54,186160
SMSPHARMA,2008-08-28,22.29,22.29,20.55,20.82,26330
SMSPHARMA,2008-08-29,19.9,21.37,19.9,20.87,19220
SMSPHARMA,2008-09-01,19.92,21.1,19.92,20.59,20070
SMSPHARMA,2008-09-02,20.1,21.5,20.1,20.97,141810
SMSPHARMA,2008-09-04,20.4,21.28,20.4,21.06,52110
SMSPHARMA,2008-09-05,20.02,21.09,20.02,20.38,27600
SMSPHARMA,2008-09-08,20.22,21.1,20.22,20.5,47410
SMSPHARMA,2008-09-09,19.61,21.0,19.61,20.83,143770
SMSPHARMA,2008-09-10,19.61,22.9,19.61,20.74,82360
SMSPHARMA,2008-09-11,22.5,22.5,20.32,20.66,112640
SMSPHARMA,2008-09-12,22.0,22.0,20.2,20.55,118790
SMSPHARMA,2008-09-15,19.31,20.5,19.0,19.43,82880
SMSPHARMA,2008-09-16,17.5,19.85,17.5,19.21,42230
SMSPHARMA,2008-09-17,19.9,19.9,18.81,19.01,28740
SMSPHARMA,2008-09-18,17.13,19.0,17.13,18.66,85880
SMSPHARMA,2008-09-19,19.8,19.9,18.4,18.84,71260
SMSPHARMA,2008-09-22,20.7,20.7,18.5,19.86,665080
SMSPHARMA,2008-09-23,18.11,20.9,18.11,19.04,268640
SMSPHARMA,2008-09-24,18.2,19.7,18.2,18.5,83820
SMSPHARMA,2008-09-25,18.01,18.8,17.11,17.34,185040
SMSPHARMA,2008-09-26,17.05,17.4,15.8,16.13,165230
SMSPHARMA,2008-09-29,16.0,16.4,15.53,15.59,400930
SMSPHARMA,2008-09-30,15.8,16.44,15.2,15.89,145680
SMSPHARMA,2008-10-01,15.89,16.4,15.4,15.47,72540
SMSPHARMA,2008-10-03,15.8,16.1,15.42,15.46,74810
SMSPHARMA,2008-10-06,15.76,15.76,14.61,14.68,8410
SMSPHARMA,2008-10-07,14.7,14.82,13.22,13.51,120730
SMSPHARMA,2008-10-08,13.8,13.8,12.3,12.97,47680
SMSPHARMA,2008-10-10,12.5,12.8,11.68,11.74,188820
