symbol,date,open,high,low,close,volume
SMVD,2023-02-10,14.95,14.95,14.95,14.95,4041
SMVD,2023-02-13,14.2,14.2,14.2,14.2,4041
SMVD,2023-02-15,13.5,13.5,13.5,13.5,4041
SMVD,2023-02-17,12.85,12.85,12.85,12.85,4041
SMVD,2023-02-24,12.2,12.2,12.2,12.2,4041
SMVD,2023-03-02,11.6,11.6,11.6,11.6,8081
SMVD,2023-03-14,11.2,12.15,11.2,12.15,16161
SMVD,2023-03-15,10.5,11.6,10.5,10.5,28281
SMVD,2023-03-20,11.0,11.0,10.9,10.9,40401
SMVD,2023-03-22,10.9,10.9,10.9,10.9,4041
SMVD,2023-03-23,10.9,10.9,10.9,10.9,16161
SMVD,2023-03-28,10.5,10.5,10.5,10.5,4041
SMVD,2023-03-31,10.4,10.5,10.4,10.5,8081
SMVD,2023-04-13,11.0,11.0,11.0,11.0,4041
SMVD,2023-04-18,11.55,11.55,11.55,11.55,4041
SMVD,2023-04-20,12.1,12.1,12.1,12.1,4041
SMVD,2023-04-21,12.7,12.7,12.7,12.7,4041
SMVD,2023-04-24,13.3,13.3,13.3,13.3,4041
SMVD,2023-04-25,13.95,13.95,13.95,13.95,4041
SMVD,2023-04-27,14.55,14.55,14.55,14.55,4041
SMVD,2023-05-25,13.85,15.2,13.85,15.2,8081
SMVD,2023-06-07,14.0,16.15,14.0,16.15,24241
SMVD,2023-06-08,14.3,14.3,14.25,14.25,8081
SMVD,2023-06-26,13.0,13.0,13.0,13.0,4041
SMVD,2023-06-28,11.7,11.8,11.7,11.8,16161
SMVD,2023-06-30,11.7,11.9,11.7,11.9,8081
SMVD,2023-07-06,10.8,12.0,10.8,12.0,8081
SMVD,2023-07-21,11.0,11.0,11.0,11.0,4041
SMVD,2023-07-31,9.9,10.0,9.9,10.0,72721
SMVD,2023-08-01,8.95,9.9,8.95,8.95,32321
SMVD,2023-08-02,8.05,8.4,8.05,8.05,68681
SMVD,2023-08-03,7.65,8.15,7.65,7.65,157561
SMVD,2023-08-04,8.0,8.0,7.65,8.0,129281
SMVD,2023-08-07,7.9,8.4,7.6,8.4,117161
SMVD,2023-08-08,8.8,8.8,8.8,8.8,40401
SMVD,2023-08-09,9.2,9.2,8.4,8.4,72721
SMVD,2023-08-10,8.8,8.8,8.8,8.8,4041
SMVD,2023-08-11,9.2,9.2,8.4,9.2,113121
SMVD,2023-08-14,9.45,9.45,9.45,9.45,12121
SMVD,2023-08-16,9.9,9.9,9.9,9.9,8081
SMVD,2023-08-17,10.35,10.35,10.35,10.35,12121
SMVD,2023-08-18,10.85,10.85,10.85,10.85,4041
SMVD,2023-08-21,11.35,11.35,11.35,11.35,4041
SMVD,2023-08-22,11.9,11.9,11.9,11.9,20201
SMVD,2023-08-23,12.45,12.45,12.45,12.45,12121
SMVD,2023-08-24,13.05,13.05,11.85,11.85,185841
SMVD,2023-08-25,11.25,11.25,11.25,11.25,12121
SMVD,2023-08-28,10.7,10.7,10.7,10.7,20201
SMVD,2023-08-29,10.7,10.7,10.2,10.2,16161
SMVD,2023-08-30,10.2,10.2,10.2,10.2,4041
SMVD,2023-08-31,10.3,10.3,9.7,9.7,20201
SMVD,2023-09-01,10.35,10.35,10.35,10.35,8081
SMVD,2023-09-04,10.4,10.85,10.4,10.85,16161
SMVD,2023-09-05,10.85,11.25,10.85,11.25,16161
SMVD,2023-09-06,11.0,11.8,11.0,11.8,36361
SMVD,2023-09-07,11.25,12.35,11.25,12.35,32321
SMVD,2023-09-08,12.1,12.95,12.0,12.95,52521
SMVD,2023-09-12,12.3,12.3,12.3,12.3,20201
SMVD,2023-09-13,11.7,11.7,11.7,11.7,20201
SMVD,2023-09-14,11.9,11.9,11.7,11.7,8081
SMVD,2023-09-18,11.15,11.15,11.15,11.15,20201
SMVD,2023-09-20,10.6,11.1,10.6,10.65,20201
SMVD,2023-09-26,10.25,10.25,10.15,10.15,16161
SMVD,2023-09-27,10.25,10.25,10.25,10.25,4041
SMVD,2023-10-04,10.25,10.75,10.1,10.1,16162
SMVD,2023-10-05,10.1,10.1,10.1,10.1,4041
SMVD,2023-10-11,10.1,10.1,10.1,10.1,4041
SMVD,2023-10-13,9.6,9.6,9.6,9.6,4041
SMVD,2023-10-26,9.15,9.15,9.15,9.15,12121
SMVD,2023-10-27,9.0,9.0,8.7,8.7,8081
SMVD,2023-11-06,8.7,8.7,8.3,8.3,8081
SMVD,2023-11-07,8.7,8.7,8.7,8.7,4041
SMVD,2023-11-08,8.75,8.75,8.75,8.75,8081
SMVD,2023-11-13,8.75,8.75,8.35,8.35,8081
SMVD,2023-11-15,8.35,8.35,7.95,7.95,32321
SMVD,2023-11-16,8.35,8.35,8.35,8.35,12121
SMVD,2023-11-17,7.95,8.75,7.95,8.75,12121
SMVD,2023-11-21,9.15,9.15,9.15,9.15,4041
SMVD,2023-11-22,9.6,9.6,9.6,9.6,8081
SMVD,2023-11-23,9.9,10.05,9.9,10.05,12121
SMVD,2023-11-24,10.55,10.55,10.55,10.55,16161
SMVD,2023-11-28,11.05,11.05,10.15,11.05,36361
SMVD,2023-11-29,11.6,11.6,11.6,11.6,28281
SMVD,2023-11-30,11.15,11.5,11.05,11.5,44441
SMVD,2023-12-01,10.95,11.5,10.95,11.5,16161
SMVD,2023-12-05,11.15,11.15,11.15,11.15,4041
SMVD,2023-12-06,11.5,11.5,11.5,11.5,4041
SMVD,2023-12-07,11.5,11.5,11.0,11.0,24241
SMVD,2023-12-13,11.5,11.5,11.5,11.5,4041
SMVD,2023-12-14,11.5,12.05,11.5,12.05,44442
SMVD,2023-12-15,11.95,12.5,11.95,12.5,20201
SMVD,2023-12-18,11.9,11.9,11.9,11.9,4041
SMVD,2023-12-19,11.3,11.3,11.3,11.3,4041
SMVD,2023-12-21,10.75,10.75,10.75,10.75,4041
SMVD,2023-12-28,10.25,10.25,10.25,10.25,4041
SMVD,2023-12-29,10.75,10.75,10.75,10.75,4041
SMVD,2024-01-01,11.25,11.25,11.25,11.25,36361
SMVD,2024-01-03,10.7,10.7,10.7,10.7,4041
SMVD,2024-01-04,10.2,11.2,10.2,11.2,16161
SMVD,2024-01-05,11.75,11.75,11.75,11.75,28281
SMVD,2024-01-08,11.25,11.55,11.25,11.55,8081
SMVD,2024-01-09,12.1,12.1,12.1,12.1,4041
SMVD,2024-01-11,12.7,12.7,12.65,12.7,64641
SMVD,2024-01-12,13.3,13.3,12.9,12.9,32321
SMVD,2024-01-15,13.25,13.25,13.1,13.1,32321
SMVD,2024-01-17,12.6,12.65,12.6,12.6,76761
SMVD,2024-01-18,12.0,12.1,12.0,12.1,24241
SMVD,2024-01-19,12.0,12.6,11.4,11.4,52521
SMVD,2024-01-20,11.05,11.95,11.0,11.65,105041
SMVD,2024-01-23,12.15,12.15,11.15,11.15,40400
SMVD,2024-01-24,11.6,11.7,11.5,11.7,24241
SMVD,2024-01-25,11.2,11.2,11.2,11.2,12121
SMVD,2024-01-29,11.7,11.75,11.7,11.75,28281
SMVD,2024-01-30,12.3,12.3,12.3,12.3,16161
SMVD,2024-01-31,12.85,12.85,12.4,12.4,8081
SMVD,2024-02-01,12.2,12.2,12.2,12.2,4041
SMVD,2024-02-02,11.8,11.8,11.8,11.8,4041
SMVD,2024-02-05,11.75,11.75,11.75,11.75,4041
SMVD,2024-02-06,11.35,11.35,11.2,11.2,12121
SMVD,2024-02-07,10.75,10.75,10.65,10.7,12122
SMVD,2024-02-12,10.25,10.25,10.2,10.2,24242
SMVD,2024-02-13,10.75,10.75,10.75,10.75,24241
SMVD,2024-02-14,10.35,11.05,10.25,11.05,60601
SMVD,2024-02-15,10.75,11.0,10.75,11.0,24241
SMVD,2024-02-16,10.65,10.85,10.45,10.85,32322
SMVD,2024-02-19,10.25,10.25,10.2,10.2,20201
SMVD,2024-02-20,10.05,10.05,9.85,9.85,20202
SMVD,2024-02-21,9.9,10.35,9.9,10.35,40401
SMVD,2024-02-22,10.5,10.5,10.5,10.5,28281
SMVD,2024-02-23,11.0,11.0,10.2,10.2,60601
SMVD,2024-02-26,10.55,10.75,10.55,10.75,20202
SMVD,2024-02-27,10.4,10.4,10.4,10.4,4041
SMVD,2024-03-05,10.75,10.75,10.75,10.75,4041
SMVD,2024-03-06,10.3,10.3,10.3,10.3,4041
SMVD,2024-03-07,10.7,10.7,10.7,10.7,4041
SMVD,2024-03-11,10.7,10.7,10.25,10.25,12121
SMVD,2024-03-13,9.8,9.8,9.8,9.8,4041
SMVD,2024-03-14,10.15,10.15,10.15,10.15,4041
SMVD,2024-03-15,9.75,9.75,9.75,9.75,4041
SMVD,2024-03-20,9.4,9.4,9.4,9.4,4040
SMVD,2024-03-21,9.35,9.4,9.3,9.4,16161
SMVD,2024-03-22,9.15,9.25,9.15,9.25,8081
SMVD,2024-03-26,8.8,9.7,8.8,9.7,88881
