symbol,date,open,high,low,close,volume
SONATSOFTW,2008-06-09,24.0,24.0,22.5,22.8,200824
SONATSOFTW,2008-06-10,22.54,23.21,22.2,22.42,109529
SONATSOFTW,2008-06-11,23.17,23.17,21.9,22.24,150969
SONATSOFTW,2008-06-12,21.75,22.88,21.53,22.72,81485
SONATSOFTW,2008-06-13,22.46,23.1,22.24,22.35,147406
SONATSOFTW,2008-06-16,22.72,23.7,22.5,22.61,126209
SONATSOFTW,2008-06-17,22.88,22.91,22.54,22.65,141160
SONATSOFTW,2008-06-18,23.63,23.63,22.35,22.54,251721
SONATSOFTW,2008-06-19,22.65,22.65,22.35,22.42,105484
SONATSOFTW,2008-06-20,22.88,22.88,22.35,22.42,135781
SONATSOFTW,2008-06-23,19.99,22.5,19.99,21.9,148517
SONATSOFTW,2008-06-24,22.13,22.13,21.04,21.19,93378
SONATSOFTW,2008-06-25,20.44,22.5,20.44,21.83,85517
SONATSOFTW,2008-06-26,22.72,22.72,21.79,22.16,45506
SONATSOFTW,2008-06-27,21.75,21.75,21.41,21.49,64141
SONATSOFTW,2008-06-30,22.05,22.05,19.5,19.76,89177
SONATSOFTW,2008-07-01,19.88,20.25,18.86,19.09,129850
SONATSOFTW,2008-07-02,18.75,19.58,17.7,18.83,173197
SONATSOFTW,2008-07-03,19.42,21.0,18.22,18.49,101362
SONATSOFTW,2008-07-04,18.83,18.97,17.44,18.38,155673
SONATSOFTW,2008-07-07,20.17,21.0,18.75,19.35,99748
SONATSOFTW,2008-07-08,18.79,19.72,18.75,19.5,78669
SONATSOFTW,2008-07-09,20.25,20.85,19.95,20.25,142502
SONATSOFTW,2008-07-10,20.55,20.92,19.88,20.59,165544
SONATSOFTW,2008-07-11,21.3,21.3,19.65,20.06,186877
SONATSOFTW,2008-07-14,20.17,20.17,19.13,19.24,67682
SONATSOFTW,2008-07-15,18.67,19.72,18.67,18.79,67876
SONATSOFTW,2008-07-16,18.79,18.94,17.63,17.85,115260
SONATSOFTW,2008-07-17,18.75,18.75,18.0,18.19,58257
SONATSOFTW,2008-07-18,18.75,18.9,17.7,17.92,140521
SONATSOFTW,2008-07-21,18.3,18.75,18.08,18.38,67405
