symbol,date,open,high,low,close,volume
SOTAC,2023-04-28,118.8,119.15,115.0,115.0,14401
SOTAC,2023-05-02,118.1,118.1,117.0,117.9,14401
SOTAC,2023-05-03,118.0,118.0,115.25,116.0,6001
SOTAC,2023-05-04,118.05,118.1,117.0,117.0,4802
SOTAC,2023-05-05,117.0,117.0,115.0,115.0,6001
SOTAC,2023-05-08,115.05,115.9,113.05,115.9,13201
SOTAC,2023-05-09,115.05,115.05,114.0,114.0,6001
SOTAC,2023-05-10,115.0,115.0,114.0,114.0,3601
SOTAC,2023-05-11,116.0,116.0,116.0,116.0,2401
SOTAC,2023-05-12,116.0,126.0,116.0,119.7,104401
SOTAC,2023-05-15,119.7,126.0,119.7,125.0,14401
SOTAC,2023-05-16,128.6,140.25,128.6,140.25,42001
SOTAC,2023-05-17,140.25,140.25,133.25,133.25,33601
SOTAC,2023-05-18,122.25,131.0,122.25,131.0,2401
SOTAC,2023-05-19,133.1,133.1,130.7,130.7,2401
SOTAC,2023-05-23,130.7,130.7,127.0,127.0,2401
SOTAC,2023-05-25,125.0,125.0,125.0,125.0,1201
SOTAC,2023-05-26,125.0,125.0,125.0,125.0,1201
SOTAC,2023-05-29,127.0,148.9,127.0,148.9,7201
SOTAC,2023-05-30,126.25,132.0,122.0,126.0,7201
SOTAC,2023-05-31,132.0,144.0,132.0,144.0,3602
SOTAC,2023-06-01,137.0,137.0,129.0,129.0,14401
SOTAC,2023-06-02,128.5,128.5,128.5,128.5,1201
SOTAC,2023-06-05,125.0,133.6,125.0,133.6,8401
SOTAC,2023-06-06,129.5,129.5,125.0,125.0,6001
SOTAC,2023-06-07,132.0,132.0,132.0,132.0,1201
SOTAC,2023-06-08,117.0,132.0,117.0,132.0,2401
SOTAC,2023-06-15,120.05,125.0,120.05,125.0,2401
SOTAC,2023-06-16,125.0,127.45,125.0,127.45,4801
SOTAC,2023-06-19,117.0,128.0,117.0,128.0,2401
SOTAC,2023-06-20,128.0,128.0,122.0,124.5,33601
SOTAC,2023-06-21,123.0,123.0,123.0,123.0,3601
SOTAC,2023-06-22,121.1,121.1,121.0,121.0,3601
SOTAC,2023-06-23,120.5,120.5,120.5,120.5,1201
SOTAC,2023-06-26,118.0,118.0,118.0,118.0,1201
SOTAC,2023-06-27,115.25,123.0,115.25,123.0,7201
SOTAC,2023-06-28,118.95,119.0,118.95,119.0,2401
SOTAC,2023-06-30,119.05,121.9,119.05,121.9,2401
SOTAC,2023-07-05,119.05,119.05,119.0,119.0,2402
SOTAC,2023-07-06,136.85,136.85,119.2,119.2,2401
SOTAC,2023-07-07,118.9,118.9,118.0,118.0,2401
SOTAC,2023-07-10,122.0,122.0,122.0,122.0,1201
SOTAC,2023-07-11,118.0,118.0,118.0,118.0,1201
SOTAC,2023-07-12,117.1,118.0,117.1,118.0,2401
SOTAC,2023-07-13,116.0,116.0,115.0,115.0,3602
SOTAC,2023-07-14,115.0,123.0,115.0,123.0,9601
SOTAC,2023-07-17,117.0,120.0,117.0,120.0,182401
SOTAC,2023-07-18,116.0,116.0,116.0,116.0,1201
SOTAC,2023-07-20,119.95,119.95,119.8,119.8,3601
SOTAC,2023-07-21,115.05,115.1,115.05,115.1,2401
SOTAC,2023-07-25,117.0,122.0,117.0,122.0,2401
SOTAC,2023-07-26,123.0,125.0,123.0,125.0,3601
SOTAC,2023-07-27,125.0,128.0,117.25,117.25,9601
SOTAC,2023-07-31,118.25,118.25,117.0,117.5,109201
SOTAC,2023-08-01,116.3,116.3,115.0,115.0,3602
SOTAC,2023-08-02,119.9,122.0,119.9,122.0,4801
SOTAC,2023-08-03,119.0,126.0,119.0,126.0,2401
SOTAC,2023-08-04,130.0,130.0,126.0,126.0,2401
SOTAC,2023-08-08,127.5,127.5,127.5,127.5,1201
SOTAC,2023-08-09,129.0,129.3,128.5,129.3,4801
SOTAC,2023-08-10,122.0,125.0,121.0,125.0,86401
SOTAC,2023-08-11,123.05,123.05,122.0,122.0,4802
SOTAC,2023-08-14,116.0,118.35,115.55,118.35,3602
SOTAC,2023-08-16,120.0,120.0,119.0,119.0,2401
SOTAC,2023-08-17,124.75,124.75,124.75,124.75,1200
SOTAC,2023-08-18,124.6,124.75,124.6,124.75,4801
SOTAC,2023-08-21,125.5,126.9,125.5,126.9,2401
SOTAC,2023-08-22,125.4,125.4,121.2,121.2,2401
SOTAC,2023-08-23,120.0,131.85,120.0,128.0,49201
SOTAC,2023-08-24,128.0,128.0,128.0,128.0,1201
SOTAC,2023-08-28,125.0,125.0,121.05,121.05,16801
SOTAC,2023-08-29,122.05,122.05,120.0,121.0,8402
SOTAC,2023-08-30,129.5,130.0,123.7,125.5,6001
SOTAC,2023-08-31,125.5,125.5,125.5,125.5,1201
SOTAC,2023-09-01,127.0,127.0,127.0,127.0,4801
SOTAC,2023-09-04,128.2,128.2,128.2,128.2,24000
SOTAC,2023-09-05,129.0,129.0,121.5,125.0,134401
SOTAC,2023-09-06,125.75,125.75,125.65,125.65,24001
SOTAC,2023-09-07,124.0,124.0,122.0,122.0,3601
SOTAC,2023-09-08,126.0,126.0,122.75,122.75,3601
