symbol,date,open,high,low,close,volume
SPCENET,2017-01-10,0.5,0.5,0.5,0.5,7500
SPCENET,2017-01-11,0.55,0.55,0.55,0.55,1689
SPCENET,2017-01-12,0.6,0.6,0.6,0.6,58
SPCENET,2017-01-13,0.65,0.65,0.65,0.65,700
SPCENET,2017-01-16,0.7,0.7,0.7,0.7,244
SPCENET,2017-01-17,0.75,0.75,0.75,0.75,100
SPCENET,2017-01-18,0.8,0.8,0.8,0.8,71
SPCENET,2017-01-19,0.85,0.85,0.85,0.85,1151
SPCENET,2017-01-20,0.9,0.9,0.9,0.9,15723
SPCENET,2017-01-23,0.95,0.95,0.95,0.95,1000
SPCENET,2017-01-24,1.0,1.0,1.0,1.0,50700
SPCENET,2017-01-25,1.1,1.1,1.1,1.1,54514
SPCENET,2017-01-27,1.2,1.2,1.2,1.2,720
SPCENET,2017-01-30,1.25,1.25,1.25,1.25,284052
SPCENET,2017-01-31,1.3,1.3,1.3,1.3,1620
SPCENET,2017-02-01,1.35,1.35,1.35,1.35,5000
SPCENET,2017-02-02,1.4,1.4,1.4,1.4,2875
SPCENET,2017-02-03,1.45,1.45,1.45,1.45,27166
SPCENET,2017-02-06,1.5,1.5,1.5,1.5,341030
SPCENET,2017-02-07,1.55,1.55,1.55,1.55,5700
SPCENET,2017-02-08,1.6,1.6,1.6,1.6,1198
SPCENET,2017-02-09,1.65,1.65,1.65,1.65,746
SPCENET,2017-02-10,1.7,1.7,1.7,1.7,4235
SPCENET,2017-02-13,1.75,1.75,1.65,1.75,114626
SPCENET,2017-02-14,1.8,1.8,1.8,1.8,60053
SPCENET,2017-02-15,1.85,1.85,1.85,1.85,18130
SPCENET,2017-02-16,1.9,1.9,1.8,1.8,175949
SPCENET,2017-02-17,1.75,1.75,1.75,1.75,24221
SPCENET,2017-02-20,1.7,1.7,1.7,1.7,8007
SPCENET,2017-02-21,1.65,1.65,1.65,1.65,1070
SPCENET,2017-02-22,1.6,1.6,1.6,1.6,19151
SPCENET,2017-02-23,1.55,1.55,1.55,1.55,16346
SPCENET,2017-02-27,1.5,1.5,1.5,1.5,491
SPCENET,2017-02-28,1.45,1.45,1.45,1.45,290
SPCENET,2017-03-01,1.5,1.5,1.4,1.4,161000
SPCENET,2017-03-02,1.35,1.35,1.35,1.35,5090
SPCENET,2017-03-03,1.3,1.3,1.3,1.3,16358
SPCENET,2017-03-06,1.25,1.25,1.25,1.25,10600
SPCENET,2017-03-07,1.2,1.3,1.2,1.2,18892
SPCENET,2017-03-08,1.15,1.25,1.15,1.15,13430
SPCENET,2017-03-09,1.1,1.1,1.1,1.1,15200
SPCENET,2017-03-10,1.05,1.05,1.05,1.05,7651
SPCENET,2017-03-14,1.05,1.05,1.0,1.0,20232
SPCENET,2017-03-15,0.95,0.95,0.95,0.95,5301
SPCENET,2017-03-16,0.9,0.9,0.9,0.9,1234
SPCENET,2017-03-17,0.85,0.95,0.85,0.85,13823
SPCENET,2017-03-20,0.9,0.9,0.8,0.8,83776
SPCENET,2017-03-21,0.85,0.85,0.8,0.85,17741
SPCENET,2017-03-22,0.9,0.9,0.8,0.85,40585
SPCENET,2017-03-23,0.85,0.9,0.8,0.8,6576
SPCENET,2017-03-24,0.75,0.85,0.75,0.75,42807
SPCENET,2017-03-27,0.7,0.75,0.7,0.75,28380
SPCENET,2017-03-28,0.75,0.75,0.7,0.7,12182
SPCENET,2017-03-29,0.65,0.75,0.65,0.7,46202
SPCENET,2017-03-30,0.75,0.75,0.65,0.65,18708
SPCENET,2017-03-31,0.6,0.7,0.6,0.65,43269
SPCENET,2017-04-03,0.65,0.7,0.6,0.7,9907
SPCENET,2017-04-05,0.75,0.75,0.65,0.75,37678
SPCENET,2017-04-06,0.75,0.75,0.7,0.7,43873
SPCENET,2017-04-07,0.65,0.75,0.65,0.7,122221
SPCENET,2017-04-10,0.65,0.75,0.65,0.65,78139
SPCENET,2017-04-11,0.65,0.7,0.65,0.7,20492
SPCENET,2017-04-12,0.65,0.7,0.65,0.65,45851
SPCENET,2017-04-13,0.65,0.65,0.6,0.6,38779
SPCENET,2017-04-17,0.6,0.6,0.55,0.55,153544
SPCENET,2017-04-18,0.55,0.6,0.5,0.6,68311
SPCENET,2017-04-19,0.6,0.6,0.55,0.6,119362
SPCENET,2017-04-20,0.55,0.65,0.55,0.65,23190
SPCENET,2017-04-21,0.65,0.7,0.65,0.7,22949
SPCENET,2017-04-24,0.7,0.75,0.65,0.7,6033
SPCENET,2017-04-25,0.65,0.75,0.65,0.65,9050
SPCENET,2017-04-26,0.7,0.7,0.65,0.65,39634
SPCENET,2017-04-27,0.65,0.65,0.65,0.65,25
SPCENET,2017-04-28,0.65,0.65,0.65,0.65,3145
SPCENET,2017-05-02,0.65,0.7,0.6,0.65,55659
SPCENET,2017-05-03,0.65,0.7,0.65,0.7,9410
SPCENET,2017-05-04,0.65,0.65,0.65,0.65,1055
SPCENET,2017-05-05,0.7,0.7,0.6,0.6,106918
SPCENET,2017-05-08,0.6,0.65,0.55,0.55,51691
SPCENET,2017-05-09,0.55,0.6,0.5,0.6,290637
