symbol,date,open,high,low,close,volume
SPHEREGSL,2016-01-01,76.0,84.8,75.0,82.7,31298
SPHEREGSL,2016-01-04,89.9,90.0,80.5,85.95,21482
SPHEREGSL,2016-01-05,86.0,89.4,85.0,85.5,18784
SPHEREGSL,2016-01-06,87.0,88.8,84.0,86.45,14509
SPHEREGSL,2016-01-07,84.0,85.0,82.0,84.0,15746
SPHEREGSL,2016-01-08,85.0,88.0,84.5,88.0,18668
SPHEREGSL,2016-01-11,87.0,89.0,85.0,87.95,13644
SPHEREGSL,2016-01-12,87.0,88.0,82.0,84.0,20851
SPHEREGSL,2016-01-13,84.0,84.95,79.0,84.85,14373
SPHEREGSL,2016-01-14,81.0,86.0,78.1,86.0,13278
SPHEREGSL,2016-01-15,83.0,84.0,79.3,81.9,13175
SPHEREGSL,2016-01-18,79.0,81.0,70.0,75.9,17861
SPHEREGSL,2016-01-19,74.1,75.95,68.6,73.0,12154
SPHEREGSL,2016-01-20,72.95,77.0,71.05,76.5,7623
SPHEREGSL,2016-01-21,75.7,76.85,70.0,75.0,11195
SPHEREGSL,2016-01-22,77.95,78.0,71.5,78.0,15038
SPHEREGSL,2016-01-25,73.0,79.7,68.35,72.05,8579
SPHEREGSL,2016-01-27,70.0,74.5,70.0,72.0,3328
SPHEREGSL,2016-01-28,73.0,73.0,68.8,70.0,6809
SPHEREGSL,2016-01-29,70.0,75.45,69.1,70.0,12886
SPHEREGSL,2016-02-01,71.0,71.65,66.0,70.0,14381
SPHEREGSL,2016-02-02,70.1,70.7,67.0,69.0,8157
SPHEREGSL,2016-02-03,65.5,69.0,65.1,68.9,10805
SPHEREGSL,2016-02-04,68.0,68.85,65.0,68.0,39184
SPHEREGSL,2016-02-05,67.5,68.65,65.55,67.95,17736
SPHEREGSL,2016-02-08,66.5,67.5,65.0,65.0,10731
SPHEREGSL,2016-02-09,66.1,66.1,60.55,62.7,12813
SPHEREGSL,2016-02-10,62.0,62.7,58.0,59.95,15357
SPHEREGSL,2016-02-11,59.5,69.95,49.35,57.0,88056
SPHEREGSL,2016-02-12,55.0,58.5,50.0,53.9,11412
SPHEREGSL,2016-02-15,55.8,61.0,55.0,60.0,10264
SPHEREGSL,2016-02-16,58.0,60.0,56.5,59.5,11945
SPHEREGSL,2016-02-17,56.0,62.75,54.6,59.25,11062
SPHEREGSL,2016-02-18,59.5,62.0,57.6,59.0,15373
SPHEREGSL,2016-02-19,57.0,58.9,57.0,58.9,13679
SPHEREGSL,2016-02-22,57.8,59.35,57.5,58.1,16224
SPHEREGSL,2016-02-23,58.5,62.0,58.05,59.2,12013
SPHEREGSL,2016-02-24,60.0,64.0,60.0,64.0,11964
SPHEREGSL,2016-02-25,62.0,64.8,62.0,64.7,10773
SPHEREGSL,2016-02-26,69.9,69.9,61.7,63.4,12922
SPHEREGSL,2016-02-29,63.0,63.0,56.1,60.9,11194
SPHEREGSL,2016-03-01,59.5,64.75,59.5,62.0,21284
SPHEREGSL,2016-03-02,62.0,66.5,61.3,64.5,28295
SPHEREGSL,2016-03-03,66.2,69.9,63.1,63.1,13939
SPHEREGSL,2016-03-04,67.0,67.0,61.35,62.5,13943
SPHEREGSL,2016-03-08,60.0,63.0,60.0,62.2,10688
SPHEREGSL,2016-03-09,62.2,63.9,61.05,63.4,13182
SPHEREGSL,2016-03-10,67.8,67.8,61.0,63.0,11700
SPHEREGSL,2016-03-11,60.5,63.8,58.25,63.0,12717
SPHEREGSL,2016-03-14,63.8,63.8,60.05,62.0,12830
SPHEREGSL,2016-03-15,63.8,63.8,56.55,58.05,11608
SPHEREGSL,2016-03-16,56.5,60.0,56.5,59.85,11516
SPHEREGSL,2016-03-17,60.0,60.5,58.0,58.0,11809
SPHEREGSL,2016-03-18,57.8,60.85,57.8,60.0,13317
SPHEREGSL,2016-03-21,57.0,59.25,56.6,57.0,8336
SPHEREGSL,2016-03-22,59.7,60.0,57.2,59.5,9755
SPHEREGSL,2016-03-23,55.5,59.8,55.5,57.0,25793
SPHEREGSL,2016-03-28,57.1,59.7,57.1,59.0,11698
SPHEREGSL,2016-03-29,57.0,57.0,47.1,47.1,58310
