symbol,date,open,high,low,close,volume
SPICEJET,2019-08-20,145.9,146.45,139.35,140.9,1268450
SPICEJET,2019-08-21,141.15,143.5,136.4,136.9,924743
SPICEJET,2019-08-22,136.5,136.5,130.5,131.8,709609
SPICEJET,2019-08-23,131.0,134.5,125.4,132.45,1254418
SPICEJET,2019-08-26,137.0,137.0,129.65,129.9,1204635
SPICEJET,2019-08-27,131.4,132.9,129.2,129.95,981045
SPICEJET,2019-08-28,132.0,132.5,128.55,128.85,1329929
SPICEJET,2019-08-29,128.7,129.8,126.55,128.05,737404
SPICEJET,2019-08-30,128.45,134.0,126.75,132.55,1587983
SPICEJET,2019-09-03,130.9,133.45,127.2,128.1,1399876
SPICEJET,2019-09-04,128.9,131.8,128.1,130.0,876387
SPICEJET,2019-09-05,130.1,131.85,128.7,130.3,615266
SPICEJET,2019-09-06,130.0,131.7,129.15,129.45,1109261
SPICEJET,2019-09-09,129.05,130.5,128.35,129.05,636406
SPICEJET,2019-09-11,129.0,129.95,128.2,128.75,932576
SPICEJET,2019-09-12,129.65,135.85,129.05,133.6,2393579
SPICEJET,2019-09-13,133.6,135.2,130.55,131.25,1178586
SPICEJET,2019-09-16,125.0,128.0,121.1,126.3,1277975
SPICEJET,2019-09-17,125.4,127.8,123.65,124.8,713057
SPICEJET,2019-09-18,128.0,129.1,126.0,127.0,510335
SPICEJET,2019-09-19,128.2,128.65,124.6,125.35,621281
SPICEJET,2019-09-20,125.55,132.0,123.6,125.5,2444924
SPICEJET,2019-09-23,127.0,129.4,126.2,127.15,886014
SPICEJET,2019-09-24,127.7,132.15,126.1,130.55,2506404
SPICEJET,2019-09-25,133.0,134.3,128.15,128.7,3853243
SPICEJET,2019-09-26,130.8,133.0,129.15,131.55,2575904
SPICEJET,2019-09-27,131.95,132.15,127.1,127.8,1566623
SPICEJET,2019-09-30,128.25,128.95,124.35,125.0,1151215
SPICEJET,2019-10-01,125.9,127.9,120.7,122.95,1567133
SPICEJET,2019-10-03,125.0,125.7,123.0,124.1,965264
