symbol,date,open,high,low,close,volume
SPYL,2016-01-01,0.5375,0.55,0.5125,0.525,210000
SPYL,2016-01-04,0.55,0.55,0.5125,0.55,669452
SPYL,2016-01-05,0.575,0.575,0.525,0.575,1511596
SPYL,2016-01-06,0.575,0.5875,0.5375,0.575,439540
SPYL,2016-01-07,0.5625,0.5625,0.5375,0.55,168892
SPYL,2016-01-08,0.525,0.55,0.525,0.55,390628
SPYL,2016-01-11,0.55,0.5625,0.5125,0.5375,334764
SPYL,2016-01-12,0.5125,0.5375,0.5125,0.5125,409996
SPYL,2016-01-13,0.525,0.525,0.4875,0.4875,524100
SPYL,2016-01-14,0.4875,0.4875,0.475,0.4875,855792
SPYL,2016-01-15,0.5,0.5,0.475,0.475,241508
SPYL,2016-01-18,0.5,0.5,0.475,0.475,164160
SPYL,2016-01-19,0.475,0.475,0.4625,0.475,291432
SPYL,2016-01-20,0.4625,0.4875,0.4625,0.4625,441700
SPYL,2016-01-21,0.4625,0.475,0.45,0.45,65060
SPYL,2016-01-22,0.4625,0.4625,0.45,0.4625,132304
SPYL,2016-01-25,0.475,0.475,0.475,0.475,35600
SPYL,2016-01-28,0.4875,0.4875,0.475,0.4875,192172
SPYL,2016-01-29,0.475,0.5,0.475,0.5,221648
SPYL,2016-02-01,0.525,0.525,0.5,0.5125,64664
SPYL,2016-02-02,0.525,0.525,0.5,0.5,222080
SPYL,2016-02-03,0.5,0.525,0.475,0.5125,231100
SPYL,2016-02-04,0.5,0.5,0.475,0.475,48768
SPYL,2016-02-05,0.475,0.5,0.4625,0.4875,154916
SPYL,2016-02-08,0.475,0.4875,0.45,0.475,245064
SPYL,2016-02-09,0.4375,0.4625,0.4375,0.4625,96000
SPYL,2016-02-10,0.45,0.4875,0.425,0.475,118224
SPYL,2016-02-11,0.45,0.45,0.4375,0.4375,242396
SPYL,2016-02-12,0.4,0.425,0.4,0.4125,305240
SPYL,2016-02-15,0.4,0.4,0.3625,0.3625,865312
SPYL,2016-02-16,0.35,0.35,0.35,0.35,74728
SPYL,2016-02-17,0.3375,0.3375,0.3375,0.3375,10000
SPYL,2016-02-18,0.325,0.35,0.325,0.325,283600
SPYL,2016-02-19,0.3125,0.325,0.3125,0.3125,147000
SPYL,2016-02-22,0.3125,0.325,0.3125,0.325,348044
SPYL,2016-02-23,0.3375,0.3375,0.325,0.3375,56708
SPYL,2016-02-24,0.3375,0.3375,0.3375,0.3375,64208
SPYL,2016-02-25,0.325,0.35,0.325,0.35,38600
SPYL,2016-02-26,0.35,0.35,0.3375,0.3375,146096
SPYL,2016-02-29,0.3375,0.3375,0.325,0.325,63604
SPYL,2016-03-01,0.325,0.3375,0.3125,0.3125,928972
SPYL,2016-03-02,0.3,0.3125,0.3,0.3,400080
SPYL,2016-03-03,0.2875,0.2875,0.2875,0.2875,306720
SPYL,2016-03-04,0.275,0.3125,0.2625,0.3,779584
SPYL,2016-03-08,0.3,0.3,0.2875,0.2875,190808
SPYL,2016-03-09,0.2875,0.3,0.2625,0.2875,154612
SPYL,2016-03-10,0.2875,0.3,0.2875,0.3,174000
SPYL,2016-03-11,0.325,0.325,0.3,0.3,68132
SPYL,2016-03-14,0.3,0.325,0.3,0.3125,399488
SPYL,2016-03-15,0.3125,0.3375,0.3125,0.325,152344
SPYL,2016-03-16,0.3125,0.325,0.3,0.3125,33412
SPYL,2016-03-17,0.3375,0.3375,0.3375,0.3375,72136
SPYL,2016-03-18,0.3625,0.3625,0.3625,0.3625,48604
SPYL,2016-03-21,0.375,0.375,0.375,0.375,75200
SPYL,2016-03-22,0.3875,0.3875,0.3875,0.3875,6800
SPYL,2016-03-23,0.4,0.4,0.375,0.4,541316
SPYL,2016-03-28,0.4125,0.4125,0.4,0.4,584644
SPYL,2016-03-29,0.4125,0.4125,0.4,0.4,57804
SPYL,2016-03-30,0.4125,0.4125,0.4125,0.4125,88524
SPYL,2016-03-31,0.425,0.425,0.4,0.4125,227152
SPYL,2016-04-01,0.425,0.425,0.4,0.4,576452
SPYL,2016-04-04,0.4,0.4,0.3875,0.3875,45064
SPYL,2016-04-05,0.3875,0.3875,0.3875,0.3875,1876
SPYL,2016-04-06,0.375,0.375,0.375,0.375,177308
SPYL,2016-04-07,0.375,0.3875,0.3625,0.3875,225200
SPYL,2016-04-08,0.35,0.375,0.35,0.375,162420
SPYL,2016-04-11,0.3375,0.3625,0.3375,0.3625,91816
SPYL,2016-04-12,0.3375,0.3625,0.3375,0.35,216196
SPYL,2016-04-13,0.35,0.3625,0.3375,0.35,311732
SPYL,2016-04-18,0.35,0.35,0.3375,0.35,26800
SPYL,2016-04-20,0.3375,0.3375,0.3375,0.3375,6408
SPYL,2016-04-21,0.325,0.325,0.325,0.325,20404
SPYL,2016-04-22,0.325,0.325,0.3125,0.325,250800
SPYL,2016-04-25,0.3125,0.3375,0.3125,0.325,55920
SPYL,2016-04-26,0.3125,0.3375,0.3125,0.3375,32008
SPYL,2016-04-27,0.325,0.3375,0.325,0.3375,28756
SPYL,2016-04-28,0.325,0.3375,0.325,0.3375,40004
SPYL,2016-04-29,0.325,0.3375,0.325,0.325,95128
SPYL,2016-05-02,0.3125,0.3375,0.3125,0.3375,92304
