symbol,date,open,high,low,close,volume
SUVIDHAA,2021-03-31,110.0,115.5,104.5,104.8,205630
SUVIDHAA,2021-04-01,99.6,99.6,99.6,99.6,3368
SUVIDHAA,2021-04-05,94.65,94.65,94.65,94.65,1037
SUVIDHAA,2021-04-06,89.95,89.95,89.95,89.95,664
SUVIDHAA,2021-04-07,85.5,85.5,85.5,85.5,1057
SUVIDHAA,2021-04-08,81.25,81.25,81.25,81.25,3660
SUVIDHAA,2021-04-09,77.2,77.2,77.2,77.2,2084
SUVIDHAA,2021-04-12,73.35,73.35,73.35,73.35,1293
SUVIDHAA,2021-04-13,69.7,69.7,69.7,69.7,1182
SUVIDHAA,2021-04-15,66.25,66.25,66.25,66.25,2212
SUVIDHAA,2021-04-16,59.65,59.65,59.65,59.65,10460
SUVIDHAA,2021-04-19,53.7,53.7,53.7,53.7,3227
SUVIDHAA,2021-04-20,48.35,48.35,48.35,48.35,7507
SUVIDHAA,2021-04-22,45.95,45.95,45.95,45.95,9140
SUVIDHAA,2021-04-23,43.7,43.7,43.7,43.7,6431
SUVIDHAA,2021-04-26,41.55,41.55,41.55,41.55,4078
SUVIDHAA,2021-04-27,39.5,39.5,39.5,39.5,17032
SUVIDHAA,2021-04-28,37.55,41.45,37.55,37.55,821208
SUVIDHAA,2021-04-29,35.7,35.7,35.7,35.7,46631
SUVIDHAA,2021-04-30,33.95,33.95,33.95,33.95,20603
SUVIDHAA,2021-05-03,32.3,32.3,32.3,32.3,13210
SUVIDHAA,2021-05-04,30.7,30.7,30.7,30.7,15945
SUVIDHAA,2021-05-05,29.2,29.2,29.2,29.2,17388
SUVIDHAA,2021-05-06,27.75,27.75,27.75,27.75,24182
SUVIDHAA,2021-05-07,26.4,29.1,26.4,26.4,861918
SUVIDHAA,2021-05-10,25.45,26.9,25.1,25.1,325191
SUVIDHAA,2021-05-11,23.85,24.8,23.85,23.85,268396
SUVIDHAA,2021-05-12,22.8,25.0,22.7,22.7,832114
SUVIDHAA,2021-05-14,21.6,22.45,21.6,21.6,300961
SUVIDHAA,2021-05-17,20.55,22.65,20.55,20.95,715624
SUVIDHAA,2021-05-18,20.95,21.7,19.95,20.05,249334
SUVIDHAA,2021-05-19,20.6,21.05,19.75,21.05,367345
SUVIDHAA,2021-05-20,21.9,21.95,21.05,21.95,147746
SUVIDHAA,2021-05-21,23.0,23.0,23.0,23.0,163561
SUVIDHAA,2021-05-24,24.15,24.15,22.0,23.9,491206
SUVIDHAA,2021-05-25,23.85,24.45,22.8,23.0,221580
SUVIDHAA,2021-05-26,22.95,24.05,22.05,22.95,389324
SUVIDHAA,2021-05-27,23.0,23.15,22.6,22.7,95922
SUVIDHAA,2021-05-28,23.3,23.3,22.1,22.3,84346
SUVIDHAA,2021-05-31,22.5,23.15,21.7,21.9,137091
SUVIDHAA,2021-06-01,22.4,22.4,21.55,22.0,71523
SUVIDHAA,2021-06-02,22.5,22.5,21.05,21.6,92570
SUVIDHAA,2021-06-03,22.6,22.65,21.6,22.65,169269
SUVIDHAA,2021-06-04,23.05,23.4,22.75,23.15,96978
SUVIDHAA,2021-06-07,24.3,24.3,22.9,22.9,121496
SUVIDHAA,2021-06-08,24.0,24.0,22.5,22.8,86318
SUVIDHAA,2021-06-09,22.55,23.6,22.5,23.4,109887
SUVIDHAA,2021-06-10,23.55,23.55,22.6,23.15,57614
SUVIDHAA,2021-06-11,23.15,23.4,22.65,22.7,93703
SUVIDHAA,2021-06-14,23.2,23.9,22.5,23.9,271669
SUVIDHAA,2021-06-15,24.2,25.05,24.2,25.05,391524
SUVIDHAA,2021-06-16,26.3,26.3,25.6,26.3,476728
SUVIDHAA,2021-06-17,27.6,27.6,25.0,27.6,761558
SUVIDHAA,2021-06-18,28.8,28.95,26.25,28.3,771497
SUVIDHAA,2021-06-21,28.0,29.7,26.9,29.7,653282
SUVIDHAA,2021-06-22,31.05,31.15,29.0,30.05,729004
SUVIDHAA,2021-06-23,30.5,30.6,28.55,28.75,362977
SUVIDHAA,2021-06-24,28.6,28.95,27.35,27.35,124497
SUVIDHAA,2021-06-25,26.2,27.15,26.0,26.05,189868
SUVIDHAA,2021-06-28,25.05,26.8,25.0,25.7,114548
SUVIDHAA,2021-06-29,26.3,26.6,24.55,26.45,255945
SUVIDHAA,2021-06-30,25.5,25.6,24.75,24.8,157537
SUVIDHAA,2021-07-01,25.0,25.65,24.3,24.75,37186
SUVIDHAA,2021-07-02,25.0,25.95,24.7,25.95,621864
SUVIDHAA,2021-07-05,27.2,27.2,26.85,27.2,1047609
SUVIDHAA,2021-07-06,28.55,28.55,26.65,28.35,1616890
SUVIDHAA,2021-07-07,28.8,29.75,28.0,28.4,672123
SUVIDHAA,2021-07-08,29.3,29.3,27.0,27.0,323767
SUVIDHAA,2021-07-09,26.75,26.75,25.65,26.1,119992
SUVIDHAA,2021-07-12,26.5,27.1,26.2,26.6,1077950
SUVIDHAA,2021-07-13,27.0,27.5,26.0,26.9,142832
SUVIDHAA,2021-07-14,27.1,27.15,26.0,26.45,43873
SUVIDHAA,2021-07-15,26.75,27.0,25.45,26.45,102104
SUVIDHAA,2021-07-16,26.9,26.9,25.15,25.15,124765
SUVIDHAA,2021-07-19,25.0,26.0,24.9,25.25,106716
SUVIDHAA,2021-07-20,25.35,25.75,24.3,25.1,105726
SUVIDHAA,2021-07-22,25.0,26.5,25.0,26.0,80683
SUVIDHAA,2021-07-23,25.7,26.15,25.1,25.7,152140
SUVIDHAA,2021-07-26,26.0,26.25,24.7,24.9,70857
