symbol,date,open,high,low,close,volume
SWARAJ,2023-01-12,26.275,26.275,26.0,26.15,20004
SWARAJ,2023-01-13,24.9,25.6,24.9,25.6,8002
SWARAJ,2023-01-16,25.65,25.65,25.5,25.5,8002
SWARAJ,2023-01-17,25.1,25.1,24.925,24.925,20002
SWARAJ,2023-01-19,26.0,26.175,26.0,26.175,16002
SWARAJ,2023-01-20,26.175,27.475,25.6,25.6,36002
SWARAJ,2023-01-23,25.875,25.875,25.875,25.875,8002
SWARAJ,2023-01-24,26.0,26.0,26.0,26.0,4002
SWARAJ,2023-01-25,25.05,25.05,24.875,24.875,12002
SWARAJ,2023-01-27,25.1,25.1,24.65,24.65,24004
SWARAJ,2023-01-30,24.25,24.25,24.025,24.025,8002
SWARAJ,2023-01-31,23.6,23.6,23.225,23.225,12002
SWARAJ,2023-02-01,24.925,24.925,22.575,22.575,60002
SWARAJ,2023-02-02,22.575,22.625,22.575,22.625,8002
SWARAJ,2023-02-03,22.15,22.15,22.15,22.15,4002
SWARAJ,2023-02-06,22.15,23.2,22.15,22.675,28002
SWARAJ,2023-02-07,22.3,22.3,22.25,22.25,8002
SWARAJ,2023-02-10,21.075,21.075,21.075,21.075,4002
SWARAJ,2023-02-14,21.25,21.25,21.25,21.25,4002
SWARAJ,2023-02-15,21.05,21.05,21.05,21.05,8002
SWARAJ,2023-02-16,22.6,22.6,22.6,22.6,8002
SWARAJ,2023-02-17,21.25,22.1,21.25,22.1,12002
SWARAJ,2023-02-20,22.1,22.5,22.1,22.5,8002
SWARAJ,2023-02-21,21.25,21.25,21.05,21.05,8004
SWARAJ,2023-02-23,21.0,21.425,20.5,21.425,24002
SWARAJ,2023-02-24,21.525,22.25,21.525,22.25,8002
SWARAJ,2023-02-27,22.975,24.475,22.975,24.475,20002
SWARAJ,2023-02-28,22.525,22.525,22.025,22.025,28004
SWARAJ,2023-03-02,21.6,21.6,21.525,21.525,8004
SWARAJ,2023-03-03,21.55,22.5,21.55,22.5,12002
SWARAJ,2023-03-06,22.0,22.0,21.625,21.625,12002
SWARAJ,2023-03-09,22.5,22.5,22.5,22.5,4002
SWARAJ,2023-03-10,22.75,22.825,22.75,22.825,12002
SWARAJ,2023-03-13,23.95,23.95,21.125,23.25,140002
SWARAJ,2023-03-14,23.475,23.475,21.625,23.375,128002
SWARAJ,2023-03-15,23.325,24.825,21.625,23.15,72002
SWARAJ,2023-03-16,23.0,23.0,21.75,22.5,68002
SWARAJ,2023-03-17,21.75,21.75,21.025,21.025,44004
SWARAJ,2023-03-20,21.25,21.25,21.25,21.25,4002
SWARAJ,2023-03-21,21.875,22.15,21.875,22.0,36002
SWARAJ,2023-03-22,23.0,23.0,22.525,22.525,20002
SWARAJ,2023-03-23,22.5,23.725,22.5,23.725,16002
SWARAJ,2023-03-24,24.0,24.0,23.0,24.0,52002
SWARAJ,2023-03-27,24.6,24.6,23.125,23.125,48002
SWARAJ,2023-03-28,24.25,25.2,24.0,24.975,40002
SWARAJ,2023-03-29,25.05,25.05,24.15,24.25,20002
SWARAJ,2023-03-31,25.0,25.5,24.05,24.05,32002
SWARAJ,2023-04-03,23.25,23.25,22.75,22.85,40004
SWARAJ,2023-04-05,22.75,23.25,21.775,23.25,56002
SWARAJ,2023-04-06,25.45,25.575,24.1,25.575,36002
SWARAJ,2023-04-10,28.125,28.125,28.125,28.125,20002
SWARAJ,2023-04-11,29.525,29.525,27.65,28.5,200002
SWARAJ,2023-04-12,29.925,29.925,29.925,29.925,52002
SWARAJ,2023-04-13,31.4,31.4,31.4,31.4,48002
SWARAJ,2023-04-17,32.25,32.95,29.85,29.85,112002
SWARAJ,2023-04-18,30.0,30.0,30.0,30.0,4002
SWARAJ,2023-04-19,31.25,31.25,31.25,31.25,4002
SWARAJ,2023-04-21,30.5,30.5,30.5,30.5,16002
SWARAJ,2023-04-24,28.975,31.0,28.975,31.0,16002
SWARAJ,2023-04-25,30.35,30.35,29.525,29.625,24002
SWARAJ,2023-04-26,30.75,30.75,28.25,28.25,36002
SWARAJ,2023-04-27,28.7,29.65,28.7,29.65,16002
SWARAJ,2023-04-28,31.125,31.125,30.05,30.75,44002
SWARAJ,2023-05-04,29.5,29.75,29.225,29.225,16002
SWARAJ,2023-05-05,29.225,29.225,28.025,28.025,24002
SWARAJ,2023-05-08,28.975,28.975,28.975,28.975,8002
SWARAJ,2023-05-10,30.35,30.35,29.15,29.15,16002
SWARAJ,2023-05-11,31.05,31.05,31.05,31.05,44002
SWARAJ,2023-05-12,32.0,32.0,30.0,30.0,16002
SWARAJ,2023-05-15,31.5,31.5,28.775,28.775,12002
SWARAJ,2023-05-16,30.55,30.55,30.55,30.55,16002
SWARAJ,2023-05-17,32.075,32.075,32.0,32.075,100002
SWARAJ,2023-05-18,33.575,33.575,31.0,31.0,40002
SWARAJ,2023-05-19,32.55,32.55,30.6,30.6,12001
SWARAJ,2023-05-22,34.15,34.15,33.85,33.85,16001
SWARAJ,2023-05-24,32.2,32.2,32.15,32.15,12001
SWARAJ,2023-05-29,33.5,33.75,33.5,33.75,68001
SWARAJ,2023-05-30,35.4,35.4,35.3,35.3,108001
SWARAJ,2023-05-31,37.15,37.15,37.15,37.15,40001
SWARAJ,2023-06-01,39.0,39.0,39.0,39.0,20001
SWARAJ,2023-06-02,40.95,40.95,37.6,40.95,472001
SWARAJ,2023-06-05,42.95,42.95,42.95,42.95,32001
SWARAJ,2023-06-06,45.05,45.05,45.05,45.05,84001
SWARAJ,2023-06-07,47.3,47.3,47.3,47.3,104001
SWARAJ,2023-06-08,49.65,49.65,49.65,49.65,576001
SWARAJ,2023-06-09,52.1,52.1,52.1,52.1,116001
SWARAJ,2023-06-12,54.7,54.7,54.7,54.7,40001
SWARAJ,2023-06-13,57.4,57.4,55.0,57.4,624001
SWARAJ,2023-06-14,60.2,60.25,60.2,60.25,32001
SWARAJ,2023-06-15,63.25,63.25,63.25,63.25,20001
SWARAJ,2023-06-16,66.4,66.4,66.4,66.4,32001
SWARAJ,2023-06-19,69.7,69.7,69.7,69.7,32001
SWARAJ,2023-06-20,73.15,73.15,66.25,71.15,1020001
SWARAJ,2023-06-21,70.0,73.5,68.05,68.05,292001
SWARAJ,2023-06-22,68.15,71.55,66.1,71.55,100001
SWARAJ,2023-06-23,75.1,75.1,71.15,75.1,264001
SWARAJ,2023-06-26,78.7,78.85,78.65,78.85,56001
SWARAJ,2023-06-27,82.75,82.75,82.75,82.75,16001
SWARAJ,2023-06-28,86.85,86.85,86.85,86.85,16001
SWARAJ,2023-06-30,85.5,91.15,85.0,91.15,152001
SWARAJ,2023-07-03,95.7,95.7,95.7,95.7,52001
SWARAJ,2023-07-04,97.0,99.9,91.5,97.0,160002
SWARAJ,2023-07-05,97.0,97.0,92.15,92.15,44001
SWARAJ,2023-07-06,88.1,94.0,88.0,94.0,64002
SWARAJ,2023-07-07,95.0,95.0,89.3,92.95,64001
SWARAJ,2023-07-10,92.25,93.5,90.05,90.25,52001
SWARAJ,2023-07-11,90.2,90.2,88.3,88.3,16001
SWARAJ,2023-07-12,89.7,92.8,87.0,92.8,132001
SWARAJ,2023-07-13,94.0,97.4,92.5,92.5,128001
SWARAJ,2023-07-14,93.95,94.0,90.05,94.0,20001
SWARAJ,2023-07-17,94.0,94.0,92.1,92.4,44001
SWARAJ,2023-07-18,95.0,95.0,91.7,91.7,76001
SWARAJ,2023-07-19,91.0,91.0,88.0,88.0,16001
SWARAJ,2023-07-20,87.3,92.0,87.3,92.0,20001
SWARAJ,2023-07-24,88.1,88.1,88.1,88.1,4001
SWARAJ,2023-07-25,88.5,88.5,88.5,88.5,4001
SWARAJ,2023-07-26,86.1,92.4,84.1,86.5,44001
SWARAJ,2023-07-28,88.75,88.75,88.7,88.7,12001
SWARAJ,2023-08-02,87.15,89.0,86.0,89.0,64002
SWARAJ,2023-08-03,92.95,93.45,92.95,93.45,48001
SWARAJ,2023-08-04,94.5,98.1,94.5,98.1,84001
SWARAJ,2023-08-07,98.0,98.0,98.0,98.0,8001
SWARAJ,2023-08-08,104.75,104.75,95.0,95.0,40001
SWARAJ,2023-08-09,95.05,102.2,90.0,102.2,116002
SWARAJ,2023-08-10,99.0,104.65,99.0,100.0,80001
SWARAJ,2023-08-11,100.0,103.95,95.65,103.95,72001
SWARAJ,2023-08-14,100.05,106.0,100.05,106.0,28001
SWARAJ,2023-08-16,105.95,116.6,102.75,116.6,124001
SWARAJ,2023-08-17,123.8,128.25,123.8,128.25,104001
SWARAJ,2023-08-18,133.95,133.95,123.25,126.0,68001
SWARAJ,2023-08-21,122.65,122.65,122.45,122.45,8001
SWARAJ,2023-08-22,117.3,119.5,117.3,119.5,8001
SWARAJ,2023-08-23,113.6,125.35,113.6,125.35,32001
SWARAJ,2023-08-24,131.6,131.6,131.6,131.6,12001
SWARAJ,2023-08-25,138.15,138.15,138.15,138.15,16001
SWARAJ,2023-08-28,145.05,145.05,132.1,140.0,228001
SWARAJ,2023-08-29,142.1,142.1,137.0,137.0,16002
SWARAJ,2023-08-30,138.95,140.0,138.95,140.0,16002
SWARAJ,2023-08-31,140.2,140.2,135.0,135.0,16001
SWARAJ,2023-09-01,134.0,134.0,128.25,128.25,44001
SWARAJ,2023-09-04,128.2,128.25,124.0,124.0,16001
SWARAJ,2023-09-05,118.6,118.6,117.8,117.8,40001
SWARAJ,2023-09-06,115.0,119.5,111.95,119.5,48001
SWARAJ,2023-09-07,108.45,108.5,108.15,108.15,32001
SWARAJ,2023-09-08,102.75,113.55,102.75,113.55,92001
SWARAJ,2023-09-11,119.0,119.1,109.5,109.5,44001
SWARAJ,2023-09-12,104.5,109.0,104.5,104.5,36001
SWARAJ,2023-09-13,109.0,109.7,101.05,106.9,36001
SWARAJ,2023-09-15,110.0,112.0,110.0,112.0,16001
SWARAJ,2023-09-20,114.0,114.0,106.4,106.4,52001
SWARAJ,2023-09-21,101.5,101.5,101.1,101.1,16001
SWARAJ,2023-09-25,98.75,98.75,93.0,93.0,20001
SWARAJ,2023-09-26,96.5,96.5,91.7,91.7,52001
SWARAJ,2023-09-27,88.7,93.9,88.7,93.9,16001
SWARAJ,2023-09-28,90.15,94.9,90.15,94.9,12001
