symbol,date,open,high,low,close,volume
SWASTIK,2023-01-11,100.45,102.5,100.0,102.5,135601
SWASTIK,2023-01-12,101.85,102.55,100.0,100.0,49202
SWASTIK,2023-01-13,100.85,102.0,100.1,101.0,100801
SWASTIK,2023-01-16,101.7,101.9,100.3,101.5,68401
SWASTIK,2023-01-17,102.2,102.85,101.05,101.05,88801
SWASTIK,2023-01-18,101.95,105.0,100.55,100.55,73202
SWASTIK,2023-01-19,100.6,101.0,98.1,99.0,51601
SWASTIK,2023-01-20,100.95,100.95,99.55,99.55,10801
SWASTIK,2023-01-23,102.9,102.9,99.2,99.5,37201
SWASTIK,2023-01-24,98.6,100.5,98.6,99.15,14401
SWASTIK,2023-01-25,98.25,98.25,94.6,94.6,19201
SWASTIK,2023-01-27,97.1,98.85,91.7,93.85,39601
SWASTIK,2023-01-30,95.0,96.5,93.1,94.95,12001
SWASTIK,2023-01-31,93.2,95.95,93.2,95.95,8401
SWASTIK,2023-02-01,95.0,95.0,94.2,94.2,7201
SWASTIK,2023-02-02,96.0,96.0,92.5,92.5,3601
SWASTIK,2023-02-03,92.6,92.6,89.0,90.0,27601
SWASTIK,2023-02-06,90.55,90.55,88.55,88.55,12002
SWASTIK,2023-02-07,87.05,88.45,86.0,86.0,16801
SWASTIK,2023-02-08,84.5,90.0,84.5,87.25,9601
SWASTIK,2023-02-09,88.45,91.0,86.55,91.0,51601
SWASTIK,2023-02-10,90.5,90.55,90.0,90.5,63601
SWASTIK,2023-02-13,90.0,93.0,90.0,90.5,19201
SWASTIK,2023-02-14,90.55,90.55,90.0,90.0,26402
SWASTIK,2023-02-15,88.15,88.15,88.15,88.15,1201
SWASTIK,2023-02-16,86.05,89.95,86.05,89.95,19201
SWASTIK,2023-02-17,89.05,91.9,89.05,91.9,6001
SWASTIK,2023-02-20,92.9,93.0,89.75,89.75,4801
SWASTIK,2023-02-22,87.25,87.35,87.25,87.35,3601
SWASTIK,2023-02-23,88.0,90.0,88.0,90.0,7202
SWASTIK,2023-02-27,88.0,88.0,82.3,82.3,26401
SWASTIK,2023-02-28,82.6,82.6,79.1,81.0,21601
SWASTIK,2023-03-01,75.25,83.95,75.25,83.45,6001
SWASTIK,2023-03-02,80.5,83.0,80.5,83.0,8401
SWASTIK,2023-03-03,79.5,83.1,79.5,83.0,7201
SWASTIK,2023-03-06,84.55,84.55,84.55,84.55,1201
SWASTIK,2023-03-08,86.5,88.0,86.5,88.0,6002
SWASTIK,2023-03-09,91.55,91.55,85.5,87.5,10801
SWASTIK,2023-03-10,83.55,88.0,83.55,88.0,6001
SWASTIK,2023-03-13,87.0,87.0,86.0,86.0,4801
SWASTIK,2023-03-14,83.0,85.75,76.0,80.7,24001
SWASTIK,2023-03-15,81.25,81.25,78.65,79.9,19201
SWASTIK,2023-03-16,78.05,81.7,77.5,81.7,12001
SWASTIK,2023-03-17,81.5,81.9,79.1,79.25,25201
SWASTIK,2023-03-20,81.9,81.9,76.2,77.65,38401
SWASTIK,2023-03-21,78.95,79.9,78.95,79.5,30001
SWASTIK,2023-03-22,79.1,79.35,76.3,78.5,20401
SWASTIK,2023-03-23,79.0,79.95,78.95,79.95,34801
SWASTIK,2023-03-24,78.0,80.0,78.0,78.55,38401
SWASTIK,2023-03-27,77.0,79.0,77.0,78.0,56401
SWASTIK,2023-03-28,81.15,81.15,76.25,76.25,16801
SWASTIK,2023-03-29,78.95,85.95,78.95,79.05,43202
SWASTIK,2023-03-31,79.3,80.5,79.0,79.25,48001
