symbol,date,open,high,low,close,volume
TALWALKARS,2016-01-01,273.9,279.95,271.35,272.0,61067
TALWALKARS,2016-01-04,271.45,272.95,266.35,267.0,51059
TALWALKARS,2016-01-05,269.0,271.95,265.2,266.55,80351
TALWALKARS,2016-01-06,267.3,277.7,265.8,268.0,110259
TALWALKARS,2016-01-07,265.1,267.5,255.25,256.55,52595
TALWALKARS,2016-01-08,259.0,264.95,257.0,257.0,55408
TALWALKARS,2016-01-11,255.0,258.4,252.1,255.0,48509
TALWALKARS,2016-01-12,255.75,259.35,248.2,250.95,34276
TALWALKARS,2016-01-13,251.95,257.0,231.1,245.25,67102
TALWALKARS,2016-01-14,235.05,248.0,234.2,244.0,40965
TALWALKARS,2016-01-15,243.4,246.35,227.25,228.95,42681
TALWALKARS,2016-01-18,227.9,230.15,212.65,214.15,58993
TALWALKARS,2016-01-19,217.0,229.0,206.15,224.0,63469
TALWALKARS,2016-01-20,220.0,225.75,213.0,222.0,45710
TALWALKARS,2016-01-21,228.8,228.8,212.1,217.0,57571
TALWALKARS,2016-01-22,219.0,228.1,218.0,223.9,40894
TALWALKARS,2016-01-25,226.0,237.0,225.15,232.75,42295
TALWALKARS,2016-01-27,232.05,237.0,230.0,231.0,19512
TALWALKARS,2016-01-28,230.25,233.9,227.5,228.25,20400
TALWALKARS,2016-01-29,229.05,236.7,223.0,231.0,50478
TALWALKARS,2016-02-01,233.0,251.8,231.55,237.0,50818
TALWALKARS,2016-02-02,238.5,240.95,227.0,228.35,30272
TALWALKARS,2016-02-03,226.0,229.9,220.55,221.0,31199
TALWALKARS,2016-02-04,223.0,227.0,216.95,223.7,77557
TALWALKARS,2016-02-05,219.0,234.1,216.95,230.0,227663
TALWALKARS,2016-02-08,231.9,234.1,225.15,226.75,27515
TALWALKARS,2016-02-09,221.1,229.0,220.5,227.0,76538
TALWALKARS,2016-02-10,224.55,226.95,210.6,215.85,89541
TALWALKARS,2016-02-11,215.05,215.05,195.3,197.45,78917
TALWALKARS,2016-02-12,198.0,201.0,188.6,193.35,314970
TALWALKARS,2016-02-15,198.9,209.0,198.0,201.4,367841
TALWALKARS,2016-02-16,204.95,205.65,197.65,199.1,32869
TALWALKARS,2016-02-17,196.8,209.15,196.8,204.9,74141
TALWALKARS,2016-02-18,203.0,212.0,203.0,204.85,121411
TALWALKARS,2016-02-19,203.4,207.5,203.0,204.35,15382
TALWALKARS,2016-02-22,206.0,211.9,204.1,205.0,23855
TALWALKARS,2016-02-23,205.0,206.0,200.0,201.75,15703
TALWALKARS,2016-02-24,202.0,202.0,190.1,191.0,71474
TALWALKARS,2016-02-25,192.0,194.6,192.0,194.0,17947
TALWALKARS,2016-02-26,194.55,197.05,192.5,193.2,13159
TALWALKARS,2016-02-29,192.0,198.6,189.0,194.05,26601
TALWALKARS,2016-03-01,194.95,209.6,194.95,203.0,50618
TALWALKARS,2016-03-02,205.0,206.45,203.0,204.0,127964
TALWALKARS,2016-03-03,204.6,207.8,204.0,204.0,80022
TALWALKARS,2016-03-04,205.45,205.9,200.5,201.5,51469
TALWALKARS,2016-03-08,204.4,206.45,199.05,202.0,72158
