symbol,date,open,high,low,close,volume
TARACHAND,2023-01-12,63.5,63.5,63.5,63.5,2001
TARACHAND,2023-01-13,63.5,64.0,63.5,64.0,4002
TARACHAND,2023-01-17,66.95,67.0,62.0,62.0,8002
TARACHAND,2023-01-18,64.0,64.05,64.0,64.05,4001
TARACHAND,2023-01-19,66.5,70.0,65.4,69.0,48001
TARACHAND,2023-01-20,65.05,79.5,65.05,76.8,146001
TARACHAND,2023-01-23,76.5,76.9,74.05,75.25,20001
TARACHAND,2023-01-24,75.0,75.0,75.0,75.0,2001
TARACHAND,2023-01-27,70.3,70.3,70.0,70.0,4001
TARACHAND,2023-01-30,58.75,72.0,58.75,72.0,22001
TARACHAND,2023-02-01,72.0,74.5,69.0,74.5,14001
TARACHAND,2023-02-02,66.0,74.0,66.0,74.0,8001
TARACHAND,2023-02-03,80.0,82.0,75.55,77.0,138001
TARACHAND,2023-02-06,79.3,80.0,74.05,80.0,44001
TARACHAND,2023-02-07,81.0,90.85,81.0,85.5,174001
TARACHAND,2023-02-08,90.0,94.45,85.5,87.35,198001
TARACHAND,2023-02-09,92.85,99.0,91.0,94.0,204003
TARACHAND,2023-02-10,98.0,98.35,88.9,91.0,66001
TARACHAND,2023-02-13,91.0,92.5,82.5,84.7,40001
TARACHAND,2023-02-14,84.8,90.85,84.8,87.2,100001
TARACHAND,2023-02-15,90.0,92.35,88.6,92.35,52001
TARACHAND,2023-02-16,91.2,92.05,89.0,90.0,32001
TARACHAND,2023-02-17,89.9,89.9,85.6,86.1,38001
TARACHAND,2023-02-20,85.0,87.5,85.0,87.5,6001
TARACHAND,2023-02-21,90.8,90.8,87.25,88.35,38001
TARACHAND,2023-02-22,88.0,88.0,83.1,87.5,40001
TARACHAND,2023-02-23,85.0,89.0,85.0,89.0,6001
TARACHAND,2023-02-24,91.0,91.5,87.05,87.05,34001
TARACHAND,2023-02-27,87.0,88.5,86.0,88.5,8001
TARACHAND,2023-02-28,85.0,86.0,83.2,83.2,20001
TARACHAND,2023-03-01,87.0,87.0,84.25,84.25,10001
TARACHAND,2023-03-02,86.5,86.5,81.35,83.8,12001
TARACHAND,2023-03-03,83.0,85.0,81.0,81.0,38001
TARACHAND,2023-03-06,83.25,97.25,82.5,92.5,84001
