symbol,date,open,high,low,close,volume
TATAINVEST,2008-06-09,570.0,576.0,550.0,557.45,4409
TATAINVEST,2008-06-10,564.0,564.0,545.0,549.8,6477
TATAINVEST,2008-06-11,551.0,565.0,550.0,552.55,1249
TATAINVEST,2008-06-12,550.0,555.0,540.0,552.25,1872
TATAINVEST,2008-06-13,559.9,559.9,548.0,550.0,4204
TATAINVEST,2008-06-16,550.0,580.0,540.0,547.5,5956
TATAINVEST,2008-06-17,549.95,555.95,545.1,551.2,2345
TATAINVEST,2008-06-18,556.0,557.0,553.0,556.15,989
TATAINVEST,2008-06-19,558.0,558.0,546.0,547.45,1684
TATAINVEST,2008-06-20,550.0,552.0,539.05,541.6,6385
TATAINVEST,2008-06-23,522.1,539.0,510.0,512.7,2649
TATAINVEST,2008-06-24,500.0,519.9,491.35,496.45,2943
TATAINVEST,2008-06-25,495.0,508.0,490.0,504.5,1975
TATAINVEST,2008-06-26,507.0,518.0,504.15,508.5,633
TATAINVEST,2008-06-27,457.9,497.0,457.9,494.1,1798
TATAINVEST,2008-06-30,495.0,495.0,465.2,473.1,1639
TATAINVEST,2008-07-01,470.0,478.0,440.1,449.35,2643
TATAINVEST,2008-07-02,449.35,455.0,421.0,444.65,3706
TATAINVEST,2008-07-03,448.0,448.0,423.0,435.55,2560
TATAINVEST,2008-07-04,448.0,450.0,440.0,441.3,1053
TATAINVEST,2008-07-07,445.05,469.0,420.0,426.35,2023
TATAINVEST,2008-07-08,435.95,449.8,428.0,440.35,2978
TATAINVEST,2008-07-09,446.05,470.0,446.05,463.15,1208
TATAINVEST,2008-07-10,466.0,481.95,457.25,479.4,863
TATAINVEST,2008-07-11,460.1,475.95,438.65,464.1,2747
TATAINVEST,2008-07-14,471.5,477.5,451.2,466.55,1041
TATAINVEST,2008-07-15,467.0,467.0,441.05,445.2,4612
TATAINVEST,2008-07-16,436.0,455.75,432.0,439.1,15628
TATAINVEST,2008-07-17,480.0,480.0,438.05,446.15,7521
TATAINVEST,2008-07-18,440.0,449.45,438.0,444.3,2058
TATAINVEST,2008-07-21,450.0,450.0,433.05,444.55,1057
TATAINVEST,2008-07-22,450.0,456.0,420.0,455.8,2340
TATAINVEST,2008-07-23,480.0,489.0,459.05,467.7,5272
TATAINVEST,2008-07-24,470.0,477.0,464.35,473.4,4256
TATAINVEST,2008-07-25,459.0,469.95,459.0,467.6,1330
TATAINVEST,2008-07-28,475.0,475.0,460.05,468.45,970
TATAINVEST,2008-07-29,475.0,475.0,455.0,467.25,8439
TATAINVEST,2008-07-30,470.0,470.0,462.25,466.0,2049
TATAINVEST,2008-07-31,460.0,488.0,460.0,468.25,1391
TATAINVEST,2008-08-01,460.0,480.0,450.0,468.2,2378
TATAINVEST,2008-08-04,468.0,478.0,455.0,470.8,8895
TATAINVEST,2008-08-05,475.5,484.0,467.1,476.1,3584
TATAINVEST,2008-08-06,487.0,493.0,475.05,482.4,3564
TATAINVEST,2008-08-07,480.1,497.85,478.0,484.75,1116
TATAINVEST,2008-08-08,484.0,495.95,475.1,490.55,558
TATAINVEST,2008-08-11,477.1,496.0,477.1,489.65,1452
TATAINVEST,2008-08-12,491.0,496.0,485.0,491.85,4263
TATAINVEST,2008-08-13,493.5,493.5,488.0,489.95,629
TATAINVEST,2008-08-14,490.0,490.0,472.0,478.9,1813
TATAINVEST,2008-08-18,483.25,483.25,475.0,480.35,1241
TATAINVEST,2008-08-19,480.0,485.0,451.25,483.0,1338
TATAINVEST,2008-08-20,482.5,487.0,480.0,481.15,1816
TATAINVEST,2008-08-21,480.0,489.9,476.0,481.95,1316
TATAINVEST,2008-08-22,476.2,487.65,474.0,483.45,560
TATAINVEST,2008-08-25,485.0,494.85,480.0,485.6,2489
TATAINVEST,2008-08-26,486.0,487.85,479.15,481.95,1127
TATAINVEST,2008-08-27,481.65,485.0,476.55,478.9,1142
TATAINVEST,2008-08-28,483.5,487.8,473.0,479.75,2071
TATAINVEST,2008-08-29,485.9,488.0,473.0,479.8,1851
TATAINVEST,2008-09-01,485.5,487.95,479.0,483.35,1904
TATAINVEST,2008-09-02,485.0,488.0,478.0,485.75,1606
TATAINVEST,2008-09-04,490.0,507.0,490.0,499.7,56610
TATAINVEST,2008-09-05,490.2,499.0,490.2,494.7,3416
TATAINVEST,2008-09-08,500.0,504.95,495.0,497.7,6386
TATAINVEST,2008-09-09,498.0,498.05,491.0,495.6,9956
TATAINVEST,2008-09-10,490.0,490.0,430.0,431.9,26379
TATAINVEST,2008-09-11,440.0,442.0,390.1,399.8,22900
TATAINVEST,2008-09-12,385.55,406.0,355.55,395.05,12426
TATAINVEST,2008-09-15,390.0,395.0,381.0,386.4,5395
TATAINVEST,2008-09-16,381.8,384.9,380.0,382.85,5621
TATAINVEST,2008-09-17,385.0,390.0,370.0,377.75,4814
TATAINVEST,2008-09-18,370.0,374.0,355.0,364.9,4917
TATAINVEST,2008-09-19,384.0,384.0,356.05,378.0,4080
TATAINVEST,2008-09-22,375.0,390.0,370.0,373.9,2350
TATAINVEST,2008-09-23,378.0,378.0,365.0,367.7,2247
TATAINVEST,2008-09-24,369.1,372.0,356.2,359.95,8422
TATAINVEST,2008-09-25,367.95,367.95,353.1,355.0,9679
TATAINVEST,2008-09-26,352.55,359.0,346.0,347.25,6491
TATAINVEST,2008-09-29,346.0,347.0,328.0,334.6,12129
TATAINVEST,2008-09-30,321.1,347.95,320.0,336.65,9696
TATAINVEST,2008-10-01,340.0,345.0,335.0,337.9,2464
TATAINVEST,2008-10-03,338.0,340.5,334.1,339.2,3014
TATAINVEST,2008-10-06,337.0,343.95,331.15,332.7,10396
