symbol,date,open,high,low,close,volume
TECHLABS,2024-01-12,160.0,175.65,148.0,175.65,796001
TECHLABS,2024-01-15,187.0,193.2,179.0,193.2,820002
TECHLABS,2024-01-16,195.0,204.95,173.9,173.9,584001
TECHLABS,2024-01-17,157.1,180.0,157.1,169.15,552003
TECHLABS,2024-01-18,169.15,187.85,169.15,187.85,308001
TECHLABS,2024-01-19,196.1,206.6,195.1,206.6,156001
TECHLABS,2024-01-20,224.8,227.25,224.8,227.25,188001
TECHLABS,2024-01-23,238.5,238.6,216.0,221.0,260000
TECHLABS,2024-01-24,225.0,230.0,209.75,209.75,212001
TECHLABS,2024-01-25,209.95,209.95,199.3,199.3,32001
TECHLABS,2024-01-29,194.2,209.0,189.35,200.0,292002
TECHLABS,2024-01-30,206.5,206.5,189.45,189.5,212001
TECHLABS,2024-01-31,189.5,189.5,180.1,180.1,104001
TECHLABS,2024-02-01,188.65,190.15,186.7,190.1,148001
TECHLABS,2024-02-02,197.4,197.5,187.05,187.05,64001
TECHLABS,2024-02-05,197.0,197.0,181.15,181.15,196001
TECHLABS,2024-02-06,177.6,180.0,172.1,177.9,168001
TECHLABS,2024-02-07,177.1,186.8,177.0,186.8,56002
TECHLABS,2024-02-08,193.8,196.1,193.15,196.05,84001
TECHLABS,2024-02-09,202.85,205.85,202.0,205.4,196001
TECHLABS,2024-02-12,215.0,215.0,195.15,195.15,56001
TECHLABS,2024-02-13,185.4,185.4,185.4,185.4,16001
TECHLABS,2024-02-14,176.15,191.45,176.15,182.5,96001
TECHLABS,2024-02-15,178.5,182.5,178.0,182.5,48001
TECHLABS,2024-02-16,179.5,181.5,175.2,181.5,56001
TECHLABS,2024-02-19,182.0,190.3,182.0,190.3,56001
TECHLABS,2024-02-20,196.0,199.8,196.0,199.75,88001
TECHLABS,2024-02-21,208.9,209.7,205.0,209.7,168002
TECHLABS,2024-02-22,220.15,220.15,220.15,220.15,16001
TECHLABS,2024-02-23,231.15,231.15,231.15,231.15,32001
TECHLABS,2024-02-26,236.0,242.7,225.25,242.7,124002
TECHLABS,2024-02-27,254.8,254.8,254.8,254.8,24001
TECHLABS,2024-02-28,267.5,267.5,267.5,267.5,12001
TECHLABS,2024-02-29,270.0,280.85,254.15,280.85,244002
TECHLABS,2024-03-01,288.0,291.8,266.5,266.5,120001
TECHLABS,2024-03-02,279.0,279.0,269.95,272.0,24001
TECHLABS,2024-03-04,278.0,285.6,268.0,285.6,120001
TECHLABS,2024-03-05,271.6,271.6,271.1,271.1,12001
TECHLABS,2024-03-06,257.55,257.6,257.55,257.6,20001
TECHLABS,2024-03-07,244.95,245.0,244.95,245.0,12001
TECHLABS,2024-03-11,235.8,245.0,232.55,232.6,140001
TECHLABS,2024-03-12,221.2,221.25,221.0,221.0,40001
TECHLABS,2024-03-13,209.95,209.95,209.95,209.95,4001
TECHLABS,2024-03-14,199.45,220.35,199.45,214.0,136001
TECHLABS,2024-03-15,204.6,206.05,203.3,203.35,116001
TECHLABS,2024-03-18,195.5,195.5,194.0,194.0,64002
TECHLABS,2024-03-19,198.0,203.75,198.0,203.75,32001
TECHLABS,2024-03-20,212.85,213.9,212.0,213.9,40001
TECHLABS,2024-03-21,224.45,224.5,212.0,224.0,24001
TECHLABS,2024-03-22,220.0,220.0,212.8,212.8,28001
TECHLABS,2024-03-26,213.0,223.4,213.0,221.75,20001
TECHLABS,2024-03-27,225.0,232.8,220.0,232.8,96001
TECHLABS,2024-03-28,244.4,244.4,240.0,240.0,12001
TECHLABS,2024-04-01,230.1,230.1,230.0,230.0,8001
TECHLABS,2024-04-02,230.0,230.0,230.0,230.0,8001
TECHLABS,2024-04-04,230.0,230.0,230.0,230.0,4001
TECHLABS,2024-04-05,218.55,222.0,218.5,222.0,28001
TECHLABS,2024-04-08,222.0,222.0,211.1,218.5,48001
TECHLABS,2024-04-09,218.7,220.0,216.0,220.0,16001
TECHLABS,2024-04-10,230.95,231.0,230.95,231.0,16001
TECHLABS,2024-04-12,242.4,242.55,227.0,242.5,56001
TECHLABS,2024-04-15,242.5,252.0,231.0,252.0,36002
TECHLABS,2024-04-16,250.0,250.0,239.45,239.45,24001
TECHLABS,2024-04-18,245.0,253.2,244.95,253.1,144001
TECHLABS,2024-04-19,253.1,258.95,250.0,250.0,64001
TECHLABS,2024-04-22,250.0,261.0,246.1,261.0,44001
TECHLABS,2024-04-23,261.8,262.0,257.0,262.0,40002
TECHLABS,2024-04-24,252.0,258.0,245.0,255.0,56001
TECHLABS,2024-04-25,255.5,265.65,255.5,265.65,32001
TECHLABS,2024-04-26,278.5,278.9,262.0,262.1,72001
TECHLABS,2024-04-29,275.2,275.2,275.2,275.2,15501
TECHLABS,2024-04-30,288.95,288.95,288.95,288.95,16001
