symbol,date,open,high,low,close,volume
TECHNO,2016-01-01,269.925,276.85,263.625,276.5,12326
TECHNO,2016-01-04,272.5,276.95,260.8,267.5,9754
TECHNO,2016-01-05,271.9,271.9,264.5,270.0,4414
TECHNO,2016-01-06,270.0,274.475,265.5,274.25,4338
TECHNO,2016-01-07,275.475,275.475,264.25,273.95,5220
TECHNO,2016-01-08,275.25,275.5,269.075,275.5,2700
TECHNO,2016-01-11,275.45,279.5,262.5,279.425,51366
TECHNO,2016-01-12,277.35,277.35,268.55,274.5,1032
TECHNO,2016-01-13,275.0,275.0,242.75,249.55,72534
TECHNO,2016-01-14,245.0,249.0,238.775,243.525,5370
TECHNO,2016-01-15,245.0,247.0,230.15,232.5,15592
TECHNO,2016-01-18,225.35,242.5,224.0,242.5,12158
TECHNO,2016-01-19,225.25,235.0,225.25,234.5,3056
TECHNO,2016-01-20,233.125,233.125,222.75,232.5,4622
TECHNO,2016-01-21,237.5,237.5,225.075,231.475,1880
TECHNO,2016-01-22,230.95,254.95,224.025,242.5,24414
TECHNO,2016-01-25,237.5,249.4,237.5,243.0,4458
TECHNO,2016-01-27,231.25,249.0,231.25,242.5,3394
TECHNO,2016-01-28,244.95,244.95,237.35,242.95,1402
TECHNO,2016-01-29,239.0,254.475,236.5,254.475,4876
TECHNO,2016-02-01,250.0,257.5,245.65,251.95,1474
TECHNO,2016-02-02,250.0,250.0,238.025,241.5,4072
TECHNO,2016-02-03,240.0,240.0,228.35,232.55,4086
TECHNO,2016-02-04,245.0,245.0,233.075,237.05,9374
TECHNO,2016-02-05,240.0,240.0,230.75,237.025,9094
TECHNO,2016-02-08,245.0,252.3,240.05,245.0,6088
TECHNO,2016-02-09,244.575,245.0,240.0,245.0,275096
TECHNO,2016-02-10,240.5,241.5,231.25,240.4,6344
TECHNO,2016-02-11,242.475,242.475,220.5,234.0,20648
TECHNO,2016-02-12,230.0,233.95,225.0,232.5,5500
TECHNO,2016-02-15,259.975,259.975,230.5,242.5,6520
TECHNO,2016-02-16,247.475,247.475,231.5,233.5,5054
TECHNO,2016-02-17,233.5,239.95,222.775,231.0,14748
TECHNO,2016-02-18,240.0,240.0,228.6,233.0,3166
TECHNO,2016-02-19,232.025,233.5,231.0,231.0,866
TECHNO,2016-02-22,232.5,236.95,230.0,232.5,1868
TECHNO,2016-02-23,236.0,236.0,228.5,234.0,1406
TECHNO,2016-02-24,228.05,234.725,223.525,234.725,4332
TECHNO,2016-02-25,238.0,238.0,221.0,225.0,2938
TECHNO,2016-02-26,225.0,228.0,222.25,222.25,588
TECHNO,2016-02-29,225.5,225.5,210.0,217.5,7880
TECHNO,2016-03-01,217.5,224.45,216.0,221.95,3914
TECHNO,2016-03-02,235.0,235.0,217.5,225.0,1972
TECHNO,2016-03-03,230.0,230.0,215.8,220.025,4058
TECHNO,2016-03-04,229.0,229.0,222.575,223.5,4050
TECHNO,2016-03-08,225.0,232.475,225.0,227.5,2960
TECHNO,2016-03-09,229.0,239.0,222.775,230.0,20660
TECHNO,2016-03-10,230.0,237.475,229.975,234.6,4118
TECHNO,2016-03-11,242.0,244.4,235.0,238.5,28626
TECHNO,2016-03-14,249.5,249.5,237.55,246.0,6534
TECHNO,2016-03-15,249.5,249.5,237.5,243.55,7026
TECHNO,2016-03-16,238.5,239.825,232.5,237.975,1686
TECHNO,2016-03-17,239.5,246.975,237.75,243.6,15158
TECHNO,2016-03-18,247.0,249.475,239.95,248.0,24744
TECHNO,2016-03-21,242.525,253.975,242.525,252.5,4526
TECHNO,2016-03-22,259.4,259.4,245.25,258.475,17678
