symbol,date,open,high,low,close,volume
THERMAX,2008-06-09,400.0,428.0,400.0,420.7,169677
THERMAX,2008-06-10,424.4,424.4,408.25,413.85,835441
THERMAX,2008-06-11,418.0,463.5,411.15,418.6,208176
THERMAX,2008-06-12,411.0,411.0,402.6,406.15,98931
THERMAX,2008-06-13,413.5,421.0,407.55,414.1,688247
THERMAX,2008-06-16,423.0,434.3,420.0,425.6,338010
THERMAX,2008-06-17,431.0,431.0,419.0,424.9,87020
THERMAX,2008-06-18,429.9,434.9,410.1,414.9,35326
THERMAX,2008-06-19,412.0,415.95,403.6,410.35,98555
THERMAX,2008-06-20,407.85,415.0,404.5,409.25,83148
THERMAX,2008-06-23,403.0,409.85,393.0,399.65,30660
THERMAX,2008-06-24,396.2,401.85,390.1,393.1,13053
THERMAX,2008-06-25,385.0,404.0,373.7,400.55,19280
THERMAX,2008-06-26,409.0,409.9,390.0,392.8,20412
THERMAX,2008-06-27,393.0,393.0,371.0,373.1,57824
THERMAX,2008-06-30,375.0,380.0,364.0,373.6,59685
THERMAX,2008-07-01,370.0,372.95,355.0,364.25,18485
THERMAX,2008-07-02,360.0,369.45,332.3,365.7,31818
THERMAX,2008-07-03,370.0,393.0,335.1,379.65,90063
THERMAX,2008-07-04,370.75,391.0,365.0,379.0,70812
THERMAX,2008-07-07,383.0,401.0,380.0,393.65,59947
THERMAX,2008-07-08,390.0,392.0,376.0,389.55,35061
THERMAX,2008-07-09,394.95,409.9,394.95,396.55,26921
THERMAX,2008-07-10,371.55,401.9,371.55,387.5,27513
THERMAX,2008-07-11,392.0,399.0,375.0,376.9,25966
THERMAX,2008-07-14,376.9,379.35,364.1,372.45,8268
THERMAX,2008-07-15,368.0,372.4,358.0,361.6,32518
THERMAX,2008-07-16,361.6,386.0,360.05,375.45,617645
THERMAX,2008-07-17,387.9,387.9,365.15,374.9,225546
THERMAX,2008-07-18,378.0,394.9,372.55,387.6,289101
THERMAX,2008-07-21,387.6,394.9,378.1,383.0,27216
THERMAX,2008-07-22,391.7,419.9,387.0,400.1,181014
THERMAX,2008-07-23,414.95,424.9,412.0,417.45,56524
THERMAX,2008-07-24,420.0,437.0,420.0,433.05,94289
THERMAX,2008-07-25,421.1,429.0,417.0,419.7,35248
THERMAX,2008-07-28,416.0,435.0,416.0,431.95,18705
THERMAX,2008-07-29,421.0,429.7,419.0,424.95,22990
THERMAX,2008-07-30,427.1,445.0,427.1,441.05,31324
THERMAX,2008-07-31,446.0,452.0,438.8,441.2,30366
THERMAX,2008-08-01,438.0,444.0,425.0,437.35,10428
THERMAX,2008-08-04,439.5,457.8,436.25,452.7,41338
THERMAX,2008-08-05,456.0,475.0,456.0,467.45,62649
