symbol,date,open,high,low,close,volume
THIRUSUGAR,2016-01-01,42.7,44.5,42.5,43.3,2330
THIRUSUGAR,2016-01-04,42.1,45.9,41.9,44.0,4188
THIRUSUGAR,2016-01-05,44.0,44.45,43.3,44.05,2567
THIRUSUGAR,2016-01-06,45.3,47.9,44.3,46.75,82414
THIRUSUGAR,2016-01-07,46.2,47.7,44.1,45.7,28272
THIRUSUGAR,2016-01-08,44.95,49.4,44.25,49.4,36657
THIRUSUGAR,2016-01-11,53.1,54.3,51.4,53.75,77917
THIRUSUGAR,2016-01-12,54.75,54.75,48.2,48.2,26659
THIRUSUGAR,2016-01-13,48.0,49.95,43.4,46.0,27390
THIRUSUGAR,2016-01-14,44.1,45.95,42.5,43.8,4390
THIRUSUGAR,2016-01-15,45.0,46.65,40.05,40.1,6910
THIRUSUGAR,2016-01-18,38.9,43.3,36.6,37.0,10027
THIRUSUGAR,2016-01-19,38.65,38.75,36.0,38.4,8025
THIRUSUGAR,2016-01-20,39.45,39.45,37.1,39.0,12848
THIRUSUGAR,2016-01-21,39.0,40.35,38.15,39.9,4845
THIRUSUGAR,2016-01-22,38.85,40.5,38.15,39.9,2343
THIRUSUGAR,2016-01-25,40.2,40.95,38.75,39.4,2266
THIRUSUGAR,2016-01-27,40.2,40.7,38.1,39.0,3560
THIRUSUGAR,2016-01-28,38.1,40.0,38.0,39.8,2740
THIRUSUGAR,2016-01-29,40.0,40.0,38.6,39.5,2101
THIRUSUGAR,2016-02-01,40.1,40.5,39.15,39.15,3304
THIRUSUGAR,2016-02-02,40.2,41.0,38.5,38.5,3959
THIRUSUGAR,2016-02-03,38.25,39.8,37.1,37.1,3400
THIRUSUGAR,2016-02-04,38.75,38.75,36.5,36.5,2051
THIRUSUGAR,2016-02-05,37.0,38.5,37.0,38.5,2486
THIRUSUGAR,2016-02-08,38.5,38.5,37.05,37.95,4166
THIRUSUGAR,2016-02-09,37.95,38.35,36.15,37.5,3640
THIRUSUGAR,2016-02-10,36.0,37.0,35.5,36.5,3858
THIRUSUGAR,2016-02-11,34.1,34.1,32.85,33.0,1339
THIRUSUGAR,2016-02-12,31.1,33.0,29.9,32.5,4881
THIRUSUGAR,2016-02-15,32.5,34.7,32.0,33.8,2665
THIRUSUGAR,2016-02-16,33.0,33.7,32.1,33.7,2252
THIRUSUGAR,2016-02-17,31.25,34.2,31.25,34.0,5770
THIRUSUGAR,2016-02-18,35.05,35.05,33.0,33.0,1900
THIRUSUGAR,2016-02-19,33.15,34.65,32.15,34.65,849
