symbol,date,open,high,low,close,volume
TIPSFILMS,2022-10-06,450.0,450.0,427.5,427.5,11935
TIPSFILMS,2022-10-07,406.15,406.15,406.15,406.15,139
TIPSFILMS,2022-10-10,385.85,385.85,385.85,385.85,57
TIPSFILMS,2022-10-11,366.6,366.6,366.6,366.6,133
TIPSFILMS,2022-10-12,348.3,348.3,348.3,348.3,161
TIPSFILMS,2022-10-13,330.9,330.9,330.9,330.9,6223
TIPSFILMS,2022-10-14,317.8,325.0,314.4,315.0,66387
TIPSFILMS,2022-10-17,330.75,330.75,330.75,330.75,5539
TIPSFILMS,2022-10-18,347.25,347.25,347.25,347.25,451
TIPSFILMS,2022-10-19,364.6,364.6,364.6,364.6,359
TIPSFILMS,2022-10-20,424.0,437.5,399.9,437.5,27244
TIPSFILMS,2022-10-21,494.0,525.0,482.4,522.05,322149
TIPSFILMS,2022-10-24,547.0,574.25,545.0,567.1,53243
TIPSFILMS,2022-10-25,594.9,623.8,586.15,623.8,80037
TIPSFILMS,2022-10-27,654.7,680.0,561.45,564.1,191456
TIPSFILMS,2022-10-28,562.0,580.95,507.7,507.7,91729
TIPSFILMS,2022-10-31,500.0,513.45,466.3,500.45,76791
TIPSFILMS,2022-11-01,485.3,550.45,485.3,550.45,25253
TIPSFILMS,2022-11-02,600.0,605.45,535.0,576.8,140742
TIPSFILMS,2022-11-03,563.0,577.45,540.05,549.95,44097
TIPSFILMS,2022-11-04,536.0,575.0,536.0,543.2,28057
TIPSFILMS,2022-11-07,550.0,569.0,500.0,513.8,34651
TIPSFILMS,2022-11-09,497.05,532.7,497.05,508.0,28188
TIPSFILMS,2022-11-10,510.05,518.3,485.0,490.25,14452
TIPSFILMS,2022-11-11,495.4,518.0,475.0,484.05,11286
TIPSFILMS,2022-11-14,532.45,532.45,522.65,532.45,24131
TIPSFILMS,2022-11-15,557.8,579.0,523.95,537.7,42445
TIPSFILMS,2022-11-16,537.7,537.7,506.0,513.95,11570
TIPSFILMS,2022-11-17,514.0,521.95,490.0,503.05,7178
TIPSFILMS,2022-11-18,495.0,520.0,491.2,497.45,6498
TIPSFILMS,2022-11-21,488.0,493.0,464.6,472.1,8749
TIPSFILMS,2022-11-22,453.0,469.85,430.5,433.05,25324
TIPSFILMS,2022-11-23,435.15,476.35,430.55,476.35,10374
TIPSFILMS,2022-11-24,499.0,518.8,480.05,495.0,44100
TIPSFILMS,2022-11-25,487.9,504.85,487.9,495.75,10925
TIPSFILMS,2022-11-28,481.0,543.0,481.0,522.35,28682
TIPSFILMS,2022-11-29,543.5,543.5,504.0,506.7,14989
TIPSFILMS,2022-11-30,518.0,523.95,501.0,504.85,19474
TIPSFILMS,2022-12-01,507.4,516.0,491.05,503.75,10444
TIPSFILMS,2022-12-02,503.75,513.0,495.3,498.55,3199
TIPSFILMS,2022-12-05,502.55,504.05,494.0,495.75,3240
TIPSFILMS,2022-12-06,477.0,493.85,477.0,482.75,3238
TIPSFILMS,2022-12-07,485.2,493.65,468.8,473.95,8462
TIPSFILMS,2022-12-08,478.75,488.9,463.5,466.4,7549
TIPSFILMS,2022-12-09,471.5,481.9,430.7,450.9,14962
TIPSFILMS,2022-12-12,457.0,495.95,451.0,495.95,23981
TIPSFILMS,2022-12-13,520.0,524.9,488.65,496.05,41356
TIPSFILMS,2022-12-14,494.0,496.25,476.65,487.4,10392
TIPSFILMS,2022-12-15,481.0,491.0,476.7,479.6,4626
TIPSFILMS,2022-12-16,478.8,489.9,467.05,479.0,2883
TIPSFILMS,2022-12-19,482.95,488.0,471.1,477.55,2803
TIPSFILMS,2022-12-20,476.75,486.0,467.05,471.9,2508
TIPSFILMS,2022-12-21,475.2,483.05,455.0,462.45,2743
TIPSFILMS,2022-12-22,471.0,474.65,423.4,430.05,14267
TIPSFILMS,2022-12-23,432.25,434.95,400.0,401.6,8439
TIPSFILMS,2022-12-26,401.6,441.0,401.6,438.9,10198
TIPSFILMS,2022-12-27,441.1,468.45,436.6,442.05,4131
TIPSFILMS,2022-12-28,442.1,449.35,430.55,441.65,4883
TIPSFILMS,2022-12-29,441.65,446.2,420.0,425.6,2530
TIPSFILMS,2022-12-30,428.1,467.8,428.1,458.3,8079
TIPSFILMS,2023-01-02,450.5,460.6,441.0,444.8,4268
TIPSFILMS,2023-01-03,447.65,460.0,436.0,449.85,2969
TIPSFILMS,2023-01-04,444.5,453.8,429.1,436.5,4754
TIPSFILMS,2023-01-05,438.7,470.0,431.3,453.6,9412
TIPSFILMS,2023-01-06,447.55,458.6,444.9,446.7,3838
TIPSFILMS,2023-01-09,446.65,491.35,441.0,482.45,45796
TIPSFILMS,2023-01-10,480.0,493.0,461.05,478.55,10266
TIPSFILMS,2023-01-11,478.05,487.7,460.3,463.85,5121
TIPSFILMS,2023-01-12,456.0,470.0,451.55,457.75,3726
TIPSFILMS,2023-01-13,460.05,463.6,451.55,454.25,1346
TIPSFILMS,2023-01-16,456.55,459.95,445.0,450.9,5725
TIPSFILMS,2023-01-17,450.95,452.85,434.3,436.15,6087
TIPSFILMS,2023-01-18,438.35,479.75,438.35,449.65,41563
TIPSFILMS,2023-01-19,453.6,473.95,444.95,459.6,9485
TIPSFILMS,2023-01-20,451.3,466.95,448.15,450.35,4297
TIPSFILMS,2023-01-23,452.65,459.0,440.05,445.8,5205
TIPSFILMS,2023-01-24,450.7,456.15,442.05,445.25,2855
TIPSFILMS,2023-01-25,450.4,450.4,431.0,437.0,4956
TIPSFILMS,2023-01-27,437.05,438.65,416.05,421.95,8210
TIPSFILMS,2023-01-30,426.0,436.0,421.15,426.35,2401
TIPSFILMS,2023-01-31,428.6,464.9,428.6,452.65,8345
TIPSFILMS,2023-02-01,474.0,474.0,435.0,436.5,3512
TIPSFILMS,2023-02-02,438.7,447.1,425.6,430.3,2060
TIPSFILMS,2023-02-03,430.4,438.7,418.6,424.05,6003
TIPSFILMS,2023-02-06,426.2,440.0,420.15,428.4,2185
TIPSFILMS,2023-02-07,430.55,450.5,421.0,425.25,2465
TIPSFILMS,2023-02-08,425.3,429.9,418.0,419.15,3669
TIPSFILMS,2023-02-09,435.0,444.65,422.0,431.5,5952
TIPSFILMS,2023-02-10,433.7,444.0,418.3,440.05,2834
TIPSFILMS,2023-02-13,428.0,441.7,428.0,432.75,2741
TIPSFILMS,2023-02-14,415.7,427.6,410.4,417.9,2831
TIPSFILMS,2023-02-15,415.1,419.9,410.25,416.4,2234
TIPSFILMS,2023-02-16,427.0,432.7,420.1,425.75,3021
TIPSFILMS,2023-02-17,420.85,425.05,408.0,413.7,5914
TIPSFILMS,2023-02-20,420.0,429.6,404.0,408.05,4170
TIPSFILMS,2023-02-21,410.1,421.45,398.1,403.15,5741
TIPSFILMS,2023-02-22,405.2,410.0,399.0,401.65,2628
TIPSFILMS,2023-02-23,401.8,408.2,399.05,402.05,989
TIPSFILMS,2023-02-24,431.8,431.8,400.0,408.2,4177
TIPSFILMS,2023-02-27,401.0,406.1,386.0,390.0,3867
TIPSFILMS,2023-02-28,394.95,402.5,382.1,388.1,2371
TIPSFILMS,2023-03-01,388.1,399.95,380.85,390.25,3616
TIPSFILMS,2023-03-02,388.9,390.2,380.2,384.55,1125
TIPSFILMS,2023-03-03,384.55,403.5,384.55,394.65,1812
TIPSFILMS,2023-03-06,396.65,412.95,391.1,404.5,8975
TIPSFILMS,2023-03-08,402.1,402.1,390.05,392.6,3057
TIPSFILMS,2023-03-09,394.6,395.0,390.1,392.15,2437
TIPSFILMS,2023-03-10,392.15,394.15,387.0,389.45,1355
TIPSFILMS,2023-03-13,389.2,392.95,383.1,385.0,1610
TIPSFILMS,2023-03-14,381.75,385.0,355.1,364.2,6199
TIPSFILMS,2023-03-15,367.3,376.3,365.85,368.1,1966
TIPSFILMS,2023-03-16,369.95,389.9,365.0,372.15,2132
TIPSFILMS,2023-03-17,374.05,380.7,363.0,371.6,2546
TIPSFILMS,2023-03-20,367.7,375.0,365.8,368.1,2112
TIPSFILMS,2023-03-21,369.95,441.7,369.65,441.7,26794
TIPSFILMS,2023-03-22,480.0,513.7,470.55,480.35,118890
TIPSFILMS,2023-03-23,469.85,469.85,435.25,444.55,27596
TIPSFILMS,2023-03-24,446.7,456.1,431.6,433.6,6350
TIPSFILMS,2023-03-27,429.95,429.95,394.05,396.85,8450
