symbol,date,open,high,low,close,volume
TRU,2022-09-01,96.95,100.8,88.25,98.7,1335643
TRU,2022-09-02,100.95,101.0,93.8,93.8,1139481
TRU,2022-09-05,90.1,94.7,89.15,89.75,1145346
TRU,2022-09-06,91.4,91.4,85.3,85.3,474445
TRU,2022-09-07,83.7,83.7,81.05,81.05,110067
TRU,2022-09-08,79.05,85.1,77.5,81.6,705780
TRU,2022-09-09,82.7,84.4,78.2,78.8,336589
TRU,2022-09-12,78.8,81.65,75.3,76.15,285269
TRU,2022-09-13,77.0,78.0,75.75,77.2,756311
TRU,2022-09-14,76.0,81.05,75.5,77.2,350476
TRU,2022-09-15,77.95,79.3,74.0,74.75,323937
TRU,2022-09-16,74.9,78.45,72.5,74.2,303467
TRU,2022-09-19,74.85,75.2,72.55,73.0,390562
TRU,2022-09-20,74.5,76.0,71.15,71.85,203674
TRU,2022-09-21,72.25,72.25,68.3,68.35,482180
TRU,2022-09-22,67.7,71.7,64.95,67.75,777672
TRU,2022-09-23,68.75,70.9,66.0,66.7,590589
TRU,2022-09-26,66.7,68.5,64.3,65.9,549119
TRU,2022-09-27,66.55,67.25,62.65,62.65,365778
TRU,2022-09-28,60.0,61.4,59.55,59.55,255587
TRU,2022-09-29,56.6,62.5,56.6,57.85,619427
TRU,2022-09-30,60.6,60.7,59.0,60.7,355695
TRU,2022-10-03,62.8,63.7,61.65,63.7,588172
TRU,2022-10-04,63.9,66.85,63.9,66.85,377113
TRU,2022-10-06,66.75,69.45,65.0,65.65,261990
TRU,2022-10-07,65.75,66.5,63.55,64.25,182639
TRU,2022-10-10,63.85,65.0,60.55,61.6,287030
TRU,2022-10-11,63.6,63.6,59.8,61.0,91388
TRU,2022-10-12,61.8,63.0,59.55,60.75,124826
TRU,2022-10-13,61.7,64.7,58.8,60.05,230286
TRU,2022-10-14,60.3,62.1,57.4,58.45,276410
TRU,2022-10-17,58.95,60.0,57.1,58.15,155573
TRU,2022-10-18,59.65,59.65,56.4,57.1,199665
TRU,2022-10-19,58.4,58.4,53.8,57.95,637318
TRU,2022-10-20,57.35,57.8,56.0,56.5,169516
TRU,2022-10-21,56.5,57.35,53.2,56.0,194967
TRU,2022-10-24,58.05,62.35,58.0,62.0,308769
