symbol,date,open,high,low,close,volume
TTML,2008-06-09,29.5,29.5,25.55,28.05,9299176
TTML,2008-06-10,27.5,28.6,27.5,28.1,6674181
TTML,2008-06-11,28.0,28.95,28.0,28.55,7346127
TTML,2008-06-12,28.2,29.55,27.6,29.35,7682698
TTML,2008-06-13,29.4,29.75,28.9,29.3,6277213
TTML,2008-06-16,29.0,30.4,29.0,29.9,6858246
TTML,2008-06-17,29.9,30.55,29.65,30.4,5777422
TTML,2008-06-18,30.5,31.35,29.5,29.85,7898763
TTML,2008-06-19,29.5,29.75,29.1,29.3,3735129
TTML,2008-06-20,29.5,29.5,27.5,27.75,7414216
TTML,2008-06-23,27.5,27.85,26.9,27.05,7838053
TTML,2008-06-24,27.0,27.6,25.75,26.1,7501040
TTML,2008-06-25,25.95,26.7,25.5,26.45,8774932
TTML,2008-06-26,26.7,26.8,25.3,25.65,18613660
TTML,2008-06-27,24.8,25.55,24.25,25.2,7064982
TTML,2008-06-30,25.2,25.55,24.0,24.1,5912139
TTML,2008-07-01,24.1,24.3,22.1,22.4,7689197
TTML,2008-07-02,22.5,23.75,21.7,23.55,10432136
TTML,2008-07-03,23.8,23.8,22.35,22.75,6122877
TTML,2008-07-04,22.6,24.25,22.35,23.7,6542127
TTML,2008-07-07,23.9,24.65,23.75,23.95,5021441
TTML,2008-07-08,23.7,24.0,22.75,23.6,6177279
TTML,2008-07-09,23.8,24.9,23.8,24.6,8418893
TTML,2008-07-10,24.0,25.75,24.0,25.45,7487381
TTML,2008-07-11,25.75,26.25,24.3,24.55,11233387
TTML,2008-07-14,25.2,25.2,24.1,24.55,4417304
TTML,2008-07-15,24.15,24.45,23.65,23.75,4122495
TTML,2008-07-16,23.8,24.3,21.85,22.5,7284626
TTML,2008-07-17,23.3,23.45,22.4,22.85,4948326
TTML,2008-07-18,23.0,23.65,22.75,23.5,4181022
TTML,2008-07-21,23.75,23.9,23.1,23.35,2612603
TTML,2008-07-22,23.5,24.2,23.1,23.95,4347110
TTML,2008-07-23,24.0,25.8,24.0,25.5,7573161
TTML,2008-07-24,25.5,26.5,24.9,25.4,6445756
TTML,2008-07-25,25.0,26.5,24.7,26.15,7089601
TTML,2008-07-28,26.0,26.6,25.75,25.95,5599669
TTML,2008-07-29,25.5,25.65,24.65,24.8,5030895
TTML,2008-07-30,25.0,25.5,25.0,25.2,3685884
TTML,2008-07-31,25.4,25.55,24.7,24.85,5989498
