symbol,date,open,high,low,close,volume
UNIENTER,2008-06-10,42.7,42.7,42.7,42.7,200
UNIENTER,2008-06-11,43.75,43.75,43.7,43.7,242
UNIENTER,2008-06-13,41.55,41.55,41.55,41.55,700
UNIENTER,2008-06-16,42.8,42.8,40.05,42.5,400
UNIENTER,2008-06-18,40.45,40.45,40.4,40.4,700
UNIENTER,2008-06-19,40.0,40.0,40.0,40.0,100
UNIENTER,2008-06-20,42.0,42.0,39.1,39.5,416
UNIENTER,2008-06-23,37.6,37.6,37.6,37.6,50
UNIENTER,2008-06-24,37.6,37.6,36.1,36.5,431
UNIENTER,2008-06-25,35.0,38.0,35.0,38.0,450
UNIENTER,2008-06-26,36.1,36.1,36.1,36.1,200
UNIENTER,2008-06-27,36.7,36.7,34.3,34.3,910
UNIENTER,2008-06-30,35.95,36.0,35.95,36.0,500
UNIENTER,2008-07-01,36.95,36.95,36.95,36.95,100
UNIENTER,2008-07-04,35.1,35.1,35.1,35.1,50
UNIENTER,2008-07-07,34.0,35.0,34.0,35.0,700
UNIENTER,2008-07-08,33.1,36.8,33.1,34.0,147
UNIENTER,2008-07-09,32.0,36.5,32.0,33.0,501
UNIENTER,2008-07-10,32.0,32.15,32.0,32.15,46
UNIENTER,2008-07-11,32.2,34.95,32.2,34.95,49
UNIENTER,2008-07-15,32.3,35.4,32.3,35.4,110
UNIENTER,2008-07-16,31.95,34.95,31.9,31.9,2034
UNIENTER,2008-07-17,34.7,34.7,30.2,33.8,62
UNIENTER,2008-07-18,30.8,33.45,30.45,32.0,220
UNIENTER,2008-07-21,32.4,32.4,32.4,32.4,1
UNIENTER,2008-07-22,30.3,32.0,30.3,30.8,900
UNIENTER,2008-07-23,32.5,33.7,32.5,33.7,300
UNIENTER,2008-07-24,33.0,37.1,32.0,34.5,2042
UNIENTER,2008-07-25,35.0,37.95,35.0,37.95,1463
UNIENTER,2008-07-28,38.0,39.25,38.0,39.25,251
UNIENTER,2008-07-29,39.25,41.2,37.3,38.85,411
UNIENTER,2008-07-30,37.55,37.55,37.55,37.55,38
UNIENTER,2008-07-31,39.45,39.45,36.55,36.55,600
UNIENTER,2008-08-01,36.1,37.0,36.1,37.0,259
UNIENTER,2008-08-04,37.0,38.85,37.0,38.85,800
UNIENTER,2008-08-06,37.0,37.0,37.0,37.0,200
UNIENTER,2008-08-11,38.85,38.85,37.05,38.5,1989
UNIENTER,2008-08-12,38.5,38.5,38.5,38.5,5
UNIENTER,2008-08-13,40.3,40.3,40.3,40.3,1000
UNIENTER,2008-08-25,32.55,35.7,32.55,34.15,3098
UNIENTER,2008-08-26,33.0,34.85,33.0,33.0,1640
UNIENTER,2008-08-27,32.6,32.6,32.6,32.6,100
UNIENTER,2008-08-28,33.5,33.5,33.5,33.5,25
UNIENTER,2008-08-29,33.25,34.75,33.05,33.9,2395
UNIENTER,2008-09-02,34.85,34.9,34.85,34.9,215
UNIENTER,2008-09-04,34.0,34.0,33.3,34.0,230
UNIENTER,2008-09-05,35.0,35.0,35.0,35.0,100
UNIENTER,2008-09-08,35.0,35.0,32.4,32.4,110
UNIENTER,2008-09-10,32.0,33.1,32.0,32.95,544
UNIENTER,2008-09-11,35.0,35.0,31.5,31.7,900
UNIENTER,2008-09-12,30.0,30.0,30.0,30.0,37
UNIENTER,2008-09-15,30.0,30.0,30.0,30.0,1000
UNIENTER,2008-09-16,28.75,28.75,27.3,27.3,452
