symbol,date,open,high,low,close,volume
URAVI,2023-01-11,147.0,152.75,147.0,152.75,38401
URAVI,2023-01-12,160.2,160.2,159.0,160.0,19201
URAVI,2023-01-13,168.0,168.0,168.0,168.0,9601
URAVI,2023-01-16,176.4,176.4,176.4,176.4,12001
URAVI,2023-01-17,185.2,185.2,167.6,167.6,254401
URAVI,2023-01-18,162.25,162.25,159.5,159.5,9601
URAVI,2023-01-20,160.0,160.0,160.0,160.0,4801
URAVI,2023-01-24,162.0,168.0,162.0,168.0,7201
URAVI,2023-01-25,176.4,176.4,170.0,170.0,21601
URAVI,2023-01-31,170.0,170.0,170.0,170.0,2401
URAVI,2023-02-01,162.0,162.0,161.5,161.5,4801
URAVI,2023-02-08,160.0,164.0,155.0,155.0,14401
URAVI,2023-02-09,151.0,151.0,151.0,151.0,2401
URAVI,2023-02-10,158.55,158.55,158.55,158.55,2401
URAVI,2023-02-13,151.05,151.05,151.0,151.0,7201
URAVI,2023-02-20,150.0,150.0,150.0,150.0,7201
URAVI,2023-02-22,145.0,153.75,142.5,142.5,9601
URAVI,2023-03-08,135.5,135.5,135.4,135.4,7201
URAVI,2023-03-09,136.0,136.0,128.7,128.7,7201
URAVI,2023-03-10,122.35,122.35,122.35,122.35,4801
URAVI,2023-03-13,116.25,116.55,116.25,116.55,4801
URAVI,2023-03-14,110.75,111.0,110.75,111.0,12001
URAVI,2023-03-15,110.7,110.7,110.7,110.7,2401
URAVI,2023-03-16,113.0,116.0,113.0,114.0,19201
URAVI,2023-03-17,119.7,119.7,119.7,119.7,48001
URAVI,2023-03-20,125.0,125.65,125.0,125.65,81601
URAVI,2023-03-21,129.0,131.0,129.0,131.0,48001
URAVI,2023-03-22,137.55,137.55,134.5,134.5,57601
URAVI,2023-03-23,135.0,135.0,130.0,130.0,24001
URAVI,2023-03-24,124.45,124.45,124.45,124.45,45601
URAVI,2023-03-27,118.25,118.25,118.25,118.25,2401
URAVI,2023-03-28,112.35,112.35,112.35,112.35,2401
URAVI,2023-04-06,117.95,117.95,117.95,117.95,14401
URAVI,2023-04-17,112.05,112.05,112.05,112.05,2401
URAVI,2023-04-18,108.65,108.65,107.65,107.65,4801
URAVI,2023-04-21,102.3,102.3,102.3,102.3,4801
URAVI,2023-04-25,97.2,97.2,97.2,97.2,2401
URAVI,2023-04-26,97.5,102.0,93.0,102.0,38401
URAVI,2023-04-27,102.0,107.1,102.0,107.1,7201
URAVI,2023-05-05,112.45,112.45,112.45,112.45,2401
URAVI,2023-05-08,118.05,118.05,118.05,118.05,7201
URAVI,2023-05-09,123.95,123.95,123.95,123.95,2401
URAVI,2023-05-10,130.1,130.1,130.0,130.1,12001
URAVI,2023-05-11,136.0,136.45,135.0,136.4,13201
URAVI,2023-05-16,138.0,138.0,138.0,138.0,1201
URAVI,2023-05-17,136.0,144.8,136.0,141.0,15601
URAVI,2023-05-18,147.95,148.05,147.95,148.0,8401
URAVI,2023-05-19,154.95,155.4,154.95,155.4,13201
URAVI,2023-05-22,150.0,150.0,150.0,150.0,1201
URAVI,2023-05-23,157.0,157.5,151.0,151.0,9601
URAVI,2023-05-24,158.9,159.05,158.9,159.05,6001
URAVI,2023-05-25,151.05,151.05,151.05,151.05,1201
URAVI,2023-05-26,152.2,158.5,151.0,151.0,7201
URAVI,2023-05-29,157.95,158.55,157.95,158.55,3601
URAVI,2023-05-31,160.0,165.9,157.5,157.5,12001
URAVI,2023-06-01,157.0,165.0,155.0,157.5,25201
URAVI,2023-06-02,165.95,166.0,154.0,154.0,12001
URAVI,2023-06-05,173.8,174.0,161.5,166.0,21602
URAVI,2023-06-06,168.95,168.95,160.0,164.0,21601
URAVI,2023-06-07,163.0,168.0,159.1,168.0,20402
URAVI,2023-06-08,164.1,168.0,164.0,168.0,22802
URAVI,2023-06-12,167.0,176.0,167.0,176.0,132001
URAVI,2023-06-13,175.0,184.7,175.0,184.0,192001
URAVI,2023-06-14,179.3,190.0,179.3,190.0,127201
URAVI,2023-06-15,193.9,193.9,184.0,184.0,12001
URAVI,2023-06-16,190.0,194.3,185.5,194.3,112801
URAVI,2023-06-19,203.95,203.95,200.0,203.95,129601
URAVI,2023-06-20,214.1,214.1,204.0,214.1,33601
URAVI,2023-06-21,224.8,224.8,210.0,224.8,44401
URAVI,2023-06-22,229.0,229.0,220.05,226.5,18001
URAVI,2023-06-23,217.0,223.8,214.7,220.0,27601
URAVI,2023-06-26,218.0,232.15,217.1,232.15,60001
URAVI,2023-06-27,228.0,240.5,226.0,235.45,25201
URAVI,2023-06-28,237.0,247.2,233.55,243.0,85201
URAVI,2023-06-30,256.8,258.55,245.0,258.55,181201
URAVI,2023-07-03,264.0,271.45,262.0,267.25,110402
URAVI,2023-07-04,273.8,280.6,267.95,280.6,111601
URAVI,2023-07-05,293.95,294.55,274.0,274.5,129450
URAVI,2023-07-06,283.7,291.0,263.55,288.55,125398
URAVI,2023-07-07,290.0,290.0,281.0,281.1,80979
URAVI,2023-07-10,290.0,292.95,282.1,291.5,70820
URAVI,2023-07-11,286.85,290.0,277.0,277.35,69970
URAVI,2023-07-12,282.0,289.4,279.0,280.0,25175
URAVI,2023-07-13,287.6,287.6,279.0,280.9,55901
URAVI,2023-07-14,284.95,285.0,276.9,280.2,14192
URAVI,2023-07-17,280.9,280.9,266.2,266.2,64196
URAVI,2023-07-18,256.05,274.4,252.9,252.9,37725
URAVI,2023-07-19,240.25,260.95,240.25,251.55,67239
