symbol,date,open,high,low,close,volume
URJA,2017-03-28,1.25,1.25,1.25,1.25,159344
URJA,2017-03-29,1.35,1.35,1.35,1.35,396786
URJA,2017-03-30,1.4,1.4,1.35,1.4,228874
URJA,2017-03-31,1.45,1.45,1.4,1.45,607052
URJA,2017-04-03,1.5,1.5,1.4,1.4,620977
URJA,2017-04-05,1.45,1.45,1.35,1.4,485298
URJA,2017-04-06,1.4,1.45,1.35,1.4,1310725
URJA,2017-04-07,1.45,1.45,1.35,1.4,162333
URJA,2017-04-10,1.4,1.4,1.35,1.35,462880
URJA,2017-04-11,1.35,1.35,1.3,1.3,199524
URJA,2017-04-12,1.25,1.3,1.25,1.25,158333
URJA,2017-04-13,1.25,1.3,1.2,1.3,73428
URJA,2017-04-17,1.35,1.35,1.3,1.35,237659
URJA,2017-04-18,1.4,1.4,1.3,1.3,553176
URJA,2017-04-19,1.25,1.35,1.25,1.3,73749
URJA,2017-04-20,1.3,1.3,1.25,1.25,101462
URJA,2017-04-21,1.2,1.3,1.2,1.25,255551
URJA,2017-04-24,1.3,1.3,1.2,1.2,241123
URJA,2017-04-25,1.2,1.25,1.15,1.2,162723
URJA,2017-04-26,1.15,1.25,1.15,1.15,274998
URJA,2017-04-27,1.15,1.2,1.15,1.2,48360
URJA,2017-04-28,1.25,1.25,1.15,1.2,95244
URJA,2017-05-02,1.15,1.2,1.15,1.2,138522
URJA,2017-05-03,1.2,1.25,1.15,1.15,317679
URJA,2017-05-04,1.15,1.2,1.1,1.15,136031
URJA,2017-05-05,1.1,1.2,1.1,1.2,180739
URJA,2017-05-08,1.15,1.2,1.15,1.15,81139
URJA,2017-05-09,1.15,1.15,1.1,1.15,42754
URJA,2017-05-10,1.1,1.15,1.1,1.15,76848
URJA,2017-05-11,1.15,1.15,1.1,1.1,22585
URJA,2017-05-12,1.1,1.15,1.1,1.1,390088
URJA,2017-05-15,1.15,1.15,1.05,1.1,158014
URJA,2017-05-16,1.1,1.15,1.1,1.1,140763
URJA,2017-05-17,1.1,1.15,1.1,1.15,215127
URJA,2017-05-18,1.15,1.2,1.1,1.15,233826
URJA,2017-05-19,1.15,1.15,1.1,1.15,72282
URJA,2017-05-22,1.15,1.15,1.1,1.15,43628
URJA,2017-05-23,1.1,1.15,1.1,1.15,87303
URJA,2017-05-24,1.1,1.1,1.1,1.1,45625
URJA,2017-05-25,1.05,1.1,1.05,1.1,125745
URJA,2017-05-26,1.05,1.1,1.05,1.1,47083
URJA,2017-05-29,1.05,1.1,1.05,1.1,67456
URJA,2017-05-30,1.05,1.05,1.05,1.05,88680
URJA,2017-05-31,1.05,1.05,1.0,1.0,81374
URJA,2017-06-01,1.0,1.0,0.95,0.95,155677
URJA,2017-06-02,1.0,1.0,0.9,0.9,1189389
URJA,2017-06-05,0.9,0.9,0.85,0.9,535820
URJA,2017-06-06,0.85,0.9,0.85,0.85,236214
URJA,2017-06-07,0.85,0.9,0.8,0.9,252520
URJA,2017-06-08,0.95,0.95,0.9,0.95,132650
URJA,2017-06-09,1.0,1.0,1.0,1.0,36617
URJA,2017-06-12,1.05,1.05,0.95,1.05,353064
URJA,2017-06-13,1.05,1.05,1.0,1.05,121134
URJA,2017-06-14,1.05,1.05,1.0,1.05,38105
URJA,2017-06-15,1.05,1.05,1.0,1.05,86780
URJA,2017-06-16,1.0,1.05,1.0,1.0,146417
URJA,2017-06-19,1.0,1.05,0.95,1.0,61144
URJA,2017-06-20,1.0,1.0,0.95,1.0,47528
URJA,2017-06-21,1.0,1.0,0.95,0.95,131673
URJA,2017-06-22,0.9,1.0,0.9,0.9,144361
URJA,2017-06-23,0.95,0.95,0.85,0.9,65370
URJA,2017-06-27,0.9,0.95,0.85,0.9,225787
URJA,2017-06-28,0.9,0.9,0.85,0.85,409374
URJA,2017-06-29,0.85,0.9,0.8,0.9,66515
URJA,2017-06-30,0.95,0.95,0.85,0.95,177716
URJA,2017-07-03,0.9,1.0,0.9,0.95,200069
URJA,2017-07-04,0.95,0.95,0.9,0.9,26902
URJA,2017-07-05,0.95,0.95,0.85,0.85,56858
URJA,2017-07-06,0.9,0.9,0.85,0.9,50867
URJA,2017-07-07,0.85,0.95,0.85,0.9,137029
URJA,2017-07-10,0.95,0.95,0.85,0.9,32908
URJA,2017-07-11,0.9,0.9,0.85,0.9,98549
URJA,2017-07-12,0.9,0.9,0.85,0.9,68227
URJA,2017-07-13,0.85,0.9,0.85,0.9,153549
URJA,2017-07-14,0.85,0.9,0.85,0.85,80066
URJA,2017-07-17,0.9,0.9,0.85,0.85,286926
URJA,2017-07-18,0.85,0.9,0.85,0.85,519397
URJA,2017-07-19,0.85,0.9,0.8,0.8,291901
URJA,2017-07-20,0.85,0.85,0.8,0.85,130172
URJA,2017-07-21,0.9,0.9,0.85,0.9,190010
URJA,2017-07-24,0.9,0.95,0.85,0.95,897550
URJA,2017-07-25,0.95,0.95,0.9,0.9,199461
URJA,2017-07-26,0.9,0.95,0.9,0.95,112637
URJA,2017-07-27,0.9,0.95,0.9,0.95,40623
URJA,2017-07-28,0.95,0.95,0.9,0.9,72858
URJA,2017-07-31,0.95,0.95,0.9,0.9,260568
URJA,2017-08-01,0.95,0.95,0.85,0.95,544696
URJA,2017-08-02,0.95,0.95,0.9,0.95,201420
URJA,2017-08-03,0.95,0.95,0.9,0.95,124321
URJA,2017-08-04,0.95,0.95,0.9,0.9,132808
URJA,2017-08-07,0.95,0.95,0.9,0.95,856485
URJA,2017-08-08,0.95,1.0,0.9,1.0,766511
URJA,2017-08-09,1.0,1.0,0.95,0.95,845942
URJA,2017-08-10,1.0,1.0,0.9,0.9,1886565
URJA,2017-08-11,0.9,0.95,0.85,0.95,270866
URJA,2017-08-14,0.95,0.95,0.9,0.9,458356
URJA,2017-08-16,0.95,0.95,0.85,0.9,472847
URJA,2017-08-17,0.9,0.9,0.85,0.85,296244
URJA,2017-08-18,0.85,0.9,0.85,0.9,203515
URJA,2017-08-21,0.9,0.9,0.85,0.85,217561
URJA,2017-08-22,0.9,0.9,0.8,0.85,901798
URJA,2017-08-23,0.85,0.9,0.8,0.85,414042
URJA,2017-08-24,0.9,0.9,0.8,0.85,262939
URJA,2017-08-28,0.9,0.9,0.8,0.9,285216
URJA,2017-08-29,0.9,0.9,0.85,0.85,157995
URJA,2017-08-30,0.85,0.9,0.85,0.9,316523
URJA,2017-08-31,0.9,0.9,0.85,0.9,94384
URJA,2017-09-01,0.85,0.95,0.85,0.95,269424
URJA,2017-09-04,0.95,0.95,0.9,0.9,314568
URJA,2017-09-05,0.9,0.95,0.85,0.9,356543
URJA,2017-09-06,0.85,0.9,0.85,0.85,278350
URJA,2017-09-07,0.9,0.9,0.85,0.9,169441
URJA,2017-09-08,0.85,0.9,0.85,0.9,123662
URJA,2017-09-11,0.9,0.95,0.85,0.95,979760
URJA,2017-09-12,1.0,1.0,0.9,0.95,972858
URJA,2017-09-13,0.95,0.95,0.9,0.9,749450
URJA,2017-09-14,0.95,0.95,0.9,0.95,381955
URJA,2017-09-15,0.95,1.0,0.9,1.0,2626444
URJA,2017-09-18,1.0,1.1,0.95,1.05,1621225
URJA,2017-09-19,1.05,1.1,1.0,1.05,1505975
URJA,2017-09-20,1.0,1.15,1.0,1.1,2138534
URJA,2017-09-21,1.15,1.2,1.1,1.2,3689016
URJA,2017-09-22,1.25,1.25,1.15,1.2,1717739
URJA,2017-09-25,1.2,1.2,1.15,1.15,1151361
URJA,2017-09-26,1.1,1.1,1.1,1.1,248810
URJA,2017-09-27,1.05,1.05,1.05,1.05,176430
URJA,2017-09-28,1.0,1.1,1.0,1.1,1215345
URJA,2017-09-29,1.05,1.15,1.05,1.15,1137329
URJA,2017-10-03,1.2,1.2,1.1,1.15,976157
URJA,2017-10-04,1.15,1.2,1.1,1.15,588401
URJA,2017-10-05,1.15,1.2,1.1,1.15,702356
URJA,2017-10-06,1.15,1.2,1.1,1.1,1029694
URJA,2017-10-09,1.15,1.15,1.05,1.1,547839
URJA,2017-10-10,1.15,1.15,1.05,1.1,571804
URJA,2017-10-11,1.1,1.15,1.05,1.1,316559
URJA,2017-10-12,1.1,1.15,1.05,1.15,473609
URJA,2017-10-13,1.15,1.15,1.1,1.1,907067
URJA,2017-10-16,1.15,1.15,1.05,1.1,355216
URJA,2017-10-17,1.1,1.1,1.05,1.05,281715
URJA,2017-10-18,1.1,1.1,1.0,1.1,340929
URJA,2017-10-19,1.1,1.15,1.1,1.15,280544
URJA,2017-10-23,1.15,1.2,1.1,1.2,1646519
URJA,2017-10-24,1.2,1.25,1.15,1.25,1353392
URJA,2017-10-25,1.3,1.3,1.25,1.3,1710110
URJA,2017-10-26,1.35,1.35,1.3,1.35,739522
URJA,2017-10-27,1.4,1.4,1.4,1.4,411416
URJA,2017-10-30,1.45,1.45,1.45,1.45,186148
URJA,2017-10-31,1.5,1.5,1.5,1.5,177743
URJA,2017-11-01,1.55,1.55,1.55,1.55,141967
URJA,2017-11-02,1.6,1.6,1.6,1.6,387725
URJA,2017-11-03,1.65,1.65,1.65,1.65,138534
URJA,2017-11-06,1.7,1.7,1.7,1.7,333315
URJA,2017-11-07,1.75,1.75,1.75,1.75,125662
URJA,2017-11-08,1.8,1.8,1.8,1.8,201832
URJA,2017-11-09,1.85,1.85,1.85,1.85,342153
URJA,2017-11-10,1.9,1.9,1.9,1.9,208304
URJA,2017-11-13,1.95,1.95,1.95,1.95,335254
URJA,2017-11-14,2.0,2.0,1.9,2.0,3909776
URJA,2017-11-15,2.1,2.1,2.1,2.1,251040
URJA,2017-11-16,2.2,2.2,2.2,2.2,66471
URJA,2017-11-17,2.3,2.3,2.3,2.3,136128
URJA,2017-11-20,2.4,2.4,2.4,2.4,83368
URJA,2017-11-21,2.5,2.5,2.5,2.5,45454
URJA,2017-11-22,2.6,2.6,2.6,2.6,66299
URJA,2017-11-23,2.7,2.7,2.7,2.7,13319
URJA,2017-11-24,2.8,2.8,2.8,2.8,373403
URJA,2017-11-27,2.9,2.9,2.9,2.9,178649
URJA,2017-11-28,3.0,3.0,3.0,3.0,95046
URJA,2017-11-29,3.15,3.15,3.15,3.15,90413
URJA,2017-11-30,3.3,3.3,3.3,3.3,89106
URJA,2017-12-01,3.45,3.45,3.45,3.45,46279
URJA,2017-12-04,3.6,3.6,3.6,3.6,73573
URJA,2017-12-05,3.75,3.75,3.75,3.75,115791
URJA,2017-12-06,3.9,3.9,3.9,3.9,129074
URJA,2017-12-07,4.05,4.05,4.05,4.05,79037
URJA,2017-12-08,4.25,4.25,4.25,4.25,2115411
URJA,2017-12-11,4.45,4.45,4.45,4.45,599886
URJA,2017-12-12,4.65,4.65,4.25,4.25,6567596
URJA,2017-12-13,4.05,4.05,4.05,4.05,1224765
URJA,2017-12-14,3.85,3.85,3.85,3.85,594057
URJA,2017-12-15,3.7,3.7,3.7,3.7,602858
URJA,2017-12-18,3.55,3.85,3.55,3.85,8591387
URJA,2017-12-19,4.0,4.0,4.0,4.0,1007048
URJA,2017-12-20,4.2,4.2,4.2,4.2,129473
URJA,2017-12-21,4.4,4.4,4.4,4.4,154155
URJA,2017-12-22,4.6,4.6,4.6,4.6,177710
URJA,2017-12-26,4.8,4.8,4.8,4.8,210174
URJA,2017-12-27,5.0,5.0,5.0,5.0,212139
URJA,2017-12-28,5.25,5.25,5.25,5.25,100451
URJA,2017-12-29,5.5,5.5,5.5,5.5,1609032
URJA,2018-01-01,5.75,5.75,5.75,5.75,151222
URJA,2018-01-02,6.0,6.0,6.0,6.0,114563
URJA,2018-01-03,6.3,6.3,6.3,6.3,67385
URJA,2018-01-04,6.6,6.6,6.6,6.6,410375
URJA,2018-01-05,6.9,6.9,6.9,6.9,112462
URJA,2018-01-08,7.2,7.2,7.2,7.2,100796
URJA,2018-01-09,7.55,7.55,7.55,7.55,166008
URJA,2018-01-10,7.9,7.9,7.9,7.9,160180
URJA,2018-01-11,8.25,8.25,8.25,8.25,121405
URJA,2018-01-12,8.65,8.65,8.65,8.65,74559
URJA,2018-01-15,9.05,9.05,9.05,9.05,203593
URJA,2018-01-16,9.5,9.5,9.5,9.5,268131
URJA,2018-01-17,9.95,9.95,9.05,9.95,8008059
URJA,2018-01-18,10.25,10.4,9.5,9.5,7884835
URJA,2018-01-19,9.05,9.4,9.05,9.05,990100
URJA,2018-01-22,8.6,8.6,8.6,8.6,698182
URJA,2018-01-23,8.2,8.55,8.2,8.2,9956980
URJA,2018-01-24,8.0,8.15,7.8,7.8,1470045
URJA,2018-01-25,7.45,8.15,7.45,8.15,3503841
URJA,2018-01-29,8.55,8.55,8.55,8.55,200736
URJA,2018-01-30,8.95,8.95,8.95,8.95,126273
URJA,2018-01-31,9.35,9.35,8.95,9.35,2223247
URJA,2018-02-01,9.8,9.8,8.9,9.2,4695676
URJA,2018-02-02,8.75,8.9,8.75,8.75,989156
URJA,2018-02-05,8.35,8.35,8.35,8.35,582857
URJA,2018-02-06,7.95,7.95,7.95,7.95,292478
URJA,2018-02-07,7.6,8.3,7.6,7.75,5139608
URJA,2018-02-08,7.5,7.7,7.4,7.4,1756762
URJA,2018-02-09,7.05,7.75,7.05,7.75,1631969
URJA,2018-02-12,8.1,8.1,8.1,8.1,495131
URJA,2018-02-14,8.5,8.5,8.15,8.5,2095513
URJA,2018-02-15,8.9,8.9,8.1,8.1,2470440
URJA,2018-02-16,7.8,7.8,7.7,7.7,898792
URJA,2018-02-19,7.35,7.35,7.35,7.35,373335
URJA,2018-02-20,7.0,7.0,7.0,7.0,715270
URJA,2018-02-21,6.65,7.05,6.65,6.65,2322812
URJA,2018-02-22,6.35,6.35,6.35,6.35,449155
URJA,2018-02-23,6.05,6.65,6.05,6.65,4515668
URJA,2018-02-26,6.7,6.9,6.35,6.35,626398
URJA,2018-02-27,6.05,6.05,6.05,6.05,450032
URJA,2018-02-28,5.75,5.75,5.75,5.75,267045
