symbol,date,open,high,low,close,volume
UTIBANKETF,2020-09-04,235.0,285.0,232.0,232.0,1865
UTIBANKETF,2020-09-07,241.0,246.89,228.66,229.11,989
UTIBANKETF,2020-09-08,232.7,232.7,228.57,230.99,147
UTIBANKETF,2020-09-09,224.5,227.49,223.5,227.49,73
UTIBANKETF,2020-09-10,230.0,230.0,224.15,229.14,261
UTIBANKETF,2020-09-11,228.0,228.0,224.6,224.6,8
UTIBANKETF,2020-09-14,226.52,228.0,225.0,225.68,74
UTIBANKETF,2020-09-15,225.63,227.43,222.0,227.43,271
UTIBANKETF,2020-09-16,228.0,230.36,225.8,229.05,154
UTIBANKETF,2020-09-17,227.47,234.26,221.78,224.1,150
UTIBANKETF,2020-09-18,226.99,227.49,219.96,221.02,91
UTIBANKETF,2020-09-21,221.66,221.84,214.0,214.37,88
UTIBANKETF,2020-09-22,215.27,222.0,212.0,214.65,411
UTIBANKETF,2020-09-23,214.21,214.53,207.48,213.81,31
UTIBANKETF,2020-09-24,208.0,208.52,203.11,205.12,11209
UTIBANKETF,2020-09-25,205.42,210.0,202.5,209.18,422
UTIBANKETF,2020-09-28,210.67,216.89,210.67,216.14,978
UTIBANKETF,2020-09-29,217.07,217.07,210.1,212.46,337
UTIBANKETF,2020-09-30,214.0,214.27,210.0,213.69,309
UTIBANKETF,2020-10-01,216.0,222.0,216.0,220.51,1488
UTIBANKETF,2020-10-05,222.0,227.2,220.59,223.13,1509
UTIBANKETF,2020-10-06,265.9,265.9,223.5,228.26,944
UTIBANKETF,2020-10-07,227.03,229.5,224.57,227.68,3005
UTIBANKETF,2020-10-08,229.4,233.85,229.26,231.03,2044
UTIBANKETF,2020-10-09,230.89,239.61,230.48,238.96,7675
UTIBANKETF,2020-10-12,239.61,242.45,235.77,237.16,1298
UTIBANKETF,2020-10-13,236.13,236.57,234.36,234.67,200
UTIBANKETF,2020-10-14,234.1,240.0,231.36,238.16,260
UTIBANKETF,2020-10-15,238.62,256.0,230.81,231.11,719
UTIBANKETF,2020-10-16,234.0,237.08,231.32,234.9,297
UTIBANKETF,2020-10-19,237.17,244.1,237.15,243.53,373
UTIBANKETF,2020-10-20,239.4,244.84,239.4,242.7,174
UTIBANKETF,2020-10-21,243.35,248.52,240.04,246.97,360
UTIBANKETF,2020-10-22,245.25,246.0,243.72,244.13,69
UTIBANKETF,2020-10-23,244.0,244.0,243.81,243.96,36
UTIBANKETF,2020-10-26,242.0,243.85,238.7,239.86,189
UTIBANKETF,2020-10-27,241.0,248.37,241.0,248.33,145
UTIBANKETF,2020-10-28,246.47,248.07,240.0,242.6,269
UTIBANKETF,2020-10-29,240.03,243.74,239.42,241.1,293
UTIBANKETF,2020-10-30,240.97,240.97,237.0,238.66,168
UTIBANKETF,2020-11-02,242.93,251.41,241.3,249.59,466
UTIBANKETF,2020-11-03,253.9,257.31,250.58,255.81,325
UTIBANKETF,2020-11-04,255.67,259.35,252.0,257.66,246
UTIBANKETF,2020-11-05,260.31,263.8,259.27,263.44,236
UTIBANKETF,2020-11-06,262.96,268.83,260.23,268.64,220
UTIBANKETF,2020-11-09,268.83,276.22,268.83,275.46,251
UTIBANKETF,2020-11-10,278.26,287.88,277.91,286.34,147
UTIBANKETF,2020-11-11,286.91,290.29,281.83,288.79,300
UTIBANKETF,2020-11-12,287.62,287.62,282.0,284.01,176
UTIBANKETF,2020-11-13,281.22,285.83,277.18,285.74,110
UTIBANKETF,2020-11-14,288.15,289.0,284.73,286.62,51
UTIBANKETF,2020-11-17,288.34,292.45,288.34,292.45,163
UTIBANKETF,2020-11-18,294.0,298.77,292.87,296.84,131
UTIBANKETF,2020-11-19,295.9,296.04,287.78,287.8,381
