symbol,date,open,high,low,close,volume
UVSL,2016-06-24,0.4125,0.4125,0.4125,0.4125,86180
UVSL,2016-06-27,0.4,0.4,0.4,0.4,14100
UVSL,2016-06-28,0.3875,0.3875,0.3875,0.3875,129012
UVSL,2016-06-29,0.375,0.375,0.375,0.375,10312
UVSL,2016-06-30,0.3625,0.3625,0.3625,0.3625,72628
UVSL,2016-07-01,0.35,0.35,0.35,0.35,73432
UVSL,2016-07-04,0.3375,0.3375,0.3375,0.3375,44232
UVSL,2016-07-05,0.325,0.325,0.325,0.325,92340
UVSL,2016-07-07,0.3125,0.3125,0.3125,0.3125,124272
UVSL,2016-07-08,0.3,0.3,0.3,0.3,858356
UVSL,2016-07-11,0.275,0.275,0.275,0.275,371516
UVSL,2016-07-12,0.25,0.25,0.25,0.25,139844
UVSL,2016-07-13,0.225,0.225,0.225,0.225,564796
UVSL,2016-07-14,0.2125,0.2125,0.2125,0.2125,356120
UVSL,2016-07-15,0.2,0.2,0.2,0.2,223920
UVSL,2016-07-18,0.1875,0.1875,0.1875,0.1875,303644
UVSL,2016-07-19,0.175,0.175,0.175,0.175,821520
UVSL,2016-07-20,0.1625,0.1625,0.1625,0.1625,846076
UVSL,2016-07-21,0.15,0.15,0.15,0.15,1016568
UVSL,2016-07-22,0.1375,0.1375,0.1375,0.1375,907076
UVSL,2016-07-25,0.125,0.1375,0.125,0.125,47865000
UVSL,2016-07-26,0.1125,0.1125,0.1125,0.1125,2674720
UVSL,2016-07-27,0.1,0.1,0.1,0.1,2253896
UVSL,2016-07-28,0.0875,0.0875,0.0875,0.0875,46136528
UVSL,2016-07-29,0.075,0.1,0.075,0.075,174248908
UVSL,2016-08-01,0.075,0.075,0.0625,0.075,63774056
UVSL,2016-08-02,0.0625,0.075,0.0625,0.0625,103754164
UVSL,2016-08-03,0.0875,0.0875,0.075,0.0875,42826868
UVSL,2016-08-04,0.1,0.1,0.0875,0.1,51940232
UVSL,2016-08-05,0.1,0.1125,0.1,0.1125,20600156
UVSL,2016-08-08,0.1125,0.125,0.1,0.1125,44690528
UVSL,2016-08-09,0.1,0.1125,0.1,0.1,30051548
UVSL,2016-08-10,0.1,0.1125,0.0875,0.1,50209176
UVSL,2016-08-11,0.1,0.1,0.0875,0.1,1859772
UVSL,2016-08-12,0.0875,0.1125,0.0875,0.1125,12150208
UVSL,2016-08-16,0.1125,0.1125,0.1,0.1125,6665220
UVSL,2016-08-17,0.1,0.1125,0.0875,0.1125,8464656
UVSL,2016-08-18,0.1125,0.1125,0.1,0.1125,5110388
UVSL,2016-08-19,0.1,0.1125,0.1,0.1125,3804564
UVSL,2016-08-22,0.1125,0.125,0.1,0.125,16968488
UVSL,2016-08-23,0.125,0.125,0.1125,0.125,17177544
UVSL,2016-08-24,0.125,0.1375,0.125,0.125,7846356
UVSL,2016-08-25,0.1375,0.15,0.125,0.15,8875560
UVSL,2016-08-26,0.1375,0.1625,0.1375,0.15,19571732
UVSL,2016-08-29,0.15,0.1625,0.1375,0.1625,20659532
UVSL,2016-08-30,0.1625,0.175,0.15,0.1625,21349264
UVSL,2016-08-31,0.15,0.1625,0.15,0.15,19537724
UVSL,2016-09-01,0.1375,0.15,0.1375,0.1375,3497588
UVSL,2016-09-02,0.1375,0.1375,0.125,0.125,1978080
UVSL,2016-09-06,0.125,0.1375,0.1125,0.125,2359976
