symbol,date,open,high,low,close,volume
VESUVIUS,2008-06-09,185.0,188.45,176.5,185.1,2322
VESUVIUS,2008-06-10,185.0,191.95,181.2,185.2,318
VESUVIUS,2008-06-11,190.0,194.0,185.5,188.7,2634
VESUVIUS,2008-06-12,194.45,194.45,182.0,183.4,3055
VESUVIUS,2008-06-13,188.0,188.0,184.0,186.75,4503
VESUVIUS,2008-06-16,185.0,189.3,185.0,186.0,1203
VESUVIUS,2008-06-17,187.8,196.95,187.0,195.5,1197
VESUVIUS,2008-06-18,202.0,202.0,190.05,190.8,2389
VESUVIUS,2008-06-19,186.0,191.7,186.0,187.1,694
VESUVIUS,2008-06-20,185.5,187.8,181.25,183.45,2815
VESUVIUS,2008-06-23,179.1,185.5,175.0,176.85,353
VESUVIUS,2008-06-24,187.0,187.0,175.1,175.1,2987
VESUVIUS,2008-06-25,170.2,179.9,170.2,174.4,142
VESUVIUS,2008-06-26,178.0,182.0,172.05,172.55,670
VESUVIUS,2008-06-27,172.1,178.9,165.0,173.4,1165
VESUVIUS,2008-06-30,170.0,178.95,170.0,170.0,495
VESUVIUS,2008-07-01,165.1,169.9,157.1,160.3,940
VESUVIUS,2008-07-02,157.0,163.65,150.05,160.55,2497
VESUVIUS,2008-07-03,160.0,160.0,145.15,150.1,872
VESUVIUS,2008-07-04,145.0,160.0,145.0,159.75,812
VESUVIUS,2008-07-07,175.2,175.2,162.0,162.05,60
VESUVIUS,2008-07-08,155.0,162.1,153.1,162.1,340
VESUVIUS,2008-07-09,160.35,169.9,158.0,160.7,1979
VESUVIUS,2008-07-10,177.8,177.8,160.0,160.15,2631
VESUVIUS,2008-07-11,157.0,162.0,157.0,161.0,49
VESUVIUS,2008-07-14,158.0,158.0,156.5,157.15,81
VESUVIUS,2008-07-15,163.45,163.45,145.5,146.55,103501
VESUVIUS,2008-07-16,148.0,151.0,145.6,146.1,3674
VESUVIUS,2008-07-17,147.1,150.75,146.05,149.4,1406
VESUVIUS,2008-07-18,148.35,156.25,148.25,151.95,435
VESUVIUS,2008-07-21,145.75,158.3,145.75,151.6,91
VESUVIUS,2008-07-22,152.0,163.8,151.0,152.9,579
VESUVIUS,2008-07-23,164.0,165.0,160.0,163.25,3231
VESUVIUS,2008-07-24,163.1,168.9,151.55,154.4,2543
VESUVIUS,2008-07-25,150.15,157.2,150.15,152.0,1392
VESUVIUS,2008-07-28,153.15,160.8,153.15,159.05,362
VESUVIUS,2008-07-29,153.15,159.9,153.15,156.25,637
VESUVIUS,2008-07-30,155.0,158.0,155.0,157.25,386
VESUVIUS,2008-07-31,153.05,159.0,152.0,154.5,371
VESUVIUS,2008-08-01,154.5,168.6,149.1,158.35,367
VESUVIUS,2008-08-04,155.35,159.0,155.0,158.85,1869
VESUVIUS,2008-08-05,167.8,175.0,161.15,173.3,7709
VESUVIUS,2008-08-06,175.0,175.0,166.5,166.9,4640
VESUVIUS,2008-08-07,168.0,171.0,167.15,167.35,1372
VESUVIUS,2008-08-08,170.75,184.0,170.1,181.2,7161
VESUVIUS,2008-08-11,181.0,181.0,176.35,177.5,825
VESUVIUS,2008-08-12,167.0,182.0,167.0,176.85,1077
VESUVIUS,2008-08-13,170.0,189.4,170.0,183.35,2075
VESUVIUS,2008-08-14,175.25,184.6,175.0,179.85,389
VESUVIUS,2008-08-18,175.3,184.5,171.1,180.3,468
VESUVIUS,2008-08-19,189.0,189.4,177.2,180.0,884
VESUVIUS,2008-08-20,181.0,181.0,172.1,175.45,532
VESUVIUS,2008-08-21,171.3,175.0,170.5,170.9,509
VESUVIUS,2008-08-22,174.0,184.8,171.1,179.0,53945
VESUVIUS,2008-08-25,179.0,179.0,174.0,174.05,1314
VESUVIUS,2008-08-26,163.05,183.85,163.05,180.8,1442
VESUVIUS,2008-08-27,180.0,186.0,180.0,184.45,1974
VESUVIUS,2008-08-28,184.0,190.0,182.0,187.95,4608
VESUVIUS,2008-08-29,187.0,187.0,180.1,184.8,800
VESUVIUS,2008-09-01,180.25,184.0,180.25,183.9,153
VESUVIUS,2008-09-02,180.7,183.0,180.7,182.9,41
VESUVIUS,2008-09-04,184.8,184.8,178.0,180.0,1675
VESUVIUS,2008-09-05,176.0,187.95,176.0,178.0,245
VESUVIUS,2008-09-08,173.0,184.7,173.0,181.3,2232
VESUVIUS,2008-09-09,182.45,188.0,182.45,184.85,1313
VESUVIUS,2008-09-10,180.0,183.0,173.15,177.65,944
VESUVIUS,2008-09-11,182.0,182.55,170.0,170.65,851
VESUVIUS,2008-09-12,170.0,180.0,170.0,177.05,119
VESUVIUS,2008-09-15,169.0,179.95,164.0,175.0,2523
VESUVIUS,2008-09-16,165.6,165.65,163.0,163.6,1992
VESUVIUS,2008-09-17,164.0,175.8,164.0,172.9,167
VESUVIUS,2008-09-18,153.0,169.4,153.0,168.75,1088
VESUVIUS,2008-09-19,165.2,174.45,165.2,174.05,249
VESUVIUS,2008-09-22,166.0,169.8,166.0,166.3,19
VESUVIUS,2008-09-23,170.0,170.0,159.1,159.1,730
VESUVIUS,2008-09-24,164.4,168.9,164.4,165.0,1781
VESUVIUS,2008-09-25,158.6,168.2,158.6,168.2,259
VESUVIUS,2008-09-26,159.0,169.0,158.55,169.0,654
VESUVIUS,2008-09-29,160.0,163.0,151.1,160.0,14229
VESUVIUS,2008-09-30,160.0,160.0,155.05,155.05,136
VESUVIUS,2008-10-01,156.05,156.05,152.6,153.3,314
VESUVIUS,2008-10-03,146.6,163.75,146.5,161.6,552
VESUVIUS,2008-10-06,150.0,150.0,139.0,140.0,3351
VESUVIUS,2008-10-07,149.8,149.8,136.05,140.0,335
VESUVIUS,2008-10-08,140.0,140.0,114.0,129.25,2843
VESUVIUS,2008-10-10,114.0,120.0,103.4,116.65,6790
VESUVIUS,2008-10-13,111.0,129.95,111.0,127.6,680
VESUVIUS,2008-10-14,130.0,138.8,125.0,131.25,1071
VESUVIUS,2008-10-15,109.15,138.0,109.15,135.8,1795
VESUVIUS,2008-10-16,123.6,133.7,122.0,130.0,745
VESUVIUS,2008-10-17,130.0,130.0,123.5,125.05,456
VESUVIUS,2008-10-20,115.5,127.5,110.5,122.8,3983
VESUVIUS,2008-10-21,115.1,126.0,110.0,113.85,2406
VESUVIUS,2008-10-22,118.7,118.7,108.4,108.55,468
VESUVIUS,2008-10-23,108.0,113.0,100.3,102.0,3866
VESUVIUS,2008-10-24,105.0,109.65,88.0,89.15,1857
VESUVIUS,2008-10-27,82.1,101.9,82.1,91.85,3681
VESUVIUS,2008-10-28,94.0,98.95,94.0,95.85,392
VESUVIUS,2008-10-29,94.0,103.75,92.5,95.1,404
VESUVIUS,2008-10-31,97.0,105.8,97.0,97.25,1117
VESUVIUS,2008-11-03,105.5,109.9,105.5,109.1,1314
VESUVIUS,2008-11-04,105.0,111.45,105.0,110.0,2208
VESUVIUS,2008-11-05,105.55,110.3,105.0,108.0,557
VESUVIUS,2008-11-06,106.0,108.0,103.0,107.15,2223
VESUVIUS,2008-11-07,102.0,105.95,101.0,105.0,301
VESUVIUS,2008-11-10,104.0,109.9,104.0,106.9,1847
VESUVIUS,2008-11-11,108.0,108.9,102.25,103.5,330
VESUVIUS,2008-11-12,100.0,104.3,100.0,103.1,215
VESUVIUS,2008-11-14,102.0,105.0,100.0,101.45,3028
VESUVIUS,2008-11-17,97.0,100.95,96.0,97.7,474
VESUVIUS,2008-11-18,93.0,98.8,93.0,96.15,371
VESUVIUS,2008-11-19,92.0,97.95,88.5,91.05,479
VESUVIUS,2008-11-20,85.5,99.0,85.5,88.8,567
VESUVIUS,2008-11-21,91.95,91.95,89.0,90.0,765
VESUVIUS,2008-11-24,88.0,88.5,82.3,83.75,837
VESUVIUS,2008-11-25,90.0,91.0,85.1,86.3,51
VESUVIUS,2008-11-28,77.6,86.8,77.2,84.5,400
VESUVIUS,2008-12-01,88.0,89.9,86.0,87.0,489
VESUVIUS,2008-12-02,88.6,88.65,83.1,86.75,193
VESUVIUS,2008-12-03,85.0,90.8,85.0,87.0,3044
VESUVIUS,2008-12-04,83.0,93.8,83.0,91.05,438
VESUVIUS,2008-12-05,91.05,93.5,90.0,91.45,2302
VESUVIUS,2008-12-08,95.0,95.0,89.3,89.7,591
VESUVIUS,2008-12-10,94.2,94.2,91.0,91.0,71
VESUVIUS,2008-12-11,93.0,93.0,90.5,91.95,54
VESUVIUS,2008-12-12,93.9,93.9,88.0,89.85,1230
VESUVIUS,2008-12-15,92.4,95.05,90.2,92.9,1366
VESUVIUS,2008-12-16,92.95,102.7,92.75,97.0,6840
VESUVIUS,2008-12-17,94.5,96.0,90.0,90.3,3292
VESUVIUS,2008-12-18,90.25,92.45,87.3,92.45,604
VESUVIUS,2008-12-19,94.8,94.95,89.0,90.9,5421
VESUVIUS,2008-12-22,92.85,92.85,88.05,90.25,1273
VESUVIUS,2008-12-23,91.0,92.55,90.0,90.0,1675
VESUVIUS,2008-12-24,91.0,91.65,89.05,89.7,126
VESUVIUS,2008-12-26,95.0,95.0,88.0,88.85,663
VESUVIUS,2008-12-29,88.0,93.5,84.5,89.95,127
VESUVIUS,2008-12-30,90.0,92.9,90.0,92.0,14
VESUVIUS,2008-12-31,88.0,90.05,88.0,90.05,105
VESUVIUS,2009-01-01,92.9,95.0,91.05,92.4,500
VESUVIUS,2009-01-02,94.0,95.0,88.6,94.0,2665
VESUVIUS,2009-01-05,94.0,94.9,92.5,94.0,1475
VESUVIUS,2009-01-06,90.6,95.5,90.6,95.0,3276
VESUVIUS,2009-01-07,98.0,98.0,90.5,90.95,1322
VESUVIUS,2009-01-09,90.0,91.0,88.5,89.95,1273
VESUVIUS,2009-01-12,86.0,93.95,86.0,88.0,361
VESUVIUS,2009-01-13,88.0,92.0,86.0,86.2,456
VESUVIUS,2009-01-14,96.5,96.5,85.0,91.7,669
VESUVIUS,2009-01-15,89.0,91.0,85.1,90.15,395
VESUVIUS,2009-01-16,87.2,91.0,87.1,87.3,104
VESUVIUS,2009-01-19,88.05,90.0,85.1,86.8,401
VESUVIUS,2009-01-20,85.55,89.75,85.55,89.35,62
VESUVIUS,2009-01-21,92.45,92.45,85.0,86.2,1064
VESUVIUS,2009-01-22,82.25,89.9,82.25,86.15,656
VESUVIUS,2009-01-23,86.15,87.0,85.0,85.15,801
VESUVIUS,2009-01-27,82.0,88.95,82.0,86.5,4008
VESUVIUS,2009-01-28,86.6,89.7,85.25,85.5,327
VESUVIUS,2009-01-29,86.1,86.1,80.05,81.05,4271
VESUVIUS,2009-01-30,84.95,85.0,76.5,77.85,5608
VESUVIUS,2009-02-02,77.0,80.0,76.2,77.4,873
VESUVIUS,2009-02-03,84.0,84.0,78.5,79.0,556
VESUVIUS,2009-02-04,79.0,81.85,76.3,76.95,1098
VESUVIUS,2009-02-05,76.1,77.5,75.1,76.3,950
VESUVIUS,2009-02-06,81.0,82.0,77.0,80.55,999
VESUVIUS,2009-02-09,78.05,81.8,78.05,80.15,1174
VESUVIUS,2009-02-10,88.0,88.0,81.3,82.2,3721
VESUVIUS,2009-02-11,80.0,83.0,79.5,82.8,8156
VESUVIUS,2009-02-12,81.25,83.0,81.05,81.15,644
VESUVIUS,2009-02-13,84.0,85.5,81.0,83.8,653
VESUVIUS,2009-02-16,80.75,83.0,80.1,80.7,410
VESUVIUS,2009-02-17,84.7,84.7,79.5,79.5,325
VESUVIUS,2009-02-18,79.5,82.8,79.5,79.85,407
VESUVIUS,2009-02-19,80.0,81.5,77.6,79.5,470
VESUVIUS,2009-02-20,79.9,79.9,77.0,78.0,494
VESUVIUS,2009-02-24,76.2,80.0,74.1,76.1,1627
VESUVIUS,2009-02-25,77.5,78.95,75.0,75.2,1110
VESUVIUS,2009-02-26,75.9,78.7,75.9,76.1,1160
VESUVIUS,2009-02-27,79.0,79.0,74.0,74.0,998
VESUVIUS,2009-03-02,75.0,79.75,73.0,73.65,1328
VESUVIUS,2009-03-03,77.85,77.85,70.0,71.05,6852
VESUVIUS,2009-03-04,74.5,74.5,69.0,70.25,1809
VESUVIUS,2009-03-05,71.95,72.95,67.8,71.05,4235
VESUVIUS,2009-03-06,70.0,71.75,70.0,70.05,344
VESUVIUS,2009-03-09,70.1,70.1,68.3,68.5,3130
VESUVIUS,2009-03-12,70.1,72.4,70.0,70.0,348
VESUVIUS,2009-03-13,71.9,71.95,69.45,71.45,1087
VESUVIUS,2009-03-16,71.0,75.75,71.0,72.1,1374
VESUVIUS,2009-03-17,69.0,72.45,69.0,70.7,987
VESUVIUS,2009-03-18,68.0,77.8,68.0,73.7,957
