symbol,date,open,high,low,close,volume
VILINBIO,2023-07-14,20.7,22.5,20.7,21.1,48001
VILINBIO,2023-07-17,20.5,21.8,20.5,21.65,52001
VILINBIO,2023-07-18,21.7,21.7,20.5,20.5,44001
VILINBIO,2023-07-19,21.75,24.9,20.3,23.5,256001
VILINBIO,2023-07-20,23.4,23.75,22.5,22.8,68001
VILINBIO,2023-07-21,22.15,22.9,21.5,22.9,24001
VILINBIO,2023-07-24,23.1,23.4,22.0,22.0,28001
VILINBIO,2023-07-25,23.45,23.45,21.55,21.95,44001
VILINBIO,2023-07-26,21.6,23.0,21.6,22.9,56001
VILINBIO,2023-07-27,23.35,26.5,23.3,23.8,88001
VILINBIO,2023-07-28,24.25,26.45,24.25,25.5,44001
VILINBIO,2023-07-31,24.55,24.55,23.6,24.35,24001
VILINBIO,2023-08-01,24.3,24.3,23.6,23.6,40001
VILINBIO,2023-08-02,23.8,23.8,23.5,23.6,20001
VILINBIO,2023-08-03,24.35,25.0,24.25,24.35,32001
VILINBIO,2023-08-04,24.5,24.5,23.8,23.8,12001
VILINBIO,2023-08-07,24.5,25.6,24.1,24.2,48002
VILINBIO,2023-08-08,24.05,24.05,23.0,23.7,80002
VILINBIO,2023-08-09,22.0,23.55,22.0,23.45,60001
VILINBIO,2023-08-14,22.55,22.75,21.5,21.5,28001
VILINBIO,2023-08-16,21.65,22.35,21.65,22.35,12001
VILINBIO,2023-08-17,22.55,23.0,22.55,23.0,8001
VILINBIO,2023-08-18,23.0,23.0,22.15,22.15,16001
VILINBIO,2023-08-21,22.45,22.45,22.15,22.15,8001
VILINBIO,2023-08-22,22.2,22.2,22.05,22.05,16001
VILINBIO,2023-08-23,22.5,22.5,22.5,22.5,8001
VILINBIO,2023-08-25,22.5,23.25,22.2,23.25,52001
VILINBIO,2023-08-28,23.2,23.5,23.2,23.5,16001
VILINBIO,2023-08-29,23.5,23.5,23.45,23.45,8001
VILINBIO,2023-08-30,23.45,24.15,22.85,22.85,24001
VILINBIO,2023-08-31,23.0,23.9,22.65,22.65,44001
VILINBIO,2023-09-01,23.4,23.4,23.0,23.0,8001
VILINBIO,2023-09-04,22.75,23.3,22.75,23.3,8001
VILINBIO,2023-09-05,23.3,23.6,23.3,23.6,12001
VILINBIO,2023-09-06,23.0,23.0,22.95,22.95,8001
VILINBIO,2023-09-07,23.8,23.8,23.05,23.05,16001
VILINBIO,2023-09-08,23.25,23.85,23.25,23.85,12001
VILINBIO,2023-09-11,23.2,23.3,22.5,23.3,24001
VILINBIO,2023-09-12,23.0,23.0,23.0,23.0,4001
VILINBIO,2023-09-14,22.55,22.55,22.55,22.55,12001
VILINBIO,2023-09-15,22.5,22.5,22.5,22.5,16001
VILINBIO,2023-09-18,22.15,22.95,22.15,22.95,12001
VILINBIO,2023-09-20,22.15,22.95,22.15,22.95,8001
VILINBIO,2023-09-21,22.0,22.0,22.0,22.0,8001
VILINBIO,2023-09-26,21.5,22.9,21.5,22.9,8001
VILINBIO,2023-09-27,22.5,22.5,21.55,21.55,24001
VILINBIO,2023-09-28,21.55,21.55,21.55,21.55,4001
VILINBIO,2023-09-29,21.55,21.6,21.55,21.6,8001
VILINBIO,2023-10-04,21.5,21.5,21.5,21.5,4001
VILINBIO,2023-10-05,21.0,23.95,21.0,23.4,156001
VILINBIO,2023-10-06,23.4,23.5,22.5,22.9,32001
VILINBIO,2023-10-09,22.9,23.05,22.05,23.05,20001
VILINBIO,2023-10-10,22.05,22.8,22.05,22.8,16001
VILINBIO,2023-10-11,23.4,24.5,22.55,22.55,28002
VILINBIO,2023-10-12,23.05,23.05,22.5,22.5,12001
VILINBIO,2023-10-13,22.3,23.25,21.5,23.25,40001
VILINBIO,2023-10-16,22.05,22.95,22.05,22.95,12001
VILINBIO,2023-10-17,22.5,22.5,22.5,22.5,4001
VILINBIO,2023-10-19,23.2,23.2,22.0,22.0,16001
VILINBIO,2023-10-20,22.1,22.1,22.1,22.1,4001
VILINBIO,2023-10-23,21.65,21.65,20.0,21.0,60002
VILINBIO,2023-10-25,21.0,21.0,21.0,21.0,12001
VILINBIO,2023-10-27,21.25,21.25,21.25,21.25,8001
VILINBIO,2023-10-30,21.25,21.25,21.25,21.25,8001
VILINBIO,2023-11-01,20.55,21.0,20.55,21.0,12001
VILINBIO,2023-11-03,21.0,21.0,21.0,21.0,4001
VILINBIO,2023-11-07,20.85,21.0,18.55,20.9,92001
VILINBIO,2023-11-10,20.9,20.9,20.9,20.9,20001
VILINBIO,2023-11-12,21.25,22.15,21.25,22.15,16000
VILINBIO,2023-11-13,22.0,22.25,22.0,22.25,16001
VILINBIO,2023-11-15,23.5,23.5,22.05,22.05,24001
VILINBIO,2023-11-17,21.6,21.6,21.6,21.6,4001
VILINBIO,2023-11-20,21.6,21.6,20.5,20.5,8001
VILINBIO,2023-11-21,21.5,22.05,21.4,22.0,24001
VILINBIO,2023-11-22,21.2,21.2,19.4,21.2,48002
