symbol,date,open,high,low,close,volume
VINATIORGA,2009-07-28,15.0,15.98,14.61,15.19,195910
VINATIORGA,2009-07-29,15.33,17.0,14.72,16.23,134860
VINATIORGA,2009-07-30,16.18,16.5,15.51,15.81,9580
VINATIORGA,2009-07-31,15.82,16.17,15.51,15.51,16560
VINATIORGA,2009-08-03,15.29,16.0,15.25,15.3,8730
VINATIORGA,2009-08-04,15.1,15.4,15.0,15.0,3830
VINATIORGA,2009-08-05,15.7,15.7,15.15,15.15,1050
VINATIORGA,2009-08-06,15.7,16.02,15.7,16.0,16100
VINATIORGA,2009-08-07,15.5,15.72,15.01,15.1,19820
VINATIORGA,2009-08-10,15.4,15.4,14.77,15.4,1160
VINATIORGA,2009-08-11,15.4,16.48,14.95,15.64,19370
VINATIORGA,2009-08-12,15.3,15.8,15.2,15.5,530
VINATIORGA,2009-08-13,15.35,15.7,15.35,15.5,17010
VINATIORGA,2009-08-14,15.87,15.87,15.5,15.54,7850
VINATIORGA,2009-08-17,15.88,15.88,15.4,15.6,1040
VINATIORGA,2009-08-18,15.88,16.04,15.55,15.6,1400
VINATIORGA,2009-08-19,15.51,15.9,15.5,15.84,5300
VINATIORGA,2009-08-20,15.5,15.75,15.3,15.53,14270
VINATIORGA,2009-08-21,15.39,15.7,15.39,15.7,1590
VINATIORGA,2009-08-24,15.6,15.95,15.6,15.63,16800
VINATIORGA,2009-08-25,15.85,17.0,15.1,16.48,48290
VINATIORGA,2009-08-26,17.09,18.0,16.82,17.26,42450
VINATIORGA,2009-08-27,19.8,20.72,18.0,19.25,920830
VINATIORGA,2009-08-28,19.31,19.95,18.42,19.02,187660
VINATIORGA,2009-08-31,18.69,20.1,18.51,19.78,249550
VINATIORGA,2009-09-01,20.09,20.4,17.22,19.04,193370
VINATIORGA,2009-09-02,19.27,19.79,19.13,19.33,43150
VINATIORGA,2009-09-03,20.48,20.5,19.0,19.0,19110
VINATIORGA,2009-09-04,18.85,19.7,18.6,19.0,19150
VINATIORGA,2009-09-07,19.45,22.8,19.45,20.79,435700
VINATIORGA,2009-09-08,20.8,22.0,20.7,21.03,170870
VINATIORGA,2009-09-09,21.26,21.49,19.4,20.09,228460
VINATIORGA,2009-09-10,20.47,20.67,19.6,19.81,139220
VINATIORGA,2009-09-11,19.99,20.19,17.83,19.28,162310
VINATIORGA,2009-09-14,19.05,19.56,18.64,18.93,65360
VINATIORGA,2009-09-15,18.92,19.99,18.92,19.33,65510
VINATIORGA,2009-09-16,18.9,19.9,18.9,19.35,26880
VINATIORGA,2009-09-17,19.86,23.18,19.85,21.09,856150
VINATIORGA,2009-09-18,21.3,21.4,19.9,20.51,139850
VINATIORGA,2009-09-22,20.3,22.08,20.15,21.35,234430
VINATIORGA,2009-09-23,21.01,21.7,19.51,20.15,746140
VINATIORGA,2009-09-24,19.72,20.69,19.6,20.31,75160
VINATIORGA,2009-09-25,20.49,20.5,20.11,20.2,54740
