symbol,date,open,high,low,close,volume
VINDHYATEL,2008-06-09,122.95,124.9,122.95,124.55,3008
VINDHYATEL,2008-06-10,122.75,122.75,122.75,122.75,5
VINDHYATEL,2008-06-11,125.0,125.0,120.0,125.0,109
VINDHYATEL,2008-06-12,118.75,118.75,118.75,118.75,10
VINDHYATEL,2008-06-16,121.25,121.25,121.2,121.2,100
VINDHYATEL,2008-06-18,125.0,125.0,125.0,125.0,50
VINDHYATEL,2008-06-19,126.8,126.8,120.0,126.55,54
VINDHYATEL,2008-06-20,124.5,124.5,120.3,120.3,35
VINDHYATEL,2008-06-23,114.9,114.9,114.5,114.5,21
VINDHYATEL,2008-06-24,110.15,110.15,110.05,110.05,130
VINDHYATEL,2008-06-25,105.1,105.1,105.1,105.1,74
VINDHYATEL,2008-06-26,105.0,110.0,100.15,102.0,461
VINDHYATEL,2008-06-27,106.9,107.1,105.9,107.05,251
VINDHYATEL,2008-06-30,104.0,104.0,103.65,103.65,500
VINDHYATEL,2008-07-01,98.7,98.7,98.7,98.7,70
VINDHYATEL,2008-07-02,94.25,102.0,93.8,101.0,114
VINDHYATEL,2008-07-03,97.0,97.0,96.0,96.0,25
VINDHYATEL,2008-07-04,92.2,100.75,92.1,98.85,15041
VINDHYATEL,2008-07-08,101.5,101.5,101.5,101.5,1
VINDHYATEL,2008-07-09,104.0,104.0,100.0,100.0,24
VINDHYATEL,2008-07-10,102.0,102.0,102.0,102.0,100
VINDHYATEL,2008-07-11,107.1,107.1,107.1,107.1,1
VINDHYATEL,2008-07-14,107.0,107.8,101.8,101.85,102
VINDHYATEL,2008-07-15,100.0,100.0,97.0,97.0,203
VINDHYATEL,2008-07-16,100.95,100.95,93.1,93.1,634
VINDHYATEL,2008-07-17,97.7,97.7,97.7,97.7,49
VINDHYATEL,2008-07-18,101.8,101.8,100.9,100.9,14
VINDHYATEL,2008-07-21,97.15,97.15,97.15,97.15,2
VINDHYATEL,2008-07-22,102.0,102.0,102.0,102.0,1
VINDHYATEL,2008-07-24,97.6,97.6,97.6,97.6,5
VINDHYATEL,2008-07-25,101.85,101.9,101.5,101.5,210
VINDHYATEL,2008-07-28,101.65,101.65,101.5,101.5,101
VINDHYATEL,2008-07-29,99.0,99.25,96.6,99.05,104
VINDHYATEL,2008-07-30,101.85,102.0,101.85,102.0,121
VINDHYATEL,2008-07-31,104.9,104.9,97.55,102.8,51
VINDHYATEL,2008-08-01,97.75,102.0,97.75,98.0,210
VINDHYATEL,2008-08-04,102.9,102.9,102.9,102.9,1
VINDHYATEL,2008-08-06,103.0,103.0,102.0,102.0,350
