symbol,date,open,high,low,close,volume
VISUINTL,2016-01-01,0.55,0.55,0.55,0.55,3676
VISUINTL,2016-01-04,0.575,0.575,0.575,0.575,5700
VISUINTL,2016-01-05,0.6,0.6,0.6,0.6,9468
VISUINTL,2016-01-06,0.625,0.625,0.625,0.625,3200
VISUINTL,2016-01-07,0.65,0.65,0.65,0.65,27476
VISUINTL,2016-01-08,0.675,0.675,0.675,0.675,240
VISUINTL,2016-01-11,0.7,0.7,0.7,0.7,32032
VISUINTL,2016-01-12,0.725,0.725,0.7,0.725,269960
VISUINTL,2016-01-13,0.75,0.75,0.7,0.7,150416
VISUINTL,2016-01-14,0.725,0.725,0.675,0.675,17340
VISUINTL,2016-01-15,0.65,0.65,0.65,0.65,38376
VISUINTL,2016-01-18,0.625,0.625,0.625,0.625,2400
VISUINTL,2016-01-20,0.575,0.575,0.575,0.575,16
VISUINTL,2016-01-21,0.55,0.55,0.55,0.55,20
VISUINTL,2016-01-22,0.525,0.525,0.525,0.525,800
VISUINTL,2016-01-25,0.525,0.525,0.5125,0.5125,1552
VISUINTL,2016-01-27,0.4875,0.4875,0.4875,0.4875,796
VISUINTL,2016-01-28,0.475,0.475,0.475,0.475,744
VISUINTL,2016-02-01,0.4625,0.4625,0.4625,0.4625,400
VISUINTL,2016-02-03,0.45,0.45,0.45,0.45,124
VISUINTL,2016-02-04,0.45,0.45,0.45,0.45,8536
VISUINTL,2016-02-08,0.4375,0.4625,0.4375,0.4375,11664
VISUINTL,2016-02-09,0.425,0.425,0.425,0.425,6204
VISUINTL,2016-02-10,0.4125,0.4125,0.4125,0.4125,200
VISUINTL,2016-02-11,0.4,0.4,0.4,0.4,140
VISUINTL,2016-02-12,0.3875,0.4,0.3875,0.3875,4800
VISUINTL,2016-02-15,0.4,0.4,0.4,0.4,11124
VISUINTL,2016-02-16,0.4,0.4,0.4,0.4,200
VISUINTL,2016-02-18,0.3875,0.3875,0.3875,0.3875,2400
VISUINTL,2016-02-19,0.4,0.4,0.4,0.4,20
VISUINTL,2016-02-22,0.3875,0.3875,0.3875,0.3875,1000
VISUINTL,2016-02-23,0.375,0.375,0.375,0.375,600
VISUINTL,2016-02-29,0.3625,0.3625,0.3625,0.3625,4600
VISUINTL,2016-03-04,0.3375,0.3375,0.3375,0.3375,1600
VISUINTL,2016-03-08,0.325,0.35,0.325,0.325,23204
VISUINTL,2016-03-09,0.325,0.325,0.325,0.325,10668
VISUINTL,2016-03-11,0.325,0.325,0.3125,0.325,8000
VISUINTL,2016-03-15,0.325,0.325,0.3125,0.3125,440
VISUINTL,2016-03-16,0.3,0.3,0.3,0.3,10840
VISUINTL,2016-03-17,0.2875,0.2875,0.2875,0.2875,4000
VISUINTL,2016-03-18,0.2875,0.2875,0.2875,0.2875,2000
VISUINTL,2016-03-21,0.275,0.3,0.275,0.3,39276
VISUINTL,2016-03-22,0.3,0.3,0.3,0.3,38736
VISUINTL,2016-03-23,0.3,0.3,0.2875,0.2875,57536
VISUINTL,2016-03-28,0.275,0.3,0.275,0.3,5928
VISUINTL,2016-04-05,0.3125,0.3125,0.3125,0.3125,24440
VISUINTL,2016-04-06,0.3125,0.3125,0.2875,0.2875,12944
VISUINTL,2016-04-07,0.275,0.275,0.2625,0.2625,4812
VISUINTL,2016-04-08,0.2625,0.2625,0.2375,0.2625,46800
VISUINTL,2016-04-11,0.2625,0.2625,0.2625,0.2625,848
VISUINTL,2016-04-12,0.275,0.275,0.275,0.275,2000
VISUINTL,2016-04-13,0.275,0.275,0.275,0.275,400
VISUINTL,2016-04-18,0.2875,0.2875,0.2875,0.2875,9000
VISUINTL,2016-04-20,0.2625,0.2625,0.2625,0.2625,40492
VISUINTL,2016-04-21,0.2375,0.2375,0.2375,0.2375,13492
VISUINTL,2016-04-27,0.225,0.2375,0.225,0.2375,3600
VISUINTL,2016-04-28,0.225,0.225,0.225,0.225,2400
VISUINTL,2016-04-29,0.225,0.225,0.225,0.225,300
VISUINTL,2016-05-02,0.225,0.225,0.225,0.225,7800
VISUINTL,2016-05-05,0.2375,0.2375,0.2375,0.2375,800
VISUINTL,2016-05-10,0.2375,0.2375,0.2375,0.2375,11600
VISUINTL,2016-05-12,0.25,0.25,0.25,0.25,2960
VISUINTL,2016-05-13,0.25,0.25,0.25,0.25,13596
VISUINTL,2016-05-16,0.2625,0.2625,0.25,0.25,9636
VISUINTL,2016-05-17,0.2625,0.2625,0.2625,0.2625,5200
VISUINTL,2016-05-18,0.25,0.25,0.25,0.25,154796
VISUINTL,2016-05-20,0.2375,0.2375,0.2375,0.2375,400
VISUINTL,2016-05-23,0.225,0.225,0.225,0.225,8
VISUINTL,2016-05-24,0.2375,0.2375,0.225,0.225,816
VISUINTL,2016-05-25,0.2125,0.2375,0.2125,0.225,3144
VISUINTL,2016-05-26,0.225,0.225,0.225,0.225,5228
VISUINTL,2016-05-30,0.225,0.2375,0.225,0.225,7400
VISUINTL,2016-05-31,0.225,0.2375,0.225,0.2375,16808
VISUINTL,2016-06-01,0.225,0.225,0.225,0.225,4800
VISUINTL,2016-06-02,0.225,0.225,0.225,0.225,800
VISUINTL,2016-06-03,0.225,0.2375,0.225,0.2375,20396
VISUINTL,2016-06-06,0.2375,0.2375,0.2375,0.2375,1600
VISUINTL,2016-06-08,0.225,0.225,0.225,0.225,408
VISUINTL,2016-06-10,0.2125,0.2125,0.2125,0.2125,8000
VISUINTL,2016-06-14,0.2,0.2125,0.2,0.2125,11000
VISUINTL,2016-06-17,0.2125,0.2125,0.2125,0.2125,5200
VISUINTL,2016-06-20,0.225,0.225,0.225,0.225,1600
VISUINTL,2016-06-22,0.2375,0.2375,0.2375,0.2375,9200
VISUINTL,2016-06-24,0.2375,0.2375,0.2375,0.2375,14000
VISUINTL,2016-06-27,0.25,0.25,0.25,0.25,20800
VISUINTL,2016-06-29,0.2625,0.2625,0.2625,0.2625,4016
VISUINTL,2016-06-30,0.275,0.275,0.275,0.275,2000
VISUINTL,2016-07-01,0.275,0.275,0.275,0.275,1600
VISUINTL,2016-07-05,0.2875,0.2875,0.2875,0.2875,8000
VISUINTL,2016-07-07,0.3,0.3,0.2875,0.2875,27756
VISUINTL,2016-07-19,0.3,0.3,0.3,0.3,34000
VISUINTL,2016-07-20,0.2875,0.2875,0.2875,0.2875,14000
VISUINTL,2016-07-27,0.3,0.3,0.3,0.3,400
VISUINTL,2016-07-28,0.2875,0.2875,0.2875,0.2875,4080
VISUINTL,2016-07-29,0.275,0.3,0.275,0.3,8560
VISUINTL,2016-08-01,0.3,0.3,0.3,0.3,2400
VISUINTL,2016-08-03,0.3,0.3,0.3,0.3,22400
VISUINTL,2016-08-05,0.3,0.3,0.3,0.3,800
VISUINTL,2016-08-09,0.2875,0.2875,0.2875,0.2875,400
VISUINTL,2016-08-18,0.275,0.275,0.275,0.275,2000
VISUINTL,2016-08-22,0.2625,0.2625,0.2625,0.2625,2000
VISUINTL,2016-08-26,0.25,0.25,0.25,0.25,4000
VISUINTL,2016-09-09,0.2375,0.2375,0.2375,0.2375,2800
VISUINTL,2016-09-14,0.25,0.25,0.25,0.25,40
VISUINTL,2016-09-15,0.2375,0.2375,0.2375,0.2375,12500
VISUINTL,2016-09-20,0.225,0.225,0.225,0.225,984
VISUINTL,2016-09-21,0.225,0.225,0.225,0.225,328
VISUINTL,2016-09-23,0.225,0.225,0.225,0.225,8000
VISUINTL,2016-10-06,0.225,0.225,0.225,0.225,8
