symbol,date,open,high,low,close,volume
VPRPL,2023-09-05,165.0,165.0,144.0,145.7,33419151
VPRPL,2023-09-06,149.7,173.3,146.15,163.5,30113371
VPRPL,2023-09-07,166.35,174.0,166.05,168.7,10613388
VPRPL,2023-09-08,170.0,175.85,163.4,172.75,6123872
VPRPL,2023-09-11,174.3,175.4,165.1,166.2,2608621
VPRPL,2023-09-12,167.9,169.2,152.0,152.7,3656927
VPRPL,2023-09-13,154.0,168.5,150.65,166.5,4234301
VPRPL,2023-09-14,169.35,172.5,162.35,169.8,3869594
VPRPL,2023-09-15,171.1,187.5,170.5,174.6,10450194
VPRPL,2023-09-18,178.0,179.35,170.75,174.35,2430716
VPRPL,2023-09-20,175.8,182.0,170.1,173.65,2846574
VPRPL,2023-09-21,173.65,176.35,167.0,169.7,1668723
VPRPL,2023-09-25,172.95,179.2,172.3,176.9,2637090
VPRPL,2023-09-26,176.9,189.2,168.25,181.1,11280878
VPRPL,2023-09-27,182.05,184.4,177.55,178.7,2617407
VPRPL,2023-09-28,179.5,181.95,170.05,170.85,2506206
VPRPL,2023-09-29,171.95,178.45,171.2,172.5,1848332
VPRPL,2023-10-03,173.0,173.7,165.3,166.1,1898729
VPRPL,2023-10-04,165.95,169.55,162.1,164.9,1783683
VPRPL,2023-10-05,166.9,171.55,166.35,170.6,1771108
VPRPL,2023-10-06,171.2,176.15,170.05,173.45,1920362
VPRPL,2023-10-09,170.95,177.85,166.75,173.85,2282330
VPRPL,2023-10-10,175.8,188.4,175.25,181.15,4519564
VPRPL,2023-10-11,183.05,201.8,181.2,196.9,8058924
VPRPL,2023-10-12,201.0,207.7,197.5,201.5,7629957
VPRPL,2023-10-13,200.45,213.05,198.3,210.2,6572482
VPRPL,2023-10-16,210.95,212.0,202.8,204.55,2266986
VPRPL,2023-10-17,205.0,208.4,200.2,202.05,1873789
VPRPL,2023-10-18,202.15,205.75,194.0,197.5,1826359
VPRPL,2023-10-19,195.85,201.5,195.75,197.65,1228107
VPRPL,2023-10-20,198.5,203.65,192.0,194.1,1407900
VPRPL,2023-10-23,194.65,194.8,178.25,179.65,2175951
VPRPL,2023-10-25,183.5,186.0,172.0,178.3,1573177
VPRPL,2023-10-26,177.0,193.7,171.6,193.7,2742046
VPRPL,2023-10-27,192.05,202.3,191.05,198.15,3185450
VPRPL,2023-10-30,199.0,199.25,192.5,195.35,1092425
VPRPL,2023-10-31,196.1,199.6,192.05,192.7,808672
VPRPL,2023-11-01,193.0,195.25,185.25,186.4,821514
VPRPL,2023-11-02,189.85,191.2,187.6,188.15,870562
VPRPL,2023-11-03,188.0,196.35,187.95,192.8,1883936
VPRPL,2023-11-06,196.0,200.0,194.4,195.05,1870490
VPRPL,2023-11-07,195.75,199.7,191.65,197.8,1157291
VPRPL,2023-11-08,199.0,210.95,199.0,200.45,4693689
VPRPL,2023-11-09,197.0,202.2,192.8,193.65,2308549
VPRPL,2023-11-10,194.7,195.75,189.8,191.1,1234930
VPRPL,2023-11-12,193.0,198.5,193.0,197.45,545875
VPRPL,2023-11-13,198.0,198.0,192.25,193.45,847696
VPRPL,2023-11-15,195.8,201.0,194.45,197.3,1547689
VPRPL,2023-11-16,197.9,226.6,197.4,221.35,12240430
VPRPL,2023-11-17,221.3,228.8,213.5,216.65,3934801
VPRPL,2023-11-20,217.5,221.35,211.15,212.9,1842797
VPRPL,2023-11-21,212.1,216.4,207.45,213.3,1873063
VPRPL,2023-11-22,213.95,216.75,208.75,213.0,1141429
VPRPL,2023-11-23,214.25,214.4,211.05,213.0,656060
VPRPL,2023-11-24,214.0,223.05,211.0,215.65,2489479
VPRPL,2023-11-28,217.05,217.6,211.65,212.95,757091
VPRPL,2023-11-29,213.5,214.5,205.85,207.6,1018202
VPRPL,2023-11-30,208.15,210.7,201.3,202.75,1308892
VPRPL,2023-12-01,203.3,208.45,203.3,204.8,2539694
VPRPL,2023-12-04,209.05,209.85,205.05,206.3,1052039
VPRPL,2023-12-05,206.65,208.2,203.0,204.55,589428
VPRPL,2023-12-06,205.4,206.0,201.05,201.75,629001
VPRPL,2023-12-07,202.25,207.35,199.0,204.6,1670364
VPRPL,2023-12-08,205.9,207.5,199.95,203.0,1359406
VPRPL,2023-12-11,203.5,211.95,201.65,209.65,1667115
VPRPL,2023-12-12,211.7,214.35,205.7,209.3,1831022
VPRPL,2023-12-13,211.9,226.8,210.8,223.2,8088795
VPRPL,2023-12-14,224.0,228.0,219.1,220.7,2049882
VPRPL,2023-12-15,221.5,228.85,215.35,217.4,1974074
VPRPL,2023-12-18,217.7,219.8,213.9,217.45,741554
VPRPL,2023-12-19,218.5,220.75,214.65,216.15,1075750
VPRPL,2023-12-20,217.9,221.3,201.0,202.5,2178927
VPRPL,2023-12-21,200.0,206.35,197.15,203.95,1345488
VPRPL,2023-12-22,205.75,209.1,201.95,204.4,1828411
VPRPL,2023-12-26,205.4,220.7,202.5,217.25,4640903
VPRPL,2023-12-27,241.25,242.0,223.2,224.7,13126545
VPRPL,2023-12-28,226.0,229.6,219.1,221.95,2337662
VPRPL,2023-12-29,223.0,223.5,214.25,215.95,1798597
VPRPL,2024-01-01,217.7,222.0,215.95,217.4,1460276
VPRPL,2024-01-02,218.8,219.55,211.25,214.75,1666955
VPRPL,2024-01-03,214.9,223.1,214.05,220.45,2121817
VPRPL,2024-01-04,220.9,221.85,218.5,218.75,813633
VPRPL,2024-01-05,220.2,221.5,216.7,219.2,787445
VPRPL,2024-01-08,219.2,219.45,214.3,215.7,844064
VPRPL,2024-01-09,216.7,218.7,215.05,216.3,619692
VPRPL,2024-01-10,216.9,216.9,213.05,214.1,657220
VPRPL,2024-01-11,215.0,219.0,214.05,217.45,1518276
VPRPL,2024-01-12,218.2,218.65,215.5,216.05,952655
VPRPL,2024-01-15,217.5,217.8,213.0,213.9,828499
VPRPL,2024-01-16,214.5,219.9,211.65,217.15,2646563
VPRPL,2024-01-17,214.1,217.5,212.1,213.3,788324
VPRPL,2024-01-18,213.75,215.25,206.5,212.1,813866
VPRPL,2024-01-19,213.9,215.5,213.0,214.8,718716
VPRPL,2024-01-20,215.45,226.4,213.5,218.55,2515945
VPRPL,2024-01-23,220.4,220.6,210.5,212.95,920608
VPRPL,2024-01-24,214.0,214.0,209.0,212.95,675983
VPRPL,2024-01-25,214.05,216.5,212.1,213.55,494370
VPRPL,2024-01-29,214.95,215.25,212.5,213.15,496471
VPRPL,2024-01-30,214.35,214.8,211.5,213.05,600420
VPRPL,2024-01-31,213.4,215.2,211.65,213.75,526286
VPRPL,2024-02-01,216.0,221.1,213.8,215.9,1218556
VPRPL,2024-02-02,217.0,219.15,215.05,215.95,724304
VPRPL,2024-02-05,216.8,216.8,210.5,212.3,716437
VPRPL,2024-02-06,214.55,214.55,210.35,212.6,571858
VPRPL,2024-02-07,214.0,226.9,213.05,222.9,4129797
VPRPL,2024-02-08,224.45,225.25,217.8,219.2,1092963
VPRPL,2024-02-09,223.85,223.9,212.2,216.6,1261973
VPRPL,2024-02-12,196.35,196.35,181.0,182.95,3941765
VPRPL,2024-02-13,185.25,187.9,180.1,185.25,973940
VPRPL,2024-02-14,185.95,191.9,185.25,189.05,965855
VPRPL,2024-02-15,190.9,193.2,190.2,191.05,498394
VPRPL,2024-02-16,192.0,192.9,189.7,190.35,305603
VPRPL,2024-02-19,190.4,192.35,188.2,188.8,398673
VPRPL,2024-02-20,189.65,190.5,185.5,186.05,524886
VPRPL,2024-02-21,186.45,187.05,181.1,182.05,571895
VPRPL,2024-02-22,183.6,183.6,179.6,182.65,446950
VPRPL,2024-02-23,183.35,186.6,182.6,183.6,412248
VPRPL,2024-02-26,184.0,184.5,179.05,179.85,544437
VPRPL,2024-02-27,180.3,181.95,176.65,177.1,457549
VPRPL,2024-02-28,177.9,179.05,172.1,173.95,497380
VPRPL,2024-02-29,173.9,175.95,170.5,174.65,490806
VPRPL,2024-03-01,175.4,182.7,175.4,180.0,942444
VPRPL,2024-03-02,180.3,181.2,175.0,177.5,140781
VPRPL,2024-03-04,178.65,179.15,171.4,172.75,698182
VPRPL,2024-03-05,172.8,174.35,168.8,169.35,783618
VPRPL,2024-03-06,169.8,170.0,163.7,165.65,657728
VPRPL,2024-03-07,166.25,168.0,164.8,165.65,521071
VPRPL,2024-03-11,165.65,165.85,153.0,156.15,974684
VPRPL,2024-03-12,156.0,160.5,151.55,154.7,1514593
VPRPL,2024-03-13,155.8,156.35,142.05,144.65,1432735
VPRPL,2024-03-14,144.0,155.9,141.0,154.95,1515712
VPRPL,2024-03-15,153.95,163.15,150.0,160.4,1405957
VPRPL,2024-03-18,161.5,166.9,159.6,166.0,1545046
VPRPL,2024-03-19,165.0,168.7,158.0,159.25,787434
VPRPL,2024-03-20,159.4,160.6,152.3,154.7,639689
VPRPL,2024-03-21,155.95,159.85,155.9,156.65,442769
VPRPL,2024-03-22,156.3,160.0,156.1,158.3,449132
VPRPL,2024-03-26,158.0,159.2,153.1,153.75,804878
VPRPL,2024-03-27,154.4,156.75,150.0,151.0,1196998
VPRPL,2024-03-28,152.15,156.3,148.8,149.85,955735
VPRPL,2024-04-01,152.0,162.45,152.0,161.7,831804
VPRPL,2024-04-02,160.5,169.45,160.05,167.85,914933
VPRPL,2024-04-03,167.85,171.4,165.95,168.7,642071
VPRPL,2024-04-04,169.25,173.0,167.0,169.65,660682
VPRPL,2024-04-05,169.65,170.5,167.0,168.05,508528
VPRPL,2024-04-08,169.4,169.9,164.6,165.95,369795
VPRPL,2024-04-09,166.7,169.3,164.5,165.7,333512
VPRPL,2024-04-10,165.95,168.5,164.6,166.95,286263
VPRPL,2024-04-12,165.3,166.25,164.0,164.7,313250
VPRPL,2024-04-15,158.0,161.65,156.0,158.9,440414
VPRPL,2024-04-16,155.05,161.5,155.05,159.2,258786
VPRPL,2024-04-18,161.2,164.6,158.75,159.95,349962
VPRPL,2024-04-19,157.7,169.8,156.05,166.9,1341922
VPRPL,2024-04-22,169.0,169.7,164.1,164.75,571213
VPRPL,2024-04-23,165.5,167.45,163.1,163.9,491139
VPRPL,2024-04-24,164.25,167.0,162.3,163.1,432178
VPRPL,2024-04-25,163.75,164.7,162.0,162.8,266669
VPRPL,2024-04-26,163.45,165.55,163.0,164.25,288938
VPRPL,2024-04-29,164.4,167.5,164.4,165.9,479937
VPRPL,2024-04-30,167.0,167.0,162.1,163.3,332131
