symbol,date,open,high,low,close,volume
WALCHANNAG,2008-06-09,291.05,299.0,280.25,286.2,59968
WALCHANNAG,2008-06-10,281.0,295.0,276.0,282.15,56222
WALCHANNAG,2008-06-11,293.0,294.9,284.1,285.8,37943
WALCHANNAG,2008-06-12,278.7,284.0,270.1,281.8,52317
WALCHANNAG,2008-06-13,285.8,295.3,282.1,284.9,57383
WALCHANNAG,2008-06-16,295.0,301.0,287.7,291.4,62121
WALCHANNAG,2008-06-17,291.05,297.8,288.15,296.0,40330
WALCHANNAG,2008-06-18,299.0,325.6,299.0,321.6,298168
WALCHANNAG,2008-06-19,320.0,346.0,315.0,329.1,386813
WALCHANNAG,2008-06-20,333.1,344.0,301.0,304.25,208848
WALCHANNAG,2008-06-23,300.0,301.0,274.1,281.75,127423
WALCHANNAG,2008-06-24,281.0,294.4,275.0,276.55,69034
WALCHANNAG,2008-06-25,272.0,277.0,256.1,272.6,87335
WALCHANNAG,2008-06-26,278.0,283.9,273.0,275.2,50161
WALCHANNAG,2008-06-27,262.2,266.5,257.0,259.05,55796
WALCHANNAG,2008-06-30,250.0,266.0,233.25,236.6,56946
WALCHANNAG,2008-07-01,232.05,237.0,213.0,214.8,59731
WALCHANNAG,2008-07-02,217.0,228.0,194.5,217.2,158639
WALCHANNAG,2008-07-03,212.3,214.95,200.0,201.85,87142
WALCHANNAG,2008-07-04,204.95,211.95,195.15,211.95,110825
WALCHANNAG,2008-07-07,220.0,222.55,218.0,222.55,12344
WALCHANNAG,2008-07-08,229.3,233.7,212.0,233.7,172660
WALCHANNAG,2008-07-09,245.4,245.4,245.4,245.4,4394
WALCHANNAG,2008-07-10,257.7,257.7,256.0,257.7,56225
WALCHANNAG,2008-07-11,270.6,270.6,265.0,270.6,127383
WALCHANNAG,2008-07-14,279.7,284.15,271.5,284.15,85722
WALCHANNAG,2008-07-15,289.7,298.4,278.0,297.25,238351
WALCHANNAG,2008-07-16,307.65,312.15,282.4,284.25,444141
WALCHANNAG,2008-07-17,287.0,298.5,270.05,270.95,140578
WALCHANNAG,2008-07-18,275.0,280.0,257.5,259.55,209271
WALCHANNAG,2008-07-21,258.0,266.7,247.5,250.6,168758
WALCHANNAG,2008-07-22,253.95,263.15,251.1,263.0,381011
WALCHANNAG,2008-07-23,276.15,276.15,273.0,276.15,287916
WALCHANNAG,2008-07-24,290.0,290.0,268.0,278.25,571351
WALCHANNAG,2008-07-25,270.0,275.0,267.0,268.45,102619
WALCHANNAG,2008-07-28,271.5,281.9,260.0,281.9,133152
WALCHANNAG,2008-07-29,279.8,284.95,267.8,268.7,203533
WALCHANNAG,2008-07-30,273.0,282.15,269.05,282.15,221989
WALCHANNAG,2008-07-31,287.05,287.05,270.0,272.7,132423
WALCHANNAG,2008-08-01,266.0,286.35,262.25,281.3,310652
WALCHANNAG,2008-08-04,282.0,291.8,278.35,282.4,191656
WALCHANNAG,2008-08-05,284.0,291.0,283.0,284.35,136515
