symbol,date,open,high,low,close,volume
WANBURY,2016-01-01,87.5,91.9,87.4,87.4,68008
WANBURY,2016-01-04,88.1,89.4,83.5,83.6,63982
WANBURY,2016-01-05,84.0,88.0,82.3,85.25,70107
WANBURY,2016-01-06,85.0,88.0,82.0,84.0,36485
WANBURY,2016-01-07,81.8,85.9,79.05,84.95,48174
WANBURY,2016-01-08,81.85,85.9,81.85,85.9,16640
WANBURY,2016-01-11,89.3,89.3,81.9,83.65,20566
WANBURY,2016-01-12,84.5,84.5,79.4,80.5,16684
WANBURY,2016-01-13,81.0,83.0,76.15,82.0,33785
WANBURY,2016-01-14,75.4,76.8,75.4,75.4,12898
WANBURY,2016-01-15,76.8,76.8,71.65,71.65,10571
WANBURY,2016-01-18,69.0,70.0,68.1,68.15,12980
WANBURY,2016-01-19,64.75,67.95,64.75,65.0,8582
WANBURY,2016-01-20,63.5,64.95,61.7,61.75,6791
WANBURY,2016-01-21,59.1,64.8,59.1,63.3,25670
WANBURY,2016-01-22,61.15,66.2,61.0,61.5,10981
WANBURY,2016-01-25,58.85,64.0,58.85,61.6,30466
WANBURY,2016-01-27,60.0,62.0,59.3,62.0,9617
WANBURY,2016-01-28,59.3,61.65,59.3,61.0,7975
WANBURY,2016-01-29,60.5,61.0,58.55,59.0,21909
WANBURY,2016-02-01,60.0,62.45,59.2,62.4,3681
WANBURY,2016-02-02,64.45,64.45,59.4,59.55,11337
WANBURY,2016-02-03,58.2,59.6,57.0,58.9,10554
WANBURY,2016-02-04,58.05,61.75,57.8,58.5,5578
WANBURY,2016-02-05,61.4,61.4,56.7,58.4,1510
WANBURY,2016-02-08,57.0,60.0,56.1,58.25,6990
WANBURY,2016-02-09,57.95,57.95,55.0,57.9,13559
WANBURY,2016-02-10,55.0,58.5,54.5,54.5,8080
WANBURY,2016-02-11,54.0,54.0,51.95,52.0,8587
WANBURY,2016-02-12,49.4,49.4,49.4,49.4,8298
WANBURY,2016-02-15,46.95,47.1,46.95,47.0,20754
WANBURY,2016-02-16,44.65,47.0,44.65,44.65,22297
WANBURY,2016-02-17,44.0,44.25,42.45,42.45,12528
WANBURY,2016-02-18,42.45,42.6,40.35,40.95,16785
WANBURY,2016-02-19,39.8,40.5,39.0,39.3,7191
WANBURY,2016-02-22,38.0,41.5,38.0,41.2,5765
WANBURY,2016-02-23,41.05,41.5,39.4,39.5,12591
WANBURY,2016-02-24,40.75,40.75,39.0,39.5,4998
WANBURY,2016-02-25,39.35,40.0,39.0,39.5,6892
WANBURY,2016-02-26,40.0,41.0,38.15,40.0,12920
WANBURY,2016-02-29,40.0,41.2,38.1,38.1,705
WANBURY,2016-03-01,37.2,40.95,37.2,40.8,3078
WANBURY,2016-03-02,41.0,42.85,41.0,41.9,15436
WANBURY,2016-03-03,42.5,42.5,40.0,40.5,7505
WANBURY,2016-03-04,40.0,42.45,39.8,42.45,22012
WANBURY,2016-03-08,43.9,44.55,41.0,43.5,21113
WANBURY,2016-03-09,43.6,46.5,43.6,46.5,33277
WANBURY,2016-03-10,47.9,47.9,45.5,46.1,6592
WANBURY,2016-03-11,47.95,47.95,45.55,46.7,11280
WANBURY,2016-03-14,46.5,48.65,44.55,46.7,38823
WANBURY,2016-03-15,49.75,49.75,46.5,47.0,8391
WANBURY,2016-03-16,48.0,48.0,45.0,46.65,6528
WANBURY,2016-03-17,45.0,46.75,44.9,45.2,41030
WANBURY,2016-03-18,44.25,45.75,44.25,44.9,5479
WANBURY,2016-03-21,42.9,45.85,42.9,43.0,4092
WANBURY,2016-03-22,42.25,44.8,42.25,44.0,39615
WANBURY,2016-03-23,43.25,45.2,43.1,45.2,16909
WANBURY,2016-03-28,47.25,47.45,44.05,44.4,10837
WANBURY,2016-03-29,46.9,47.75,43.25,47.6,45393
WANBURY,2016-03-30,47.6,47.6,45.15,46.45,27034
WANBURY,2016-03-31,45.2,47.5,45.05,47.5,36263
WANBURY,2016-04-01,46.0,48.0,45.35,48.0,18448
WANBURY,2016-04-04,46.5,47.45,45.9,45.9,3527
WANBURY,2016-04-05,47.95,47.95,45.0,46.0,4202
WANBURY,2016-04-06,44.3,47.0,44.3,46.8,1802
WANBURY,2016-04-07,44.55,47.5,44.55,47.5,2287
WANBURY,2016-04-08,46.0,49.1,46.0,49.1,5883
WANBURY,2016-04-11,51.35,51.55,50.55,51.55,1850
WANBURY,2016-04-12,54.1,54.1,54.1,54.1,1170
WANBURY,2016-04-13,56.8,56.8,54.2,56.0,18585
WANBURY,2016-04-18,56.0,57.7,53.1,57.0,18500
WANBURY,2016-04-20,56.0,57.0,54.65,54.65,2484
WANBURY,2016-04-21,52.0,55.0,52.0,54.0,4059
