symbol,date,open,high,low,close,volume
WHEELS,2008-06-09,105.5,105.5,100.0,101.75,1276
WHEELS,2008-06-10,100.75,104.0,97.5,103.0,876
WHEELS,2008-06-11,105.0,105.5,99.5,102.35,1794
WHEELS,2008-06-12,98.05,104.9,98.05,103.8,1938
WHEELS,2008-06-13,99.6,99.97,96.0,98.95,14512
WHEELS,2008-06-16,100.0,104.45,98.0,100.4,1532
WHEELS,2008-06-17,102.25,102.47,100.0,100.03,110
WHEELS,2008-06-18,102.5,103.2,101.05,101.45,472
WHEELS,2008-06-19,102.97,102.97,101.0,101.0,74
WHEELS,2008-06-20,100.5,101.9,95.75,97.38,3890
WHEELS,2008-06-23,97.5,97.5,95.6,95.88,962
WHEELS,2008-06-24,96.5,101.5,90.0,91.38,1678
WHEELS,2008-06-25,95.95,95.95,92.1,94.0,410
WHEELS,2008-06-26,96.0,102.0,94.0,94.88,132
WHEELS,2008-06-27,95.0,112.0,95.0,98.03,410
WHEELS,2008-06-30,98.5,100.0,92.5,95.15,482
WHEELS,2008-07-01,93.15,102.5,90.0,92.25,1460
WHEELS,2008-07-02,91.07,94.5,91.0,94.5,386
WHEELS,2008-07-03,95.5,100.75,91.5,97.85,1174
WHEELS,2008-07-04,97.5,102.0,97.5,101.5,6
WHEELS,2008-07-07,101.5,104.93,97.0,98.65,1284
WHEELS,2008-07-08,99.0,99.0,95.03,97.68,448
WHEELS,2008-07-09,99.0,102.75,96.03,99.5,494
WHEELS,2008-07-10,97.0,97.5,94.45,94.45,1594
WHEELS,2008-07-11,95.0,98.45,95.0,98.45,62
WHEELS,2008-07-14,105.0,107.5,95.0,98.0,1410
WHEELS,2008-07-15,92.5,97.5,92.5,92.75,322
WHEELS,2008-07-16,97.0,97.0,92.5,92.5,842
WHEELS,2008-07-17,93.5,95.93,92.5,94.15,1390
WHEELS,2008-07-18,95.68,95.68,93.05,94.3,3610
WHEELS,2008-07-21,95.95,96.5,91.18,96.0,308
WHEELS,2008-07-22,97.5,97.5,90.53,92.5,546
WHEELS,2008-07-23,97.0,99.75,97.0,98.47,1126
WHEELS,2008-07-24,97.5,97.5,93.75,93.75,100
WHEELS,2008-07-25,98.0,100.0,97.53,98.78,482
WHEELS,2008-07-28,94.05,101.63,94.05,100.43,700
WHEELS,2008-07-29,100.0,100.0,100.0,100.0,100
WHEELS,2008-07-30,97.03,97.03,97.03,97.03,110
WHEELS,2008-07-31,100.0,100.0,96.0,96.68,1268
WHEELS,2008-08-01,98.0,104.5,98.0,102.5,2226
WHEELS,2008-08-04,103.05,105.0,103.0,104.32,872
WHEELS,2008-08-05,101.0,101.03,101.0,101.03,28
WHEELS,2008-08-06,101.55,109.28,101.55,105.55,1486
WHEELS,2008-08-07,105.5,110.0,104.53,106.22,2582
WHEELS,2008-08-08,107.5,110.0,102.82,103.28,3036
WHEELS,2008-08-11,105.0,109.93,102.5,103.05,286
WHEELS,2008-08-12,108.5,108.5,105.0,106.75,244
WHEELS,2008-08-13,110.0,110.0,105.03,107.22,92
