symbol,date,open,high,low,close,volume
WSTCSTPAPR,2008-06-09,64.0,68.0,64.0,64.7,4791
WSTCSTPAPR,2008-06-10,69.0,69.0,63.0,63.4,2546
WSTCSTPAPR,2008-06-11,68.4,68.4,63.0,63.75,3266
WSTCSTPAPR,2008-06-12,69.0,69.0,61.2,63.35,10335
WSTCSTPAPR,2008-06-13,66.0,66.0,62.35,63.1,44271
WSTCSTPAPR,2008-06-16,65.0,65.0,63.35,63.7,7112
WSTCSTPAPR,2008-06-17,64.1,65.0,62.7,64.7,8889
WSTCSTPAPR,2008-06-18,65.4,66.9,64.55,65.6,10214
WSTCSTPAPR,2008-06-19,65.6,65.7,64.0,64.5,8115
WSTCSTPAPR,2008-06-20,63.25,64.9,62.75,63.1,9865
WSTCSTPAPR,2008-06-23,65.85,65.85,58.05,60.8,15395
WSTCSTPAPR,2008-06-24,63.9,63.9,60.05,60.15,5294
WSTCSTPAPR,2008-06-25,60.4,60.4,58.4,59.25,9301
WSTCSTPAPR,2008-06-26,63.9,63.9,60.5,60.8,2078
WSTCSTPAPR,2008-06-27,58.5,61.9,58.5,60.45,12164
WSTCSTPAPR,2008-06-30,61.0,61.8,58.1,58.5,8022
WSTCSTPAPR,2008-07-01,59.0,60.25,57.4,57.6,6234
WSTCSTPAPR,2008-07-02,58.0,59.9,56.0,57.55,10158
WSTCSTPAPR,2008-07-03,57.1,58.0,56.0,57.1,12855
WSTCSTPAPR,2008-07-04,56.5,58.85,56.5,58.7,2541
WSTCSTPAPR,2008-07-07,62.0,62.0,58.2,59.1,5647
WSTCSTPAPR,2008-07-08,58.95,58.95,58.0,58.5,3199
WSTCSTPAPR,2008-07-09,59.95,60.5,58.4,58.85,5172
WSTCSTPAPR,2008-07-10,60.0,60.0,59.1,59.9,2610
WSTCSTPAPR,2008-07-11,61.0,61.85,59.1,59.4,5735
WSTCSTPAPR,2008-07-14,63.0,63.5,58.1,58.75,10234
WSTCSTPAPR,2008-07-15,57.6,58.0,55.5,56.35,9724
WSTCSTPAPR,2008-07-16,56.55,58.4,56.55,57.45,1188
WSTCSTPAPR,2008-07-17,59.0,59.0,56.9,57.1,13379
WSTCSTPAPR,2008-07-18,59.85,59.9,57.0,58.5,5354
WSTCSTPAPR,2008-07-21,61.5,61.5,57.5,59.3,903
WSTCSTPAPR,2008-07-22,57.7,59.85,57.7,58.8,2965
WSTCSTPAPR,2008-07-23,59.5,63.1,59.5,62.95,13005
WSTCSTPAPR,2008-07-24,62.0,63.2,60.45,61.5,2663
WSTCSTPAPR,2008-07-25,60.0,62.0,59.9,61.45,2712
WSTCSTPAPR,2008-07-28,60.35,62.9,60.35,62.4,2168
WSTCSTPAPR,2008-07-29,65.0,65.0,61.65,62.3,2510
WSTCSTPAPR,2008-07-30,66.0,66.0,61.2,62.75,3671
WSTCSTPAPR,2008-07-31,64.3,64.95,62.25,62.5,2426
WSTCSTPAPR,2008-08-01,62.75,62.9,61.65,62.4,6422
WSTCSTPAPR,2008-08-04,62.5,64.4,61.75,62.45,27325
WSTCSTPAPR,2008-08-05,62.6,64.0,62.6,63.5,7597
WSTCSTPAPR,2008-08-06,64.75,64.8,63.5,63.95,22980
WSTCSTPAPR,2008-08-07,64.5,67.0,63.5,64.95,16397
WSTCSTPAPR,2008-08-08,64.55,65.75,64.2,64.55,5731
WSTCSTPAPR,2008-08-11,67.0,67.0,65.0,65.95,10531
