symbol,date,open,high,low,close,volume
YATRA,2023-09-28,127.5,138.55,127.5,135.9,10320683
YATRA,2023-09-29,136.35,146.7,135.85,136.85,3012950
YATRA,2023-10-03,136.9,137.0,132.3,134.6,1364590
YATRA,2023-10-04,131.0,134.0,126.0,130.65,1935037
YATRA,2023-10-05,130.75,137.8,129.0,136.8,1655732
YATRA,2023-10-06,137.05,139.55,134.5,138.0,748726
YATRA,2023-10-09,139.85,139.85,132.5,136.5,502793
YATRA,2023-10-10,137.55,142.5,136.6,141.75,3026273
YATRA,2023-10-11,142.95,143.45,134.15,141.95,4855699
YATRA,2023-10-12,142.9,144.7,139.1,140.3,4786571
YATRA,2023-10-13,138.95,157.3,138.3,150.25,9365102
YATRA,2023-10-16,150.5,158.15,142.1,145.65,7833509
YATRA,2023-10-17,144.65,147.3,140.8,144.05,3003798
YATRA,2023-10-18,143.9,145.45,137.45,140.15,1178158
YATRA,2023-10-19,138.8,142.9,137.25,142.05,832982
YATRA,2023-10-20,141.7,144.6,138.75,140.8,897237
YATRA,2023-10-23,142.0,142.0,131.0,134.8,1147180
YATRA,2023-10-25,137.6,137.6,129.3,132.75,997773
YATRA,2023-10-26,130.0,130.95,124.55,127.7,788999
YATRA,2023-10-27,129.0,130.85,125.6,126.15,506853
YATRA,2023-10-30,126.55,131.9,124.6,129.95,562399
YATRA,2023-10-31,133.0,133.0,127.3,127.95,356367
YATRA,2023-11-01,127.65,129.8,127.4,129.0,212808
YATRA,2023-11-02,130.8,130.8,127.5,128.15,147079
YATRA,2023-11-03,129.7,130.8,128.45,129.45,197539
YATRA,2023-11-06,130.05,134.0,129.8,132.85,229995
YATRA,2023-11-07,133.45,134.25,131.25,133.8,203687
YATRA,2023-11-08,135.0,139.9,133.4,138.35,689889
YATRA,2023-11-09,138.8,141.0,135.25,137.2,303449
YATRA,2023-11-10,137.45,140.45,135.25,139.05,367506
YATRA,2023-11-12,138.75,140.8,138.7,139.1,53313
YATRA,2023-11-13,139.85,141.1,137.5,138.65,212219
YATRA,2023-11-15,135.5,140.3,131.5,132.35,796456
YATRA,2023-11-16,132.35,133.15,129.15,129.75,463612
YATRA,2023-11-17,130.6,131.15,127.65,130.55,457110
YATRA,2023-11-20,131.25,131.95,127.5,128.0,225518
YATRA,2023-11-21,128.15,128.6,127.15,127.9,176270
YATRA,2023-11-22,127.95,129.65,126.0,127.3,223690
YATRA,2023-11-23,128.3,129.25,127.65,128.45,134530
YATRA,2023-11-24,128.4,132.25,128.0,131.1,353541
YATRA,2023-11-28,132.15,134.7,131.65,132.6,446876
YATRA,2023-11-29,132.0,140.85,129.55,136.9,980094
YATRA,2023-11-30,134.3,137.2,132.45,135.15,529716
YATRA,2023-12-01,136.55,136.55,131.45,132.15,232008
YATRA,2023-12-04,133.95,133.95,131.1,132.35,161594
YATRA,2023-12-05,132.0,135.8,131.7,132.7,312322
YATRA,2023-12-06,132.7,133.75,131.65,132.15,141801
YATRA,2023-12-07,131.9,132.75,131.4,131.9,89828
YATRA,2023-12-08,132.2,132.5,130.0,130.8,135978
YATRA,2023-12-11,130.85,131.8,130.75,131.55,110703
YATRA,2023-12-12,131.8,133.25,131.0,131.4,105161
YATRA,2023-12-13,131.7,133.8,130.05,133.0,369977
YATRA,2023-12-14,133.7,134.0,132.1,133.2,206450
YATRA,2023-12-15,133.2,142.25,133.0,140.6,1807911
YATRA,2023-12-18,140.35,143.0,138.15,141.1,443982
YATRA,2023-12-19,139.95,139.95,137.1,138.5,273255
YATRA,2023-12-20,138.5,140.95,127.7,132.25,594132
YATRA,2023-12-21,135.9,139.8,133.3,137.65,630252
YATRA,2023-12-22,139.4,143.0,137.8,140.25,700378
YATRA,2023-12-26,143.75,151.85,140.0,141.45,2949974
YATRA,2023-12-27,142.15,144.0,138.65,143.2,740257
YATRA,2023-12-28,143.95,149.0,142.9,144.95,1447489
YATRA,2023-12-29,145.0,147.9,143.3,144.6,432130
YATRA,2024-01-01,145.9,151.25,144.15,149.65,495739
YATRA,2024-01-02,150.0,154.0,146.9,151.85,698917
YATRA,2024-01-03,152.05,153.0,149.7,150.8,337603
YATRA,2024-01-04,151.0,153.8,146.5,148.3,766087
YATRA,2024-01-05,148.3,151.0,147.55,149.25,391674
YATRA,2024-01-08,149.95,157.7,147.1,152.95,961550
YATRA,2024-01-09,155.0,167.8,151.95,165.7,3199548
YATRA,2024-01-10,166.45,186.05,163.4,180.35,4375827
YATRA,2024-01-11,180.5,185.6,174.0,179.5,1619237
YATRA,2024-01-12,180.0,180.5,173.65,176.8,914349
YATRA,2024-01-15,176.8,181.4,173.65,177.05,784278
YATRA,2024-01-16,179.9,184.4,173.95,179.2,760497
YATRA,2024-01-17,179.2,180.85,169.25,171.9,1142882
YATRA,2024-01-18,170.0,175.65,166.35,173.0,351501
YATRA,2024-01-19,176.55,177.05,172.05,173.05,431689
YATRA,2024-01-20,174.3,175.9,172.2,173.2,119322
YATRA,2024-01-23,175.9,181.25,169.15,171.15,497270
YATRA,2024-01-24,173.9,179.85,167.0,172.9,741904
YATRA,2024-01-25,173.0,181.8,171.05,171.6,662259
YATRA,2024-01-29,173.9,174.5,166.4,169.65,528917
YATRA,2024-01-30,171.5,176.95,170.75,173.75,440698
YATRA,2024-01-31,175.1,182.0,174.25,178.7,708867
YATRA,2024-02-01,179.3,182.55,173.25,178.0,434054
YATRA,2024-02-02,180.65,194.0,177.3,178.8,3036023
YATRA,2024-02-05,180.4,183.05,174.0,175.25,597427
YATRA,2024-02-06,179.65,179.65,171.9,173.95,300579
YATRA,2024-02-07,174.0,176.25,172.65,173.55,267649
YATRA,2024-02-08,173.95,174.35,168.5,170.35,551439
YATRA,2024-02-09,170.95,177.0,163.1,174.85,592650
YATRA,2024-02-12,175.9,178.25,167.45,169.6,349596
YATRA,2024-02-13,168.5,169.9,163.1,168.65,215376
YATRA,2024-02-14,169.0,176.85,165.65,173.5,282624
YATRA,2024-02-15,179.75,183.0,165.0,168.2,1272445
YATRA,2024-02-16,171.2,173.95,167.05,170.05,706677
YATRA,2024-02-19,171.0,172.25,168.5,171.0,231312
YATRA,2024-02-20,171.75,179.45,169.05,170.8,613693
YATRA,2024-02-21,171.4,174.6,170.6,172.85,223015
YATRA,2024-02-22,172.85,173.75,168.7,171.55,171673
YATRA,2024-02-23,172.45,173.05,169.25,169.55,163635
YATRA,2024-02-26,171.0,171.15,166.55,168.85,188179
YATRA,2024-02-27,169.25,176.6,168.35,169.4,416217
YATRA,2024-02-28,169.95,170.55,164.1,167.5,210951
YATRA,2024-02-29,168.25,169.5,164.1,168.5,211401
YATRA,2024-03-01,169.5,170.25,166.15,167.5,76877
YATRA,2024-03-02,167.95,169.95,167.1,168.0,14863
YATRA,2024-03-04,168.85,169.15,164.0,167.0,253612
YATRA,2024-03-05,165.6,168.2,160.35,162.15,252435
YATRA,2024-03-06,162.75,162.9,155.55,156.45,152118
YATRA,2024-03-07,157.0,160.45,155.55,157.7,130942
YATRA,2024-03-11,157.6,158.0,154.05,156.95,141576
YATRA,2024-03-12,154.5,156.3,146.5,149.95,648276
YATRA,2024-03-13,150.05,151.45,131.0,137.6,661177
YATRA,2024-03-14,138.1,147.95,136.4,145.8,580095
YATRA,2024-03-15,148.0,149.2,140.75,143.45,300993
YATRA,2024-03-18,145.6,145.6,142.1,144.9,150135
YATRA,2024-03-19,145.3,145.3,140.55,142.1,717687
YATRA,2024-03-20,142.1,145.6,138.6,144.05,207118
YATRA,2024-03-21,144.75,148.95,144.1,147.85,220387
YATRA,2024-03-22,149.9,154.65,146.75,152.8,243958
YATRA,2024-03-26,153.95,153.95,149.0,149.9,131425
YATRA,2024-03-27,147.45,153.0,147.45,149.0,254720
YATRA,2024-03-28,149.85,150.8,142.05,143.05,1036200
YATRA,2024-04-01,145.0,151.3,145.0,147.0,138257
YATRA,2024-04-02,148.9,152.3,143.85,148.15,280939
YATRA,2024-04-03,148.55,156.0,148.55,150.95,315196
YATRA,2024-04-04,151.95,153.0,149.65,152.0,138594
YATRA,2024-04-05,152.6,155.25,150.35,153.75,120906
YATRA,2024-04-08,153.95,158.65,150.05,151.6,107765
YATRA,2024-04-09,152.0,153.85,149.3,150.1,208533
YATRA,2024-04-10,152.35,152.35,148.3,150.0,113128
YATRA,2024-04-12,150.0,150.65,145.9,147.3,90648
YATRA,2024-04-15,148.0,149.8,140.55,147.45,149374
YATRA,2024-04-16,147.5,148.95,143.1,145.35,76729
YATRA,2024-04-18,146.8,151.1,143.3,146.5,130411
YATRA,2024-04-19,146.5,149.45,136.05,147.0,485908
YATRA,2024-04-22,146.5,148.95,144.55,145.0,76056
YATRA,2024-04-23,145.0,149.65,143.8,144.6,117607
YATRA,2024-04-24,145.25,151.4,145.2,148.0,122059
YATRA,2024-04-25,146.35,149.4,145.95,147.45,48481
YATRA,2024-04-26,147.9,151.9,145.05,146.75,129319
YATRA,2024-04-29,148.5,148.5,146.2,146.65,52645
YATRA,2024-04-30,149.0,151.5,147.15,148.0,100958
