symbol,date,open,high,low,close,volume
YESBANK,2008-06-09,29.0,29.98,28.25,28.94,4323465
YESBANK,2008-06-10,28.8,29.56,27.79,28.16,4530060
YESBANK,2008-06-11,28.4,28.85,26.87,27.32,11748660
YESBANK,2008-06-12,27.0,28.2,26.0,28.01,7458140
YESBANK,2008-06-13,27.95,28.8,27.6,27.98,3966865
YESBANK,2008-06-16,28.6,29.5,28.2,28.62,5839945
YESBANK,2008-06-17,28.94,29.9,28.4,29.74,7734270
YESBANK,2008-06-18,30.0,30.1,28.73,28.94,4042580
YESBANK,2008-06-19,28.76,28.76,27.24,27.48,4442395
YESBANK,2008-06-20,27.56,27.86,26.4,26.81,4039455
YESBANK,2008-06-23,26.02,26.8,24.86,25.79,7051570
YESBANK,2008-06-24,25.67,27.8,25.67,27.18,7911745
YESBANK,2008-06-25,26.78,26.78,25.22,26.28,6392925
YESBANK,2008-06-26,26.6,27.0,25.78,26.28,3690115
YESBANK,2008-06-27,25.2,25.7,24.63,24.8,3701290
YESBANK,2008-06-30,27.69,27.69,22.6,22.94,9620210
YESBANK,2008-07-01,24.0,24.0,21.8,22.21,9866660
YESBANK,2008-07-02,22.2,23.0,21.0,22.28,14847510
YESBANK,2008-07-03,22.62,22.8,20.41,20.73,11101490
YESBANK,2008-07-04,21.0,22.28,20.4,21.93,6006895
YESBANK,2008-07-07,22.2,23.14,22.01,22.18,4514950
YESBANK,2008-07-08,21.78,23.5,21.2,23.11,5948585
YESBANK,2008-07-09,23.5,24.7,23.4,23.82,6046235
YESBANK,2008-07-10,23.61,24.48,23.0,23.97,3887780
YESBANK,2008-07-11,23.6,24.39,22.96,23.39,3537445
YESBANK,2008-07-14,24.6,24.6,22.27,23.61,4095040
YESBANK,2008-07-15,23.0,23.38,21.22,21.49,8718925
YESBANK,2008-07-16,21.49,22.1,20.4,21.12,6245275
YESBANK,2008-07-17,21.6,22.8,21.25,21.96,8018510
YESBANK,2008-07-18,22.14,24.56,22.08,23.96,16111895
YESBANK,2008-07-21,23.96,24.76,23.0,23.53,5543740
YESBANK,2008-07-22,23.64,24.28,23.04,23.93,7776435
YESBANK,2008-07-23,25.6,28.3,25.02,27.95,18527270
YESBANK,2008-07-24,28.4,29.6,26.0,26.46,13747180
YESBANK,2008-07-25,25.78,26.28,24.81,25.42,8592125
YESBANK,2008-07-28,25.6,26.59,25.32,25.88,5146200
YESBANK,2008-07-29,25.76,26.17,23.74,24.34,8853780
YESBANK,2008-07-30,24.93,25.7,24.8,25.46,4627005
YESBANK,2008-07-31,25.88,26.38,25.2,25.54,10837500
YESBANK,2008-08-01,25.0,26.0,24.85,25.4,7848245
YESBANK,2008-08-04,25.4,27.0,25.4,26.69,10893960
YESBANK,2008-08-05,26.98,28.06,26.63,27.8,12145970
YESBANK,2008-08-06,28.66,28.8,27.0,27.28,13184120
YESBANK,2008-08-07,27.47,27.77,26.96,27.14,3503165
YESBANK,2008-08-08,27.0,27.88,26.32,27.68,5056125
YESBANK,2008-08-11,28.0,28.74,28.0,28.53,8747545
YESBANK,2008-08-12,28.6,28.84,27.73,28.19,6214285
YESBANK,2008-08-13,27.98,28.15,27.4,27.67,3229460
YESBANK,2008-08-14,27.59,27.59,25.82,26.15,4274380
YESBANK,2008-08-18,26.2,27.1,25.4,26.69,3876580
YESBANK,2008-08-19,26.8,26.82,25.93,26.45,3278330
YESBANK,2008-08-20,26.4,26.95,26.1,26.7,1556730
YESBANK,2008-08-21,26.75,26.89,25.61,25.73,2881100
YESBANK,2008-08-22,25.8,26.07,25.26,25.63,2844910
YESBANK,2008-08-25,25.65,26.89,25.65,26.63,3746590
YESBANK,2008-08-26,26.6,26.6,26.0,26.35,2067435
YESBANK,2008-08-27,26.6,26.76,25.92,26.12,1986775
YESBANK,2008-08-28,26.3,26.3,24.92,25.09,3985125
YESBANK,2008-08-29,25.38,27.0,25.38,26.84,4149575
YESBANK,2008-09-01,26.8,27.4,26.2,27.16,2303805
YESBANK,2008-09-02,27.29,28.58,27.29,28.24,5854940
YESBANK,2008-09-04,28.2,29.16,27.46,29.02,7732325
YESBANK,2008-09-05,28.8,28.8,27.6,28.49,3146830
YESBANK,2008-09-08,29.03,29.8,29.03,29.56,4032425
YESBANK,2008-09-09,29.4,29.7,28.87,29.46,2015650
YESBANK,2008-09-10,29.36,29.67,28.9,29.48,3362035
YESBANK,2008-09-11,29.4,29.58,27.8,28.03,3041630
