symbol,date,open,high,low,close,volume
ZODIACLOTH,2008-06-09,208.22,208.22,183.85,184.11,4969
ZODIACLOTH,2008-06-10,183.11,192.0,178.69,189.27,2399
ZODIACLOTH,2008-06-11,188.89,194.93,187.65,189.29,1915
ZODIACLOTH,2008-06-12,189.78,191.11,184.69,185.35,1676
ZODIACLOTH,2008-06-13,183.55,190.13,183.55,186.8,2360
ZODIACLOTH,2008-06-16,189.73,189.73,186.67,186.95,739
ZODIACLOTH,2008-06-17,182.29,186.65,182.22,185.42,767
ZODIACLOTH,2008-06-18,187.53,187.55,185.33,186.58,97
ZODIACLOTH,2008-06-19,184.45,185.11,180.67,184.85,3274
ZODIACLOTH,2008-06-20,184.85,187.51,182.22,182.78,3560
ZODIACLOTH,2008-06-23,182.22,184.4,180.55,182.53,3490
ZODIACLOTH,2008-06-24,186.18,186.62,182.22,182.22,4705
ZODIACLOTH,2008-06-25,182.22,183.51,181.11,183.11,167
ZODIACLOTH,2008-06-26,178.75,188.89,178.75,186.62,790
ZODIACLOTH,2008-06-27,183.15,188.89,183.11,183.11,1420
ZODIACLOTH,2008-06-30,183.11,185.33,178.73,182.78,608
ZODIACLOTH,2008-07-01,177.78,182.22,169.49,174.49,5171
ZODIACLOTH,2008-07-02,166.67,177.78,162.45,168.35,1526
ZODIACLOTH,2008-07-03,177.67,177.67,168.91,170.91,25
ZODIACLOTH,2008-07-04,167.38,173.33,162.75,168.91,2833
ZODIACLOTH,2008-07-07,161.33,179.11,161.33,169.38,1288
ZODIACLOTH,2008-07-08,156.93,177.75,156.93,176.8,479
ZODIACLOTH,2008-07-09,171.18,183.49,171.18,174.0,244
ZODIACLOTH,2008-07-10,167.15,185.33,167.15,170.67,46
ZODIACLOTH,2008-07-14,173.33,178.62,173.31,178.62,1744
ZODIACLOTH,2008-07-15,173.8,180.4,173.78,180.4,749
ZODIACLOTH,2008-07-16,173.8,177.71,173.8,176.69,160
ZODIACLOTH,2008-07-17,179.55,179.55,175.58,175.58,20
ZODIACLOTH,2008-07-18,173.87,173.87,173.87,173.87,43
ZODIACLOTH,2008-07-21,174.73,179.98,174.73,179.98,88
ZODIACLOTH,2008-07-22,174.55,174.55,174.55,174.55,43
ZODIACLOTH,2008-07-23,181.75,182.13,177.78,177.78,320
ZODIACLOTH,2008-07-24,173.33,182.22,173.33,180.15,4093
ZODIACLOTH,2008-07-25,177.8,181.55,177.78,181.55,941
ZODIACLOTH,2008-07-28,185.25,185.27,177.78,178.09,866
ZODIACLOTH,2008-07-29,176.42,176.45,176.42,176.42,124
ZODIACLOTH,2008-07-30,168.45,177.51,168.45,173.67,532
ZODIACLOTH,2008-07-31,171.8,171.8,171.8,171.8,10
ZODIACLOTH,2008-08-01,164.0,186.22,164.0,184.42,1334
ZODIACLOTH,2008-08-04,184.42,184.42,180.07,180.07,1184
ZODIACLOTH,2008-08-05,180.25,186.42,180.25,186.42,910
ZODIACLOTH,2008-08-06,186.67,186.67,180.47,182.25,149
ZODIACLOTH,2008-08-07,185.73,185.73,184.8,184.8,25
ZODIACLOTH,2008-08-08,178.31,182.67,178.31,182.31,448
ZODIACLOTH,2008-08-11,181.78,181.78,180.0,180.4,124
ZODIACLOTH,2008-08-12,177.78,182.67,175.67,176.02,560
ZODIACLOTH,2008-08-13,168.0,184.13,168.0,178.4,2477
ZODIACLOTH,2008-08-14,177.8,180.0,177.8,179.07,668
